instance,n,u,procs,elapsed
n_006_u_120_4,6,1.2,4,0.80699999999888
n_018_u_360_5,18,3.6,10,3.75400000000081
n_049_u_980_1,49,9.8,23,26.7479999999996
n_005_u_100_6,5,1,3,1.90100000000166
n_040_u_800_2,40,8,19,17.5210000000006
n_048_u_960_1,48,9.6,23,27.4610000000011
n_039_u_780_4,39,7.8,19,16.4149999999991
n_024_u_480_4,24,4.8,13,6.09000000000015
n_043_u_860_2,43,8.6,22,18.0690000000013
n_038_u_760_3,38,7.6,18,18.003999999999
n_041_u_819_2,41,8.2,20,18.9130000000005
n_007_u_140_4,7,1.4,5,0.8799999999992
n_040_u_800_4,40,8,22,16.3720000000012
n_006_u_120_6,6,1.2,4,0.602000000000771
n_050_u_1000_1,50,10,23,28.607
n_005_u_100_5,5,1,3,0.680000000000291
n_007_u_140_6,7,1.4,4,0.840000000000146
n_008_u_160_4,8,1.6,4,1.21399999999994
n_010_u_200_4,10,2,5,1.40599999999904
n_040_u_800_3,40,8,19,18.5550000000003
n_016_u_320_3,16,3.2,8,3.13400000000001
n_018_u_360_7,18,3.6,9,3.53300000000127
n_044_u_880_2,44,8.8,24,20.1790000000001
n_019_u_380_6,19,3.8,10,4.60400000000118
n_007_u_140_5,7,1.4,4,0.838999999999942
n_015_u_300_3,15,3,8,3.1979999999985
n_041_u_819_4,41,8.2,20,17.1829999999991
n_041_u_819_3,41,8.2,20,17.7170000000006
n_019_u_380_5,19,3.8,10,5.07500000000073
n_025_u_500_4,25,5,14,7.17499999999927
n_008_u_160_6,8,1.6,5,1.03499999999985
n_032_u_640_5,32,6.4,14,10.0789999999997
n_011_u_220_4,11,2.2,5,1.64999999999964
n_023_u_459_4,23,4.6,13,6.9989999999998
n_008_u_160_5,8,1.6,5,1.24599999999919
n_017_u_340_3,17,3.4,9,3.91599999999926
n_020_u_400_5,20,4,9,4.6309999999994
n_019_u_380_7,19,3.8,10,4.61700000000019
n_042_u_840_4,42,8.4,19,19.527
n_018_u_360_6,18,3.6,11,4.53600000000006
n_020_u_400_7,20,4,10,4.53200000000106
n_026_u_520_4,26,5.2,11,9.95700000000033
n_043_u_860_4,43,8.6,20,20.0820000000003
n_009_u_180_6,9,1.8,6,1.43900000000031
n_042_u_840_2,42,8.4,24,24.1919999999991
n_021_u_420_5,21,4.2,9,5.64300000000003
n_044_u_880_3,44,8.8,22,19.0529999999999
n_044_u_880_5,44,8.8,19,17.4989999999998
n_043_u_860_3,43,8.6,21,20.8299999999999
n_031_u_620_5,31,6.2,15,11.7839999999997
n_023_u_459_5,23,4.6,12,6.22299999999996
n_020_u_400_6,20,4,10,5.37699999999859
n_045_u_900_2,45,9,22,23.6829999999991
n_010_u_200_6,10,2,7,1.68400000000111
n_047_u_940_2,47,9.4,22,23.6700000000001
n_009_u_180_4,9,1.8,5,1.51000000000022
n_031_u_620_6,31,6.2,15,9.83100000000013
n_034_u_680_5,34,6.8,17,12.2739999999994
n_048_u_960_2,48,9.6,25,23.6290000000008
n_011_u_220_5,11,2.2,6,1.66199999999844
n_027_u_540_4,27,5.4,13,10.6979999999985
n_010_u_200_5,10,2,5,1.24099999999999
n_011_u_220_7,11,2.2,7,1.70700000000033
n_021_u_420_7,21,4.2,12,5.52800000000025
n_042_u_840_3,42,8.4,19,22.5020000000004
n_045_u_900_3,45,9,20,20.6869999999999
n_035_u_700_5,35,7,19,13.2020000000011
n_033_u_660_5,33,6.6,16,13.005000000001
n_012_u_240_4,12,2.4,7,2.15899999999965
n_024_u_480_5,24,4.8,11,6.19599999999991
n_021_u_420_6,21,4.2,11,6.02499999999964
n_014_u_280_4,14,2.8,7,2.50900000000001
n_029_u_580_4,29,5.8,14,8.83600000000115
n_009_u_180_5,9,1.8,5,1.48000000000138
n_049_u_980_2,49,9.8,24,25.5500000000011
n_012_u_240_5,12,2.4,6,1.81900000000132
n_015_u_300_4,15,3,8,2.78600000000006
n_044_u_880_4,44,8.8,23,24.9439999999995
n_046_u_920_2,46,9.2,21,26.8490000000002
n_022_u_440_7,22,4.4,11,5.93600000000151
n_045_u_900_5,45,9,22,22.5280000000002
n_046_u_920_4,46,9.2,23,22.3349999999991
n_031_u_620_8,31,6.2,16,10.348
n_011_u_220_6,11,2.2,6,1.77399999999943
n_028_u_560_4,28,5.6,13,10.4889999999996
n_037_u_740_5,37,7.4,18,13.3090000000011
n_016_u_320_4,16,3.2,9,3.05599999999868
n_032_u_640_7,32,6.4,14,11.2780000000002
n_047_u_940_4,47,9.4,21,22.3940000000002
