instance,n,u,procs
n_006_u_160_6,6,"1,6",8
n_018_u_160_6,18,"1,6",8
n_006_u_020_8,6,"0,2",3
n_012_u_040_8,12,"0,4",3
n_024_u_020_8,24,"0,2",2
n_006_u_140_9,6,"1,4",7
n_006_u_160_8,6,"1,6",6
n_006_u_140_6,6,"1,4",6
n_006_u_160_9,6,"1,6",7
n_018_u_040_8,18,"0,4",3
n_012_u_160_6,12,"1,6",7
n_006_u_020_7,6,"0,2",2
n_018_u_120_3,18,"1,2",6
n_024_u_140_6,24,"1,4",6
n_018_u_060_5,18,"0,6",3
n_006_u_020_10,6,"0,2",2
n_018_u_040_7,18,"0,4",3
n_012_u_060_5,12,"0,6",4
n_018_u_080_6,18,"0,8",5
n_012_u_140_6,12,"1,4",8
n_006_u_120_7,6,"1,2",5
n_018_u_060_8,18,"0,6",4
n_024_u_100_6,24,1,5
n_018_u_120_5,18,"1,2",6
n_018_u_140_3,18,"1,4",6
n_012_u_140_4,12,"1,4",6
n_024_u_140_7,24,"1,4",6
n_024_u_120_6,24,"1,2",7
n_018_u_100_5,18,1,5
n_024_u_100_7,24,1,6
n_012_u_060_6,12,"0,6",3
n_012_u_080_6,12,"0,8",4
n_018_u_140_4,18,"1,4",6
n_012_u_020_10,12,"0,2",2
n_024_u_060_7,24,"0,6",4
n_018_u_100_6,18,1,4
n_006_u_040_7,6,"0,4",3
n_018_u_120_4,18,"1,2",7
n_006_u_140_8,6,"1,4",5
n_012_u_140_7,12,"1,4",6
n_012_u_060_7,12,"0,6",4
n_012_u_080_5,12,"0,8",6
n_024_u_120_7,24,"1,2",7
n_018_u_120_6,18,"1,2",6
n_024_u_060_8,24,"0,6",3
n_012_u_140_9,12,"1,4",8
n_024_u_040_8,24,"0,4",3
n_006_u_120_8,6,"1,2",7
n_018_u_060_7,18,"0,6",5
n_012_u_020_9,12,"0,2",2
n_012_u_160_8,12,"1,6",7
n_006_u_040_8,6,"0,4",3
n_006_u_060_8,6,"0,6",4
n_012_u_140_8,12,"1,4",6
n_006_u_120_6,6,"1,2",6
n_024_u_080_7,24,"0,8",4
