instance,n,u,procs
n_006_u_120_27,6,"1,2",6
n_006_u_120_25,6,"1,2",5
n_018_u_020_24,18,"0,2",2
n_018_u_100_22,18,1,5
n_024_u_120_22,24,"1,2",6
n_024_u_020_27,24,"0,2",2
n_024_u_040_23,24,"0,4",3
n_024_u_020_25,24,"0,2",2
n_006_u_060_22,6,"0,6",3
n_018_u_060_23,18,"0,6",3
n_006_u_080_24,6,"0,8",5
n_012_u_080_22,12,"0,8",6
n_024_u_160_22,24,"1,6",7
n_012_u_040_24,12,"0,4",3
n_012_u_100_25,12,1,6
n_018_u_060_24,18,"0,6",4
n_018_u_140_22,18,"1,4",8
n_024_u_080_24,24,"0,8",5
n_024_u_040_24,24,"0,4",3
n_006_u_100_21,6,1,5
n_024_u_100_23,24,1,5
n_018_u_040_26,18,"0,4",3
n_018_u_120_24,18,"1,2",5
n_006_u_020_26,6,"0,2",3
n_006_u_060_24,6,"0,6",5
n_018_u_040_24,18,"0,4",3
n_024_u_100_28,24,1,6
n_006_u_080_27,6,"0,8",4
n_024_u_060_26,24,"0,6",4
n_018_u_060_27,18,"0,6",4
n_018_u_160_24,18,"1,6",8
n_018_u_100_23,18,1,5
n_018_u_040_23,18,"0,4",3
n_024_u_120_25,24,"1,2",6
n_012_u_040_25,12,"0,4",3
n_024_u_160_25,24,"1,6",7
n_012_u_120_23,12,"1,2",6
n_024_u_140_26,24,"1,4",8
n_018_u_060_28,18,"0,6",3
n_018_u_020_25,18,"0,2",2
n_024_u_040_27,24,"0,4",3
n_012_u_020_28,12,"0,2",2
n_018_u_080_26,18,"0,8",4
n_012_u_080_24,12,"0,8",4
n_012_u_040_26,12,"0,4",3
n_024_u_160_24,24,"1,6",7
n_012_u_120_21,12,"1,2",6
n_012_u_020_26,12,"0,2",2
n_018_u_020_26,18,"0,2",2
n_006_u_020_27,6,"0,2",2
n_024_u_040_28,24,"0,4",3
n_024_u_160_23,24,"1,6",6
n_024_u_120_23,24,"1,2",6
n_024_u_160_26,24,"1,6",8
n_024_u_040_25,24,"0,4",3
n_006_u_100_25,6,1,5
n_006_u_020_28,6,"0,2",2
n_012_u_040_29,12,"0,4",4
n_012_u_020_25,12,"0,2",2
n_024_u_160_21,24,"1,6",9
n_024_u_020_24,24,"0,2",2
n_006_u_060_26,6,"0,6",4
n_012_u_160_25,12,"1,6",7
n_018_u_080_28,18,"0,8",5
n_012_u_100_26,12,1,6
n_012_u_120_24,12,"1,2",5
n_024_u_100_25,24,1,6
n_006_u_160_29,6,"1,6",8
n_006_u_100_23,6,1,4
n_018_u_120_26,18,"1,2",8
n_024_u_080_23,24,"0,8",4
n_018_u_120_25,18,"1,2",6
n_006_u_020_31,6,"0,2",2
n_012_u_040_30,12,"0,4",3
n_024_u_080_28,24,"0,8",4
n_018_u_080_25,18,"0,8",4
n_012_u_060_28,12,"0,6",3
n_006_u_160_27,6,"1,6",6
n_018_u_040_28,18,"0,4",3
n_024_u_020_26,24,"0,2",2
n_012_u_080_25,12,"0,8",6
n_024_u_040_26,24,"0,4",3
n_024_u_080_29,24,"0,8",3
n_018_u_020_29,18,"0,2",2
n_018_u_060_26,18,"0,6",4
n_006_u_080_28,6,"0,8",4
n_006_u_160_26,6,"1,6",6
n_024_u_120_27,24,"1,2",6
n_006_u_100_26,6,1,5
n_018_u_160_28,18,"1,6",7
n_024_u_140_25,24,"1,4",7
n_012_u_140_26,12,"1,4",6
n_018_u_100_24,18,1,5
n_018_u_020_30,18,"0,2",2
n_006_u_020_32,6,"0,2",3
n_006_u_140_27,6,"1,4",8
n_018_u_160_26,18,"1,6",8
n_012_u_160_26,12,"1,6",9
n_006_u_040_30,6,"0,4",3
n_018_u_080_30,18,"0,8",5
n_024_u_120_26,24,"1,2",6
n_024_u_040_29,24,"0,4",3
n_006_u_060_27,6,"0,6",3
n_024_u_120_24,24,"1,2",6
n_018_u_020_27,18,"0,2",2
n_024_u_100_27,24,1,5
n_012_u_160_27,12,"1,6",6
n_012_u_060_30,12,"0,6",3
n_018_u_140_24,18,"1,4",7
n_024_u_160_27,24,"1,6",8
n_024_u_080_27,24,"0,8",4
n_018_u_100_27,18,1,5
n_012_u_020_30,12,"0,2",3
n_006_u_120_28,6,"1,2",5
n_018_u_140_27,18,"1,4",5
n_006_u_140_28,6,"1,4",6
n_012_u_100_27,12,1,5
n_012_u_100_28,12,1,4
n_024_u_160_28,24,"1,6",7
n_024_u_020_28,24,"0,2",2
n_006_u_040_32,6,"0,4",3
n_012_u_060_27,12,"0,6",4
n_012_u_040_28,12,"0,4",3
n_018_u_120_28,18,"1,2",6
n_024_u_060_23,24,"0,6",4
n_024_u_160_29,24,"1,6",7
n_006_u_140_29,6,"1,4",7
n_018_u_020_28,18,"0,2",2
n_018_u_140_26,18,"1,4",7
n_006_u_160_31,6,"1,6",6
n_012_u_080_26,12,"0,8",4
n_006_u_080_29,6,"0,8",3
n_006_u_020_30,6,"0,2",2
n_012_u_060_32,12,"0,6",4
n_018_u_080_27,18,"0,8",5
n_006_u_080_30,6,"0,8",4
n_018_u_020_31,18,"0,2",2
n_006_u_040_29,6,"0,4",3
n_018_u_060_25,18,"0,6",4
n_018_u_100_25,18,1,5
n_012_u_140_28,12,"1,4",7
n_012_u_140_30,12,"1,4",6
n_018_u_140_28,18,"1,4",7
n_018_u_060_30,18,"0,6",4
n_012_u_160_31,12,"1,6",6
n_018_u_060_31,18,"0,6",3
n_018_u_140_25,18,"1,4",8
n_012_u_160_30,12,"1,6",7
n_024_u_020_29,24,"0,2",2
n_012_u_080_29,12,"0,8",5
n_006_u_060_28,6,"0,6",3
n_006_u_040_34,6,"0,4",4
n_024_u_040_30,24,"0,4",3
n_024_u_140_27,24,"1,4",6
n_018_u_100_29,18,1,4
n_024_u_060_27,24,"0,6",4
n_006_u_120_32,6,"1,2",5
n_018_u_140_23,18,"1,4",6
n_012_u_120_29,12,"1,2",6
n_012_u_160_28,12,"1,6",8
n_006_u_120_30,6,"1,2",5
n_018_u_160_25,18,"1,6",7
n_006_u_060_31,6,"0,6",4
n_018_u_120_27,18,"1,2",5
n_006_u_140_33,6,"1,4",6
n_012_u_120_26,12,"1,2",6
n_012_u_100_30,12,1,5
n_012_u_060_29,12,"0,6",4
n_012_u_040_32,12,"0,4",3
n_012_u_040_27,12,"0,4",3
n_018_u_100_26,18,1,4
n_018_u_100_28,18,1,5
n_006_u_140_32,6,"1,4",7
n_024_u_120_31,24,"1,2",6
n_012_u_040_33,12,"0,4",3
n_024_u_060_25,24,"0,6",4
n_006_u_100_31,6,1,6
n_018_u_080_29,18,"0,8",4
n_024_u_060_28,24,"0,6",4
n_018_u_060_29,18,"0,6",5
n_012_u_120_28,12,"1,2",7
n_006_u_020_34,6,"0,2",3
n_018_u_160_27,18,"1,6",6
n_006_u_020_29,6,"0,2",2
n_006_u_040_31,6,"0,4",3
n_024_u_140_28,24,"1,4",6
n_006_u_140_30,6,"1,4",6
n_006_u_080_32,6,"0,8",4
n_024_u_120_29,24,"1,2",5
n_018_u_040_25,18,"0,4",3
n_018_u_020_32,18,"0,2",2
n_006_u_020_35,6,"0,2",2
n_012_u_080_27,12,"0,8",4
n_012_u_120_30,12,"1,2",5
n_024_u_140_29,24,"1,4",7
n_012_u_160_32,12,"1,6",7
n_024_u_140_32,24,"1,4",6
n_006_u_100_28,6,1,5
n_018_u_140_29,18,"1,4",7
n_012_u_160_29,12,"1,6",8
n_012_u_080_31,12,"0,8",4
n_006_u_100_30,6,1,6
n_024_u_040_31,24,"0,4",3
n_024_u_020_30,24,"0,2",2
n_012_u_120_27,12,"1,2",6
n_006_u_060_29,6,"0,6",4
n_024_u_140_33,24,"1,4",7
n_018_u_140_30,18,"1,4",7
n_024_u_040_32,24,"0,4",3
n_018_u_040_29,18,"0,4",3
n_012_u_100_29,12,1,5
n_006_u_100_32,6,1,7
n_006_u_140_34,6,"1,4",7
n_024_u_160_31,24,"1,6",6
n_024_u_020_33,24,"0,2",2
n_006_u_060_33,6,"0,6",4
n_012_u_020_27,12,"0,2",2
n_018_u_160_29,18,"1,6",7
n_012_u_080_30,12,"0,8",4
n_024_u_120_28,24,"1,2",6
n_012_u_040_31,12,"0,4",3
n_012_u_080_28,12,"0,8",5
n_012_u_060_31,12,"0,6",4
n_018_u_140_31,18,"1,4",6
n_024_u_080_30,24,"0,8",5
n_006_u_140_31,6,"1,4",6
n_024_u_100_29,24,1,5
n_024_u_100_30,24,1,5
n_006_u_100_29,6,1,5
n_024_u_100_31,24,1,6
n_012_u_140_27,12,"1,4",7
n_006_u_080_31,6,"0,8",5
n_012_u_120_25,12,"1,2",8
n_006_u_020_33,6,"0,2",2
n_006_u_060_32,6,"0,6",4
n_012_u_120_31,12,"1,2",7
n_006_u_040_33,6,"0,4",2
n_006_u_060_30,6,"0,6",5
n_018_u_020_33,18,"0,2",2
n_018_u_160_30,18,"1,6",6
n_012_u_020_31,12,"0,2",2
n_012_u_160_33,12,"1,6",8
n_006_u_160_28,6,"1,6",8
n_012_u_140_29,12,"1,4",6
n_018_u_040_27,18,"0,4",3
n_018_u_040_30,18,"0,4",3
n_018_u_020_34,18,"0,2",2
n_024_u_120_33,24,"1,2",6
n_018_u_100_33,18,1,6
n_024_u_040_34,24,"0,4",3
n_012_u_120_32,12,"1,2",4
n_024_u_080_34,24,"0,8",5
n_006_u_100_33,6,1,5
n_024_u_160_33,24,"1,6",8
n_006_u_100_27,6,1,4
n_006_u_120_29,6,"1,2",6
n_024_u_080_32,24,"0,8",4
n_018_u_120_29,18,"1,2",7
n_024_u_140_31,24,"1,4",6
n_018_u_120_31,18,"1,2",5
n_006_u_120_31,6,"1,2",4
n_006_u_140_35,6,"1,4",8
n_006_u_160_32,6,"1,6",5
n_024_u_020_31,24,"0,2",2
n_024_u_020_35,24,"0,2",2
n_018_u_100_31,18,1,6
n_024_u_060_33,24,"0,6",4
n_018_u_120_34,18,"1,2",5
n_024_u_100_35,24,1,5
n_006_u_100_34,6,1,5
n_024_u_160_30,24,"1,6",10
n_012_u_140_31,12,"1,4",6
n_012_u_020_32,12,"0,2",2
n_012_u_020_29,12,"0,2",3
n_024_u_160_35,24,"1,6",7
n_012_u_120_33,12,"1,2",6
n_024_u_060_32,24,"0,6",4
n_018_u_120_30,18,"1,2",7
n_018_u_020_36,18,"0,2",2
n_018_u_120_35,18,"1,2",6
n_024_u_020_34,24,"0,2",2
n_012_u_160_34,12,"1,6",9
n_018_u_060_32,18,"0,6",4
n_012_u_080_35,12,"0,8",4
n_012_u_140_32,12,"1,4",7
n_024_u_020_32,24,"0,2",2
n_018_u_080_32,18,"0,8",4
n_024_u_060_30,24,"0,6",3
n_024_u_140_36,24,"1,4",6
n_006_u_120_33,6,"1,2",5
n_018_u_140_33,18,"1,4",6
n_024_u_060_34,24,"0,6",4
n_018_u_080_33,18,"0,8",5
n_006_u_100_35,6,1,6
n_006_u_160_30,6,"1,6",7
n_018_u_160_31,18,"1,6",8
n_018_u_160_34,18,"1,6",7
n_024_u_140_35,24,"1,4",6
n_006_u_160_33,6,"1,6",7
n_012_u_160_35,12,"1,6",7
n_018_u_100_30,18,1,5
n_006_u_060_37,6,"0,6",5
n_018_u_080_31,18,"0,8",4
n_006_u_120_34,6,"1,2",5
n_024_u_040_33,24,"0,4",3
n_006_u_140_36,6,"1,4",5
n_024_u_100_32,24,1,5
n_024_u_100_34,24,1,6
n_024_u_060_31,24,"0,6",4
n_018_u_060_36,18,"0,6",3
n_024_u_160_32,24,"1,6",7
n_012_u_100_36,12,1,5
n_012_u_100_31,12,1,6
n_012_u_080_33,12,"0,8",4
n_012_u_100_33,12,1,5
n_024_u_100_36,24,1,5
n_018_u_060_34,18,"0,6",4
n_018_u_040_35,18,"0,4",3
n_024_u_140_30,24,"1,4",7
n_012_u_040_34,12,"0,4",3
n_006_u_140_37,6,"1,4",6
n_006_u_080_38,6,"0,8",4
n_018_u_100_35,18,1,6
n_012_u_100_32,12,1,5
n_012_u_060_34,12,"0,6",3
n_006_u_060_35,6,"0,6",5
n_012_u_100_37,12,1,5
n_006_u_080_33,6,"0,8",4
n_018_u_040_34,18,"0,4",3
n_006_u_020_36,6,"0,2",3
n_006_u_080_35,6,"0,8",4
n_012_u_120_35,12,"1,2",5
n_024_u_060_35,24,"0,6",4
n_012_u_060_35,12,"0,6",5
n_012_u_020_37,12,"0,2",2
n_018_u_080_37,18,"0,8",5
n_018_u_040_36,18,"0,4",3
n_012_u_160_37,12,"1,6",8
n_024_u_100_33,24,1,5
n_006_u_040_36,6,"0,4",3
n_024_u_060_29,24,"0,6",3
n_018_u_120_33,18,"1,2",5
n_012_u_040_38,12,"0,4",3
n_018_u_140_35,18,"1,4",7
n_012_u_040_36,12,"0,4",4
n_018_u_020_35,18,"0,2",2
n_018_u_140_32,18,"1,4",7
n_006_u_080_39,6,"0,8",5
n_018_u_160_36,18,"1,6",7
n_006_u_080_34,6,"0,8",3
n_012_u_060_33,12,"0,6",4
n_012_u_080_32,12,"0,8",5
n_012_u_140_36,12,"1,4",8
n_018_u_040_32,18,"0,4",3
n_024_u_020_39,24,"0,2",2
n_006_u_040_37,6,"0,4",3
n_024_u_100_37,24,1,5
n_024_u_080_31,24,"0,8",4
n_006_u_020_40,6,"0,2",2
n_012_u_140_33,12,"1,4",7
n_024_u_060_36,24,"0,6",5
n_006_u_100_37,6,1,5
n_018_u_140_37,18,"1,4",8
n_006_u_140_39,6,"1,4",5
n_024_u_080_33,24,"0,8",4
n_012_u_020_36,12,"0,2",3
n_006_u_020_38,6,"0,2",3
n_024_u_160_34,24,"1,6",6
n_006_u_160_38,6,"1,6",7
n_018_u_040_33,18,"0,4",3
n_012_u_020_38,12,"0,2",2
n_012_u_080_37,12,"0,8",5
n_024_u_140_34,24,"1,4",7
n_006_u_040_35,6,"0,4",4
n_006_u_120_38,6,"1,2",5
n_006_u_060_34,6,"0,6",4
n_018_u_160_32,18,"1,6",10
n_012_u_060_39,12,"0,6",4
n_018_u_160_35,18,"1,6",7
n_018_u_120_38,18,"1,2",6
n_024_u_120_30,24,"1,2",7
n_006_u_160_37,6,"1,6",7
n_018_u_080_38,18,"0,8",4
n_012_u_020_34,12,"0,2",2
n_006_u_120_35,6,"1,2",7
n_018_u_120_37,18,"1,2",7
n_024_u_020_37,24,"0,2",2
n_018_u_080_36,18,"0,8",4
n_018_u_040_37,18,"0,4",3
n_006_u_060_39,6,"0,6",4
n_018_u_080_34,18,"0,8",4
n_018_u_160_33,18,"1,6",9
n_024_u_120_34,24,"1,2",6
n_012_u_020_35,12,"0,2",2
n_006_u_040_41,6,"0,4",2
n_024_u_040_40,24,"0,4",3
n_018_u_140_34,18,"1,4",6
n_006_u_160_39,6,"1,6",7
n_012_u_120_37,12,"1,2",5
n_024_u_060_37,24,"0,6",4
n_012_u_100_35,12,1,5
n_012_u_140_38,12,"1,4",6
n_012_u_120_34,12,"1,2",6
n_012_u_160_36,12,"1,6",8
n_024_u_080_36,24,"0,8",5
n_018_u_040_38,18,"0,4",3
n_018_u_040_31,18,"0,4",3
n_006_u_160_35,6,"1,6",6
n_012_u_120_39,12,"1,2",8
n_024_u_040_35,24,"0,4",3
n_024_u_040_37,24,"0,4",3
n_012_u_020_39,12,"0,2",3
n_006_u_160_36,6,"1,6",7
n_024_u_080_35,24,"0,8",5
n_018_u_120_32,18,"1,2",6
n_006_u_080_37,6,"0,8",4
n_006_u_100_39,6,1,6
n_024_u_120_32,24,"1,2",5
n_006_u_120_40,6,"1,2",6
n_024_u_100_38,24,1,6
n_024_u_040_41,24,"0,4",3
n_018_u_080_39,18,"0,8",4
n_006_u_100_36,6,1,4
n_012_u_060_40,12,"0,6",4
n_024_u_020_36,24,"0,2",2
n_012_u_100_39,12,1,5
n_018_u_020_42,18,"0,2",2
n_012_u_100_40,12,1,6
n_024_u_100_39,24,1,5
n_012_u_020_40,12,"0,2",2
n_006_u_100_41,6,1,4
n_012_u_140_37,12,"1,4",5
n_006_u_140_38,6,"1,4",7
n_018_u_060_35,18,"0,6",4
n_018_u_080_35,18,"0,8",5
n_024_u_040_36,24,"0,4",3
n_024_u_120_35,24,"1,2",6
n_006_u_160_40,6,"1,6",5
n_012_u_060_38,12,"0,6",5
n_018_u_060_33,18,"0,6",4
n_012_u_020_33,12,"0,2",2
n_006_u_040_42,6,"0,4",3
n_012_u_060_36,12,"0,6",4
n_024_u_020_41,24,"0,2",2
n_012_u_120_36,12,"1,2",6
n_024_u_060_39,24,"0,6",4
n_012_u_140_35,12,"1,4",8
n_018_u_160_40,18,"1,6",8
n_012_u_140_34,12,"1,4",7
n_006_u_080_42,6,"0,8",5
n_006_u_080_41,6,"0,8",5
n_006_u_040_38,6,"0,4",3
n_006_u_120_39,6,"1,2",5
n_006_u_160_41,6,"1,6",8
n_018_u_020_39,18,"0,2",3
n_018_u_020_43,18,"0,2",2
n_018_u_020_37,18,"0,2",2
n_018_u_120_36,18,"1,2",5
n_006_u_040_40,6,"0,4",4
n_018_u_040_39,18,"0,4",3
n_006_u_100_38,6,1,5
n_012_u_060_41,12,"0,6",4
n_018_u_100_36,18,1,5
n_018_u_140_36,18,"1,4",8
n_024_u_140_37,24,"1,4",6
n_012_u_100_34,12,1,4
n_006_u_160_34,6,"1,6",8
n_006_u_120_37,6,"1,2",5
n_012_u_040_37,12,"0,4",3
n_024_u_100_41,24,1,6
n_006_u_120_36,6,"1,2",6
n_024_u_080_40,24,"0,8",5
n_012_u_040_35,12,"0,4",3
n_024_u_160_37,24,"1,6",8
n_018_u_020_38,18,"0,2",2
n_018_u_100_32,18,1,5
n_018_u_060_38,18,"0,6",4
n_024_u_140_39,24,"1,4",6
n_012_u_060_37,12,"0,6",4
n_006_u_040_43,6,"0,4",3
n_018_u_160_38,18,"1,6",9
n_024_u_120_40,24,"1,2",7
n_024_u_160_38,24,"1,6",6
n_006_u_020_39,6,"0,2",2
n_006_u_080_36,6,"0,8",4
n_012_u_020_41,12,"0,2",2
n_006_u_020_37,6,"0,2",2
n_018_u_060_37,18,"0,6",4
n_018_u_080_40,18,"0,8",5
n_012_u_160_43,12,"1,6",8
n_012_u_140_42,12,"1,4",6
n_024_u_080_37,24,"0,8",4
n_024_u_140_41,24,"1,4",8
n_024_u_120_39,24,"1,2",5
n_006_u_040_39,6,"0,4",4
n_018_u_040_41,18,"0,4",3
n_024_u_040_39,24,"0,4",3
n_018_u_080_41,18,"0,8",4
n_024_u_120_41,24,"1,2",6
n_018_u_100_34,18,1,4
n_024_u_060_41,24,"0,6",4
n_012_u_100_38,12,1,6
n_012_u_080_38,12,"0,8",4
n_006_u_140_45,6,"1,4",7
n_012_u_040_40,12,"0,4",3
n_012_u_160_40,12,"1,6",8
n_006_u_160_42,6,"1,6",7
n_018_u_100_37,18,1,5
n_024_u_060_38,24,"0,6",5
n_024_u_080_42,24,"0,8",4
n_024_u_060_43,24,"0,6",4
n_012_u_120_38,12,"1,2",6
n_012_u_160_44,12,"1,6",7
n_006_u_120_44,6,"1,2",8
n_024_u_160_36,24,"1,6",7
n_024_u_040_43,24,"0,4",3
n_024_u_040_44,24,"0,4",3
n_012_u_160_38,12,"1,6",9
n_012_u_080_34,12,"0,8",5
n_012_u_020_43,12,"0,2",2
n_006_u_080_40,6,"0,8",3
n_024_u_160_42,24,"1,6",8
n_006_u_020_42,6,"0,2",2
n_018_u_160_37,18,"1,6",7
n_012_u_040_39,12,"0,4",3
n_006_u_060_40,6,"0,6",3
n_012_u_060_42,12,"0,6",5
n_012_u_140_40,12,"1,4",7
n_018_u_060_42,18,"0,6",3
n_006_u_140_46,6,"1,4",6
n_006_u_140_42,6,"1,4",6
n_024_u_120_38,24,"1,2",7
n_018_u_160_42,18,"1,6",8
n_012_u_160_39,12,"1,6",8
n_006_u_100_40,6,1,5
n_018_u_020_41,18,"0,2",2
n_012_u_060_43,12,"0,6",4
n_006_u_020_41,6,"0,2",2
n_006_u_060_36,6,"0,6",5
n_024_u_100_40,24,1,6
n_006_u_040_44,6,"0,4",2
n_024_u_120_37,24,"1,2",6
n_018_u_080_43,18,"0,8",5
n_006_u_140_40,6,"1,4",6
n_006_u_160_44,6,"1,6",7
n_024_u_060_40,24,"0,6",4
n_024_u_120_42,24,"1,2",6
n_006_u_040_45,6,"0,4",4
n_024_u_080_41,24,"0,8",5
n_012_u_080_36,12,"0,8",4
n_006_u_140_41,6,"1,4",5
n_018_u_020_46,18,"0,2",2
n_006_u_120_42,6,"1,2",7
n_018_u_020_45,18,"0,2",3
n_018_u_120_41,18,"1,2",7
n_018_u_040_43,18,"0,4",3
n_018_u_040_40,18,"0,4",3
n_018_u_120_39,18,"1,2",6
n_018_u_100_42,18,1,6
n_018_u_140_39,18,"1,4",5
n_012_u_040_44,12,"0,4",3
n_012_u_080_39,12,"0,8",6
n_024_u_040_38,24,"0,4",3
n_018_u_040_45,18,"0,4",3
n_024_u_120_43,24,"1,2",6
n_018_u_140_40,18,"1,4",6
n_018_u_060_39,18,"0,6",4
n_018_u_100_41,18,1,5
n_012_u_140_39,12,"1,4",6
n_024_u_080_39,24,"0,8",5
n_024_u_160_43,24,"1,6",7
n_006_u_020_46,6,"0,2",2
n_024_u_020_42,24,"0,2",2
n_018_u_060_44,18,"0,6",4
n_006_u_060_38,6,"0,6",4
n_018_u_120_43,18,"1,2",5
n_024_u_080_38,24,"0,8",5
n_012_u_060_45,12,"0,6",4
n_018_u_100_43,18,1,5
n_012_u_020_45,12,"0,2",2
n_012_u_020_42,12,"0,2",2
n_006_u_060_41,6,"0,6",3
n_012_u_140_44,12,"1,4",6
n_012_u_020_47,12,"0,2",2
n_024_u_020_38,24,"0,2",2
n_006_u_040_47,6,"0,4",3
n_006_u_120_41,6,"1,2",6
n_024_u_160_39,24,"1,6",7
n_012_u_160_42,12,"1,6",7
n_018_u_040_42,18,"0,4",3
n_024_u_040_42,24,"0,4",3
n_012_u_080_44,12,"0,8",4
n_024_u_120_36,24,"1,2",6
n_006_u_120_46,6,"1,2",4
n_018_u_020_40,18,"0,2",2
n_012_u_040_41,12,"0,4",3
n_012_u_100_43,12,1,7
n_012_u_160_47,12,"1,6",7
n_018_u_140_44,18,"1,4",8
n_024_u_080_46,24,"0,8",4
n_012_u_160_46,12,"1,6",8
n_006_u_160_46,6,"1,6",8
n_006_u_160_43,6,"1,6",8
n_024_u_100_47,24,1,5
n_018_u_140_38,18,"1,4",7
n_012_u_040_46,12,"0,4",3
n_006_u_160_48,6,"1,6",6
n_012_u_120_41,12,"1,2",6
n_018_u_080_42,18,"0,8",5
n_024_u_160_41,24,"1,6",7
n_012_u_080_43,12,"0,8",4
n_018_u_060_43,18,"0,6",3
n_012_u_100_41,12,1,4
n_012_u_120_42,12,"1,2",5
n_006_u_060_46,6,"0,6",4
n_006_u_140_44,6,"1,4",5
n_024_u_160_44,24,"1,6",10
n_006_u_020_43,6,"0,2",3
n_012_u_080_45,12,"0,8",4
n_012_u_100_45,12,1,5
n_006_u_020_48,6,"0,2",2
n_012_u_020_44,12,"0,2",2
n_006_u_080_45,6,"0,8",5
n_018_u_100_40,18,1,5
n_018_u_100_44,18,1,5
n_024_u_140_40,24,"1,4",6
n_024_u_060_42,24,"0,6",3
n_006_u_140_49,6,"1,4",5
n_006_u_140_48,6,"1,4",6
n_024_u_140_38,24,"1,4",7
n_024_u_160_40,24,"1,6",6
n_006_u_100_43,6,1,6
n_024_u_120_44,24,"1,2",5
n_006_u_060_45,6,"0,6",4
n_018_u_100_39,18,1,6
n_006_u_100_44,6,1,5
n_024_u_020_40,24,"0,2",2
n_018_u_100_45,18,1,4
n_006_u_080_43,6,"0,8",4
n_024_u_100_48,24,1,5
n_006_u_080_47,6,"0,8",4
n_006_u_060_47,6,"0,6",4
n_018_u_020_44,18,"0,2",2
n_024_u_020_43,24,"0,2",2
n_006_u_160_45,6,"1,6",6
n_018_u_060_41,18,"0,6",4
n_018_u_060_40,18,"0,6",4
n_012_u_040_45,12,"0,4",3
n_012_u_120_46,12,"1,2",6
n_024_u_100_44,24,1,6
n_012_u_060_44,12,"0,6",4
n_024_u_140_43,24,"1,4",8
n_024_u_080_44,24,"0,8",5
n_018_u_140_45,18,"1,4",6
n_024_u_120_46,24,"1,2",7
n_006_u_020_47,6,"0,2",2
n_018_u_160_43,18,"1,6",7
n_012_u_160_41,12,"1,6",6
n_012_u_120_40,12,"1,2",5
n_024_u_020_48,24,"0,2",2
n_012_u_080_46,12,"0,8",4
n_006_u_040_46,6,"0,4",4
n_006_u_100_48,6,1,5
n_018_u_060_48,18,"0,6",4
n_024_u_100_43,24,1,4
n_012_u_080_42,12,"0,8",5
n_024_u_160_45,24,"1,6",8
n_018_u_080_49,18,"0,8",5
n_024_u_100_42,24,1,6
n_012_u_080_47,12,"0,8",5
n_012_u_080_41,12,"0,8",4
n_012_u_040_43,12,"0,4",3
n_024_u_020_47,24,"0,2",2
n_012_u_040_42,12,"0,4",3
n_006_u_060_48,6,"0,6",3
n_006_u_140_43,6,"1,4",6
n_024_u_020_49,24,"0,2",2
n_024_u_140_47,24,"1,4",6
n_006_u_100_42,6,1,5
n_018_u_040_44,18,"0,4",3
n_018_u_100_38,18,1,6
n_024_u_160_46,24,"1,6",9
n_024_u_040_47,24,"0,4",3
n_006_u_060_44,6,"0,6",4
n_006_u_060_49,6,"0,6",3
n_006_u_020_45,6,"0,2",2
n_024_u_080_43,24,"0,8",5
n_024_u_140_42,24,"1,4",7
n_018_u_140_41,18,"1,4",8
n_006_u_020_44,6,"0,2",2
n_006_u_060_43,6,"0,6",4
n_024_u_080_48,24,"0,8",4
n_012_u_040_50,12,"0,4",3
n_024_u_060_45,24,"0,6",4
n_012_u_120_47,12,"1,2",6
n_018_u_160_39,18,"1,6",8
n_018_u_140_43,18,"1,4",5
n_018_u_140_46,18,"1,4",7
n_024_u_040_49,24,"0,4",3
n_018_u_080_50,18,"0,8",5
n_012_u_160_45,12,"1,6",7
n_018_u_100_46,18,1,5
n_012_u_140_45,12,"1,4",6
n_012_u_020_46,12,"0,2",2
n_018_u_120_40,18,"1,2",6
n_024_u_060_46,24,"0,6",4
n_018_u_120_42,18,"1,2",6
n_024_u_040_45,24,"0,4",3
n_024_u_120_45,24,"1,2",5
n_018_u_060_46,18,"0,6",4
n_024_u_160_48,24,"1,6",7
n_006_u_100_49,6,1,5
n_024_u_100_46,24,1,4
n_018_u_140_42,18,"1,4",7
n_018_u_020_49,18,"0,2",2
n_024_u_120_50,24,"1,2",6
n_024_u_120_48,24,"1,2",5
n_018_u_100_48,18,1,5
n_018_u_080_46,18,"0,8",5
n_018_u_120_45,18,"1,2",5
n_006_u_140_47,6,"1,4",7
n_024_u_020_50,24,"0,2",2
n_006_u_120_47,6,"1,2",6
n_006_u_160_47,6,"1,6",7
n_012_u_080_40,12,"0,8",4
n_018_u_160_41,18,"1,6",9
n_024_u_100_50,24,1,6
n_012_u_120_43,12,"1,2",8
n_018_u_080_45,18,"0,8",5
n_024_u_060_50,24,"0,6",3
n_012_u_080_48,12,"0,8",5
n_024_u_020_46,24,"0,2",2
n_018_u_160_44,18,"1,6",8
n_018_u_080_44,18,"0,8",6
n_018_u_040_47,18,"0,4",3
n_024_u_140_49,24,"1,4",8
n_018_u_060_50,18,"0,6",4
n_024_u_140_44,24,"1,4",8
n_012_u_040_48,12,"0,4",3
n_024_u_020_45,24,"0,2",2
n_006_u_060_42,6,"0,6",4
n_018_u_160_49,18,"1,6",7
n_012_u_120_48,12,"1,2",7
n_012_u_120_45,12,"1,2",6
n_018_u_060_45,18,"0,6",4
n_018_u_040_48,18,"0,4",3
n_018_u_020_47,18,"0,2",2
n_012_u_140_41,12,"1,4",6
n_012_u_100_42,12,1,5
n_024_u_120_47,24,"1,2",6
n_018_u_120_49,18,"1,2",6
