instance,n,u,procs,elapsed
n_006_u_120_1,6,1.2,3,0.759000000000015
n_005_u_100_1,5,1,3,0.8700000000008
n_006_u_120_2,6,1.2,3,0.836999999999534
n_007_u_140_1,7,1.4,3,0.976000000000568
n_008_u_160_1,8,1.6,3,1.18100000000049
n_008_u_160_2,8,1.6,4,1.07799999999952
n_007_u_140_2,7,1.4,3,1.24099999999999
n_009_u_180_1,9,1.8,4,1.39999999999964
n_010_u_200_1,10,2,4,1.56099999999969
n_009_u_180_2,9,1.8,4,1.65999999999985
n_010_u_200_2,10,2,4,1.82699999999932
n_011_u_220_1,11,2.2,4,1.99799999999959
n_013_u_260_1,13,2.6,5,2.03900000000067
n_005_u_100_2,5,1,3,1.95800000000054
n_012_u_240_2,12,2.4,5,2.05900000000111
n_011_u_220_2,11,2.2,4,2.09900000000016
n_012_u_240_1,12,2.4,4,2.28199999999924
n_014_u_280_2,14,2.8,5,2.35399999999936
n_013_u_260_2,13,2.6,5,2.63799999999901
n_014_u_280_1,14,2.8,5,2.90200000000004
n_017_u_340_1,17,3.4,5,3.15899999999965
n_015_u_300_2,15,3,7,3.10499999999956
n_016_u_320_2,16,3.2,6,3.11199999999917
n_015_u_300_1,15,3,6,3.33799999999974
n_016_u_320_1,16,3.2,6,3.34499999999935
n_018_u_360_1,18,3.6,6,3.41700000000128
n_017_u_340_2,17,3.4,5,3.50600000000122
n_019_u_380_1,19,3.8,7,4.02300000000105
n_020_u_400_1,20,4,7,4.08200000000033
n_018_u_360_2,18,3.6,6,3.40099999999984
n_023_u_459_1,23,4.6,7,4.48500000000058
n_020_u_400_2,20,4,7,3.90300000000025
n_019_u_380_2,19,3.8,8,4.22299999999996
n_019_u_380_3,19,3.8,7,4.20600000000013
n_021_u_420_1,21,4.2,7,5.13999999999942
n_020_u_400_3,20,4,7,3.85400000000118
n_022_u_440_1,22,4.4,7,5.86499999999978
n_021_u_420_3,21,4.2,7,4.70999999999913
n_018_u_360_3,18,3.6,9,4.16899999999987
n_024_u_480_1,24,4.8,8,6.29600000000028
n_021_u_420_2,21,4.2,7,5.28600000000006
