instance,n,u,procs,elapsed
n_005_u_100_2,5,1,4,0.0304799999999886
n_005_u_100_1,5,1,5,0.0469000000000232
n_006_u_120_1,6,1.2,4,0.0493800000000192
n_006_u_120_2,6,1.2,5,0.0696599999999672
n_007_u_140_2,7,1.4,6,0.0708199999999852
n_007_u_140_1,7,1.4,6,0.088060000000005
n_008_u_160_2,8,1.6,7,0.090699999999997
n_008_u_160_1,8,1.6,6,0.0956399999999848
n_009_u_180_2,9,1.8,8,0.121339999999982
n_009_u_180_1,9,1.8,9,0.127299999999996
n_010_u_200_1,10,2,9,0.145420000000013
n_011_u_220_1,11,2.2,10,0.170660000000025
n_011_u_220_2,11,2.2,11,0.173300000000017
n_012_u_240_2,12,2.4,8,0.174079999999994
n_010_u_200_2,10,2,8,0.194240000000027
n_012_u_240_1,12,2.4,11,0.215900000000002
n_013_u_260_2,13,2.6,10,0.240319999999992
n_013_u_260_1,13,2.6,11,0.255479999999988
n_014_u_280_1,14,2.8,13,0.255679999999994
n_014_u_280_2,14,2.8,11,0.266159999999982
n_015_u_300_2,15,3,15,0.294039999999986
n_015_u_300_1,15,3,16,0.323940000000002
n_016_u_320_1,16,3.2,14,0.329079999999994
n_017_u_340_2,17,3.4,13,0.357520000000004
n_016_u_320_2,16,3.2,16,0.35808000000001
n_017_u_340_1,17,3.4,15,0.385799999999982
n_018_u_360_1,18,3.6,13,0.393120000000018
n_018_u_360_3,18,3.6,14,0.394580000000024
n_019_u_380_1,19,3.8,17,0.448600000000006
n_020_u_400_3,20,4,14,0.38326000000001
n_018_u_360_2,18,3.6,16,0.413199999999998
n_020_u_400_1,20,4,16,0.505040000000008
n_020_u_400_2,20,4,15,0.43696
n_019_u_380_2,19,3.8,16,0.488680000000022
n_021_u_420_1,21,4.2,18,0.542479999999996
n_019_u_380_3,19,3.8,16,0.487160000000004
n_021_u_420_3,21,4.2,19,0.476100000000006
n_022_u_440_1,22,4.4,19,0.574079999999994
n_023_u_459_1,23,4.6,17,0.629799999999996
n_021_u_420_2,21,4.2,17,0.549660000000004
n_022_u_440_2,22,4.4,16,0.57941999999999
n_025_u_500_1,25,5,24,0.717160000000004
n_024_u_480_1,24,4.8,22,0.71890000000003
n_022_u_440_3,22,4.4,21,0.62453999999998
n_027_u_540_1,27,5.4,21,0.766680000000014
n_023_u_459_2,23,4.6,20,0.635879999999998
n_024_u_480_2,24,4.8,18,0.612299999999996
n_026_u_520_1,26,5.2,21,0.850660000000026
n_023_u_459_3,23,4.6,21,0.69308000000001
n_024_u_480_3,24,4.8,21,0.719480000000004
n_028_u_560_1,28,5.6,24,0.944360000000016
n_025_u_500_2,25,5,19,0.745879999999998
n_029_u_580_1,29,5.8,22,0.96528000000002
n_025_u_500_3,25,5,22,0.801820000000006
n_026_u_520_2,26,5.2,22,0.815480000000026
n_026_u_520_3,26,5.2,22,0.830699999999998
n_030_u_600_1,30,6,25,1.08624
n_027_u_540_2,27,5.4,20,0.831440000000002
n_027_u_540_3,27,5.4,23,0.877720000000008
n_031_u_620_1,31,6.2,27,1.16922000000002
n_032_u_640_1,32,6.4,31,1.21964
n_028_u_560_3,28,5.6,21,0.996159999999982
n_029_u_580_2,29,5.8,26,0.964919999999984
n_033_u_660_1,33,6.6,25,1.29558000000001
n_028_u_560_2,28,5.6,22,0.98591999999997
n_030_u_600_3,30,6,22,0.985699999999998
n_029_u_580_3,29,5.8,22,0.988160000000026
n_034_u_680_1,34,6.8,24,1.36469999999998
n_030_u_600_2,30,6,23,1.05349999999999
n_031_u_620_4,31,6.2,24,1.06871999999999
n_035_u_700_1,35,7,27,1.55343999999997
n_031_u_620_3,31,6.2,23,1.12482
n_031_u_620_2,31,6.2,27,1.20889999999999
n_037_u_740_1,37,7.4,36,1.66646000000001
n_036_u_720_1,36,7.2,26,1.70106
n_032_u_640_2,32,6.4,26,1.25477999999999
n_033_u_660_3,33,6.6,29,1.2523
n_033_u_660_2,33,6.6,30,1.27516
n_032_u_640_3,32,6.4,26,1.26294000000002
n_038_u_760_1,38,7.6,27,1.81164000000001
n_033_u_660_4,33,6.6,28,1.36135999999999
n_039_u_780_1,39,7.8,30,1.81925999999999
n_005_u_100_3,5,1,5,0.0381800000000294
n_006_u_120_3,6,1.2,5,0.0469599999999992
n_032_u_640_4,32,6.4,27,1.31464
n_034_u_680_4,34,6.8,26,1.35665999999997
n_034_u_680_2,34,6.8,26,1.42049999999999
n_041_u_819_1,41,8.2,39,2.00142000000004
n_034_u_680_3,34,6.8,28,1.39389999999999
n_035_u_700_2,35,7,30,1.48081999999999
n_008_u_160_3,8,1.6,7,0.077599999999984
n_036_u_720_2,36,7.2,30,1.45564000000002
n_042_u_840_1,42,8.4,37,2.11802
