instance,n,u,procs,elapsed,passive
n_030_u_600_1,30,6,12,0.209,26
n_029_u_580_1,29,5.8,12,0.219,27
n_029_u_580_2,29,5.8,14,0.151,26
n_031_u_620_1,31,6.2,13,0.23,28
n_023_u_459_3,23,4.6,11,0.098,21
n_032_u_640_1,32,6.4,15,0.232,26
n_028_u_560_2,28,5.6,12,0.171,23
n_025_u_500_3,25,5,12,0.107,21
n_036_u_720_1,36,7.2,15,0.233,31
n_032_u_640_3,32,6.4,16,0.158,28
n_034_u_680_2,34,6.8,15,0.138,29
n_031_u_620_3,31,6.2,14,0.161,29
n_033_u_660_1,33,6.6,14,0.261,27
n_032_u_640_2,32,6.4,14,0.165,27
n_024_u_480_3,24,4.8,11,0.141,20
n_026_u_520_3,26,5.2,11,0.132,24
n_030_u_600_2,30,6,14,0.194,25
n_027_u_540_3,27,5.4,11,0.128,25
n_035_u_700_1,35,7,13,0.281,29
n_033_u_660_2,33,6.6,13,0.191,30
n_033_u_660_3,33,6.6,16,0.179,28
n_041_u_819_1,41,8.2,18,0.266,38
n_031_u_620_2,31,6.2,13,0.199,26
n_030_u_600_3,30,6,13,0.135,26
n_008_u_160_3,8,1.6,4,0.0169999999999999,7
n_039_u_780_1,39,7.8,17,0.296,34
n_028_u_560_3,28,5.6,14,0.17,24
n_042_u_840_1,42,8.4,18,0.29,40
n_029_u_580_3,29,5.8,13,0.15,25
n_034_u_680_3,34,6.8,15,0.194,29
n_037_u_740_1,37,7.4,17,0.311,31
n_031_u_620_4,31,6.2,14,0.145,27
n_006_u_120_3,6,1.2,4,0.0129999999999999,5
n_035_u_700_2,35,7,15,0.181,32
n_040_u_800_1,40,8,16,0.311,35
n_009_u_180_3,9,1.8,5,0.0149999999999999,8
n_038_u_760_1,38,7.6,18,0.316,32
n_036_u_720_3,36,7.2,15,0.213,31
n_037_u_740_2,37,7.4,15,0.198,31
n_005_u_100_3,5,1,3,0.00700000000000012,4
n_032_u_640_4,32,6.4,13,0.163,29
n_007_u_140_3,7,1.4,4,0.018,6
n_035_u_700_3,35,7,17,0.211,31
n_034_u_680_4,34,6.8,13,0.185,30
n_033_u_660_4,33,6.6,14,0.176,30
n_036_u_720_2,36,7.2,15,0.244,32
n_044_u_880_1,44,8.8,20,0.355,40
n_021_u_420_4,21,4.2,9,0.083,19
n_047_u_940_1,47,9.4,20,0.363,43
n_045_u_900_1,45,9,17,0.369,40
n_018_u_360_4,18,3.6,9,0.0600000000000001,16
n_022_u_440_4,22,4.4,9,0.0800000000000001,21
n_011_u_220_3,11,2.2,5,0.0290000000000001,9
n_037_u_740_3,37,7.4,17,0.227,32
n_049_u_980_1,49,9.8,20,0.377,42
n_020_u_400_4,20,4,9,0.0629999999999999,19
n_038_u_760_2,38,7.6,15,0.254,33
n_035_u_700_4,35,7,14,0.216,32
n_019_u_380_4,19,3.8,9,0.091,16
n_036_u_720_4,36,7.2,17,0.194,32
n_039_u_780_2,39,7.8,17,0.263,33
n_005_u_100_4,5,1,3,0.0129999999999999,4
n_040_u_800_2,40,8,18,0.239,35
n_039_u_780_3,39,7.8,15,0.243,33
n_014_u_280_3,14,2.8,7,0.0409999999999999,11
n_046_u_920_1,46,9.2,19,0.408,41
n_006_u_120_4,6,1.2,4,0.014,6
n_012_u_240_3,12,2.4,6,0.04,10
n_006_u_120_5,6,1.2,4,0.012,6
n_007_u_140_4,7,1.4,4,0.0170000000000001,5
n_043_u_860_1,43,8.6,19,0.424,36
n_038_u_760_3,38,7.6,16,0.284,32
n_040_u_800_3,40,8,15,0.267,37
n_016_u_320_3,16,3.2,8,0.0489999999999999,14
n_041_u_819_2,41,8.2,19,0.289,35
n_047_u_940_2,47,9.4,18,0.269,42
n_005_u_100_5,5,1,3,0.0110000000000001,4
n_043_u_860_2,43,8.6,19,0.27,39
n_010_u_200_3,10,2,5,0.0230000000000001,9
n_007_u_140_5,7,1.4,4,0.0110000000000001,6
n_013_u_260_3,13,2.6,7,0.034,11
n_041_u_819_3,41,8.2,17,0.248,37
n_037_u_740_4,37,7.4,15,0.219,33
n_008_u_160_4,8,1.6,4,0.0210000000000001,7
n_018_u_360_5,18,3.6,8,0.0600000000000001,16
n_048_u_960_1,48,9.6,20,0.462,41
n_010_u_200_4,10,2,5,0.0230000000000001,10
n_045_u_900_4,45,9,20,0.253,37
n_008_u_160_5,8,1.6,4,0.0209999999999999,8
n_014_u_280_4,14,2.8,7,0.0410000000000001,13
n_024_u_480_4,24,4.8,10,0.0979999999999999,22
n_038_u_760_4,38,7.6,18,0.277,31
n_042_u_840_3,42,8.4,17,0.301,35
n_019_u_380_5,19,3.8,8,0.0790000000000002,17
n_020_u_400_5,20,4,8,0.073,18
n_012_u_240_6,12,2.4,6,0.026,9
n_005_u_100_6,5,1,3,0.0110000000000001,4
n_019_u_380_6,19,3.8,9,0.0830000000000002,17
n_045_u_900_2,45,9,22,0.301,39
n_039_u_780_4,39,7.8,16,0.258,35
n_009_u_180_5,9,1.8,4,0.016,8
n_018_u_360_6,18,3.6,9,0.0650000000000002,15
n_042_u_840_2,42,8.4,23,0.328,37
n_006_u_120_6,6,1.2,3,0.00900000000000012,5
n_050_u_1000_1,50,10,22,0.504,42
n_015_u_300_3,15,3,7,0.046,12
n_020_u_400_6,20,4,8,0.073,18
n_040_u_800_4,40,8,18,0.272,35
n_047_u_940_3,47,9.4,20,0.311,40
n_009_u_180_4,9,1.8,4,0.0189999999999999,8
n_023_u_459_4,23,4.6,10,0.0880000000000001,19
n_034_u_680_5,34,6.8,15,0.172,30
n_012_u_240_4,12,2.4,7,0.036,10
n_007_u_140_6,7,1.4,3,0.012,6
n_043_u_860_4,43,8.6,18,0.276,37
n_043_u_860_3,43,8.6,18,0.303,37
n_025_u_500_4,25,5,12,0.136,21
n_027_u_540_4,27,5.4,13,0.139,25
n_031_u_620_5,31,6.2,12,0.177,30
n_021_u_420_5,21,4.2,9,0.091,19
n_045_u_900_3,45,9,19,0.318,37
n_041_u_819_4,41,8.2,20,0.277,33
n_029_u_580_4,29,5.8,12,0.124,27
n_018_u_360_7,18,3.6,8,0.0609999999999999,16
n_032_u_640_5,32,6.4,13,0.175,28
n_014_u_280_5,14,2.8,6,0.034,12
n_044_u_880_4,44,8.8,21,0.341,37
n_044_u_880_3,44,8.8,20,0.3,37
n_010_u_200_6,10,2,5,0.0210000000000001,8
n_026_u_520_4,26,5.2,10,0.123,22
n_042_u_840_4,42,8.4,17,0.284,38
n_023_u_459_5,23,4.6,10,0.103,19
n_025_u_500_7,25,5,11,0.0760000000000001,24
n_017_u_340_3,17,3.4,9,0.0589999999999999,15
n_044_u_880_5,44,8.8,19,0.279,40
n_048_u_960_2,48,9.6,22,0.32,41
n_008_u_160_6,8,1.6,5,0.0170000000000001,8
n_027_u_540_5,27,5.4,10,0.099,25
n_021_u_420_6,21,4.2,8,0.101,20
n_012_u_240_5,12,2.4,7,0.03,10
n_019_u_380_7,19,3.8,8,0.071,15
n_010_u_200_5,10,2,5,0.0369999999999999,8
n_035_u_700_5,35,7,17,0.21,29
n_009_u_180_6,9,1.8,6,0.0209999999999999,9
n_011_u_220_6,11,2.2,6,0.028,10
n_044_u_880_2,44,8.8,19,0.402,35
n_033_u_660_5,33,6.6,15,0.213,26
n_046_u_920_2,46,9.2,18,0.371,39
n_011_u_220_5,11,2.2,7,0.034,9
n_011_u_220_7,11,2.2,5,0.0270000000000001,10
n_022_u_440_6,22,4.4,10,0.097,20
n_049_u_980_2,49,9.8,22,0.398,41
n_015_u_300_4,15,3,7,0.042,12
n_046_u_920_5,46,9.2,21,0.292,38
n_011_u_220_4,11,2.2,6,0.0330000000000001,9
n_020_u_400_7,20,4,9,0.0920000000000001,17
n_022_u_440_5,22,4.4,11,0.104,19
n_047_u_940_4,47,9.4,19,0.351,41
n_049_u_980_4,49,9.8,19,0.334,43
n_031_u_620_6,31,6.2,14,0.178,28
n_013_u_260_4,13,2.6,6,0.0390000000000001,12
n_046_u_920_3,46,9.2,19,0.394,41
n_046_u_920_4,46,9.2,18,0.394,41
n_048_u_960_3,48,9.6,21,0.356,41
n_013_u_260_7,13,2.6,6,0.0329999999999999,12
n_016_u_320_4,16,3.2,7,0.0509999999999999,15
n_023_u_459_7,23,4.6,10,0.0980000000000001,19
n_050_u_1000_2,50,10,19,0.375,43
n_025_u_500_6,25,5,11,0.083,21
n_027_u_540_6,27,5.4,11,0.103,22
n_021_u_420_7,21,4.2,9,0.095,17
n_032_u_640_6,32,6.4,13,0.184,30
n_047_u_940_5,47,9.4,20,0.345,41
n_016_u_320_6,16,3.2,7,0.0409999999999999,14
n_025_u_500_5,25,5,12,0.143,21
n_031_u_620_7,31,6.2,13,0.175,28
n_037_u_740_5,37,7.4,16,0.203,32
n_013_u_260_6,13,2.6,6,0.034,11
n_014_u_280_6,14,2.8,6,0.048,13
n_022_u_440_7,22,4.4,11,0.093,17
n_028_u_560_4,28,5.6,11,0.175,25
n_048_u_960_4,48,9.6,22,0.364,42
n_013_u_260_5,13,2.6,6,0.04,13
n_024_u_480_7,24,4.8,11,0.102,21
n_023_u_459_6,23,4.6,10,0.115,19
n_032_u_640_7,32,6.4,13,0.2,28
n_015_u_300_5,15,3,8,0.05,13
n_033_u_660_6,33,6.6,14,0.212,29
n_031_u_620_8,31,6.2,15,0.157,27
n_017_u_340_4,17,3.4,8,0.0529999999999999,14
n_014_u_280_7,14,2.8,7,0.0429999999999999,12
n_024_u_480_8,24,4.8,9,0.119,21
n_030_u_600_4,30,6,14,0.153,26
n_050_u_1000_3,50,10,19,0.421,44
n_050_u_1000_4,50,10,23,0.348,43
n_045_u_900_5,45,9,20,0.422,37
n_024_u_480_6,24,4.8,11,0.133,20
n_015_u_300_6,15,3,8,0.0509999999999999,13
n_036_u_720_5,36,7.2,17,0.211,32
n_034_u_680_6,34,6.8,16,0.193,28
n_033_u_660_7,33,6.6,16,0.226,25
n_038_u_760_8,38,7.6,16,0.171,34
n_024_u_480_5,24,4.8,11,0.116,21
n_032_u_640_8,32,6.4,14,0.163,30
n_049_u_980_3,49,9.8,21,0.402,43
n_005_u_100_10,5,1,4,0.00600000000000001,5
n_026_u_520_5,26,5.2,12,0.112,23
n_028_u_560_5,28,5.6,12,0.147,24
n_026_u_520_8,26,5.2,12,0.106,22
n_012_u_240_7,12,2.4,6,0.0370000000000001,10
n_017_u_340_6,17,3.4,8,0.0509999999999999,15
n_048_u_960_5,48,9.6,19,0.403,43
n_017_u_340_5,17,3.4,7,0.0589999999999999,15
n_049_u_980_5,49,9.8,22,0.403,43
n_035_u_700_7,35,7,17,0.194,29
n_016_u_320_5,16,3.2,8,0.052,15
n_018_u_360_11,18,3.6,10,0.048,15
n_026_u_520_6,26,5.2,11,0.111,23
n_029_u_580_7,29,5.8,13,0.128,25
n_026_u_520_7,26,5.2,10,0.122,24
n_034_u_680_7,34,6.8,14,0.233,29
n_027_u_540_7,27,5.4,11,0.127,24
n_036_u_720_6,36,7.2,14,0.247,32
n_033_u_660_8,33,6.6,15,0.188,29
n_038_u_760_5,38,7.6,17,0.276,30
n_029_u_580_5,29,5.8,13,0.158,25
n_035_u_700_6,35,7,16,0.189,31
n_015_u_300_7,15,3,8,0.0430000000000001,14
n_005_u_100_7,5,1,4,0.00900000000000012,5
n_028_u_560_6,28,5.6,12,0.138,25
n_016_u_320_7,16,3.2,8,0.0490000000000002,14
n_030_u_600_5,30,6,13,0.133,25
n_039_u_780_5,39,7.8,17,0.292,33
n_027_u_540_8,27,5.4,13,0.139,23
n_040_u_800_6,40,8,18,0.284,35
n_047_u_940_6,47,9.4,20,0.331,42
n_034_u_680_8,34,6.8,14,0.191,30
n_044_u_880_6,44,8.8,20,0.32,38
n_006_u_120_7,6,1.2,3,0.01,5
n_040_u_800_7,40,8,16,0.206,35
n_050_u_1000_5,50,10,22,0.418,42
n_007_u_140_8,7,1.4,4,0.012,6
n_025_u_500_8,25,5,11,0.105,21
n_040_u_800_5,40,8,18,0.333,33
n_036_u_720_8,36,7.2,15,0.216,31
n_042_u_840_5,42,8.4,20,0.325,35
n_038_u_760_6,38,7.6,17,0.205,35
n_007_u_140_9,7,1.4,4,0.0130000000000001,6
n_046_u_920_6,46,9.2,22,0.298,38
n_005_u_100_8,5,1,4,0.00800000000000001,5
n_028_u_560_7,28,5.6,12,0.156,25
n_045_u_900_6,45,9,19,0.336,38
n_007_u_140_7,7,1.4,4,0.018,6
n_011_u_220_8,11,2.2,5,0.03,10
n_009_u_180_7,9,1.8,5,0.018,9
n_018_u_360_8,18,3.6,8,0.0669999999999999,16
n_035_u_700_8,35,7,16,0.217,29
n_014_u_280_8,14,2.8,6,0.04,13
n_036_u_720_7,36,7.2,14,0.22,33
n_029_u_580_6,29,5.8,12,0.122,25
n_017_u_340_7,17,3.4,7,0.0489999999999999,16
n_038_u_760_7,38,7.6,19,0.26,33
n_012_u_240_8,12,2.4,6,0.0269999999999999,10
n_013_u_260_8,13,2.6,7,0.032,12
n_030_u_600_7,30,6,13,0.148,27
n_037_u_740_8,37,7.4,17,0.242,34
n_005_u_100_9,5,1,4,0.012,5
n_031_u_620_12,31,6.2,14,0.137,26
n_037_u_740_9,37,7.4,15,0.222,34
n_019_u_380_8,19,3.8,9,0.075,17
n_020_u_400_10,20,4,8,0.0620000000000001,17
n_018_u_360_9,18,3.6,9,0.056,16
n_030_u_600_6,30,6,13,0.169,27
n_020_u_400_9,20,4,8,0.083,18
n_044_u_880_7,44,8.8,19,0.331,37
n_020_u_400_8,20,4,9,0.081,18
n_028_u_560_8,28,5.6,14,0.149,24
n_041_u_819_5,41,8.2,16,0.296,37
n_044_u_880_8,44,8.8,18,0.307,41
n_037_u_740_6,37,7.4,15,0.244,31
n_011_u_220_9,11,2.2,5,0.0289999999999999,10
n_029_u_580_8,29,5.8,13,0.154,25
n_039_u_780_6,39,7.8,16,0.244,33
n_037_u_740_7,37,7.4,15,0.264,33
n_022_u_440_8,22,4.4,11,0.104,19
n_024_u_480_9,24,4.8,9,0.107,22
n_008_u_160_7,8,1.6,4,0.0169999999999999,6
n_018_u_360_10,18,3.6,7,0.0680000000000001,16
n_006_u_120_8,6,1.2,4,0.01,5
n_026_u_520_9,26,5.2,12,0.0850000000000002,22
n_011_u_220_10,11,2.2,6,0.0269999999999999,10
n_048_u_960_6,48,9.6,21,0.427,41
n_042_u_840_8,42,8.4,17,0.217,37
n_044_u_880_9,44,8.8,20,0.308,36
n_045_u_900_8,45,9,18,0.328,40
n_041_u_819_6,41,8.2,18,0.264,37
n_043_u_860_5,43,8.6,19,0.303,39
n_039_u_780_9,39,7.8,18,0.266,33
n_027_u_540_9,27,5.4,12,0.126,24
n_046_u_920_7,46,9.2,19,0.334,42
n_009_u_180_10,9,1.8,5,0.016,9
n_006_u_120_11,6,1.2,3,0.0110000000000001,5
n_025_u_500_9,25,5,10,0.12,21
n_008_u_160_8,8,1.6,5,0.018,7
n_011_u_220_11,11,2.2,5,0.024,10
n_010_u_200_7,10,2,5,0.0209999999999999,9
n_012_u_240_10,12,2.4,6,0.03,11
n_045_u_900_9,45,9,18,0.312,40
n_045_u_900_7,45,9,17,0.388,37
n_039_u_780_8,39,7.8,17,0.262,32
n_039_u_780_7,39,7.8,17,0.267,34
n_015_u_300_8,15,3,6,0.0519999999999998,14
n_013_u_260_9,13,2.6,7,0.034,10
n_047_u_940_7,47,9.4,21,0.335,41
n_019_u_380_9,19,3.8,9,0.0699999999999998,16
n_006_u_120_9,6,1.2,3,0.012,5
n_006_u_120_10,6,1.2,4,0.014,5
n_041_u_819_7,41,8.2,17,0.247,36
n_033_u_660_11,33,6.6,14,0.14,29
n_050_u_1000_6,50,10,21,0.406,43
n_031_u_620_9,31,6.2,13,0.186,28
n_046_u_920_8,46,9.2,21,0.347,38
n_012_u_240_9,12,2.4,6,0.034,10
n_042_u_840_6,42,8.4,19,0.274,37
n_012_u_240_11,12,2.4,5,0.0389999999999999,11
n_021_u_420_8,21,4.2,8,0.0940000000000001,18
n_049_u_980_6,49,9.8,21,0.36,43
n_008_u_160_9,8,1.6,4,0.014,6
n_024_u_480_11,24,4.8,10,0.087,22
n_022_u_440_11,22,4.4,10,0.0680000000000003,20
n_019_u_380_12,19,3.8,8,0.0640000000000003,18
n_031_u_620_10,31,6.2,14,0.16,27
n_040_u_800_8,40,8,16,0.299,36
n_024_u_480_10,24,4.8,9,0.116,20
n_040_u_800_9,40,8,18,0.258,36
n_009_u_180_8,9,1.8,5,0.0250000000000001,7
n_007_u_140_10,7,1.4,4,0.0139999999999998,6
n_014_u_280_9,14,2.8,7,0.0489999999999999,13
n_032_u_640_9,32,6.4,13,0.18,27
n_013_u_260_10,13,2.6,7,0.0370000000000001,11
n_030_u_600_8,30,6,13,0.207,27
n_047_u_940_8,47,9.4,22,0.321,41
n_007_u_140_11,7,1.4,4,0.0129999999999999,6
n_038_u_760_9,38,7.6,17,0.259,33
n_043_u_860_6,43,8.6,17,0.29,37
n_021_u_420_9,21,4.2,9,0.0950000000000002,17
n_023_u_459_8,23,4.6,11,0.0880000000000001,19
n_017_u_340_8,17,3.4,8,0.056,16
n_016_u_320_8,16,3.2,7,0.0479999999999998,15
n_019_u_380_11,19,3.8,9,0.0680000000000001,16
n_048_u_960_8,48,9.6,22,0.362,43
n_019_u_380_10,19,3.8,9,0.0760000000000001,18
n_031_u_620_11,31,6.2,13,0.158,26
n_010_u_200_8,10,2,5,0.024,9
n_024_u_480_12,24,4.8,10,0.117,18
n_025_u_500_11,25,5,10,0.111,23
n_033_u_660_10,33,6.6,15,0.208,27
n_048_u_960_7,48,9.6,20,0.349,41
n_046_u_920_9,46,9.2,19,0.359,40
n_014_u_280_10,14,2.8,6,0.0489999999999999,11
n_021_u_420_10,21,4.2,10,0.079,19
n_026_u_520_10,26,5.2,10,0.111,24
n_033_u_660_9,33,6.6,13,0.204,29
n_025_u_500_10,25,5,11,0.106,23
n_015_u_300_10,15,3,7,0.0460000000000003,12
n_044_u_880_13,44,8.8,20,0.27,38
n_020_u_400_12,20,4,10,0.073,18
n_041_u_819_8,41,8.2,16,0.311,36
n_020_u_400_11,20,4,10,0.0819999999999999,17
n_028_u_560_9,28,5.6,13,0.143,24
n_013_u_260_11,13,2.6,5,0.0379999999999998,12
n_025_u_500_12,25,5,12,0.118,21
n_022_u_440_9,22,4.4,10,0.093,21
n_047_u_940_9,47,9.4,18,0.362,42
n_005_u_100_11,5,1,3,0.0909999999999997,4
n_039_u_780_10,39,7.8,16,0.216,34
n_008_u_160_10,8,1.6,4,0.02,7
n_011_u_220_15,11,2.2,6,0.0219999999999998,8
n_035_u_700_9,35,7,15,0.227,29
n_015_u_300_9,15,3,6,0.0619999999999998,12
n_042_u_840_7,42,8.4,19,0.314,37
n_049_u_980_9,49,9.8,19,0.361,43
n_049_u_980_7,49,9.8,21,0.427,43
n_006_u_120_12,6,1.2,4,0.0150000000000001,5
n_043_u_860_8,43,8.6,19,0.316,36
n_032_u_640_10,32,6.4,15,0.167,28
n_026_u_520_11,26,5.2,11,0.121,20
n_035_u_700_12,35,7,15,0.144,32
n_037_u_740_10,37,7.4,15,0.25,31
n_009_u_180_9,9,1.8,5,0.0169999999999999,8
n_043_u_860_7,43,8.6,18,0.299,37
n_027_u_540_10,27,5.4,11,0.134,24
n_040_u_800_10,40,8,17,0.232,35
n_023_u_459_9,23,4.6,11,0.0979999999999999,19
n_010_u_200_10,10,2,6,0.0230000000000001,10
n_014_u_280_11,14,2.8,6,0.0419999999999998,12
n_041_u_819_9,41,8.2,16,0.292,36
n_007_u_140_12,7,1.4,4,0.00999999999999979,7
n_032_u_640_13,32,6.4,14,0.17,28
n_050_u_1000_9,50,10,20,0.346,43
n_010_u_200_9,10,2,5,0.0259999999999998,9
n_016_u_320_11,16,3.2,7,0.0449999999999999,15
n_042_u_840_9,42,8.4,19,0.291,37
n_008_u_160_11,8,1.6,5,0.016,8
n_018_u_360_12,18,3.6,8,0.0680000000000001,15
n_034_u_680_10,34,6.8,16,0.156,30
n_048_u_960_9,48,9.6,21,0.399,43
n_016_u_320_9,16,3.2,8,0.0579999999999998,14
n_027_u_540_11,27,5.4,12,0.123,24
n_024_u_480_16,24,4.8,11,0.077,22
n_038_u_760_10,38,7.6,16,0.262,33
n_029_u_580_9,29,5.8,13,0.159,25
n_021_u_420_11,21,4.2,8,0.081,18
n_009_u_180_11,9,1.8,5,0.0230000000000001,9
n_019_u_380_13,19,3.8,9,0.069,16
n_049_u_980_8,49,9.8,22,0.398,43
n_030_u_600_9,30,6,12,0.172,26
n_037_u_740_12,37,7.4,15,0.214,33
n_005_u_100_12,5,1,3,0.016,4
n_017_u_340_11,17,3.4,8,0.0510000000000002,14
n_037_u_740_11,37,7.4,17,0.22,33
n_034_u_680_9,34,6.8,15,0.236,29
n_028_u_560_11,28,5.6,12,0.133,24
n_026_u_520_12,26,5.2,12,0.126,23
n_020_u_400_13,20,4,10,0.0669999999999997,17
n_036_u_720_9,36,7.2,16,0.199,34
n_032_u_640_11,32,6.4,15,0.181,27
n_022_u_440_10,22,4.4,9,0.0869999999999997,20
n_015_u_300_11,15,3,7,0.0500000000000003,14
n_032_u_640_12,32,6.4,16,0.205,28
n_046_u_920_12,46,9.2,19,0.272,40
n_050_u_1000_10,50,10,21,0.426,46
n_023_u_459_11,23,4.6,10,0.108,20
n_028_u_560_10,28,5.6,11,0.141,24
n_021_u_420_12,21,4.2,10,0.093,17
n_016_u_320_10,16,3.2,6,0.0680000000000001,15
n_033_u_660_13,33,6.6,14,0.182,30
n_023_u_459_10,23,4.6,10,0.106,19
n_034_u_680_11,34,6.8,15,0.21,30
n_018_u_360_13,18,3.6,8,0.0670000000000002,15
n_013_u_260_14,13,2.6,6,0.0339999999999998,11
n_033_u_660_12,33,6.6,15,0.186,28
n_037_u_740_13,37,7.4,15,0.23,32
n_044_u_880_10,44,8.8,19,0.31,38
n_044_u_880_11,44,8.8,17,0.291,41
n_038_u_760_12,38,7.6,16,0.235,34
n_050_u_1000_7,50,10,19,0.421,44
n_050_u_1000_8,50,10,21,0.408,44
n_029_u_580_12,29,5.8,13,0.127,23
n_005_u_100_14,5,1,3,0.00999999999999979,4
n_043_u_860_9,43,8.6,19,0.289,38
n_022_u_440_12,22,4.4,11,0.107,19
n_038_u_760_11,38,7.6,15,0.224,33
n_035_u_700_10,35,7,15,0.209,30
n_011_u_220_12,11,2.2,5,0.028,10
n_017_u_340_12,17,3.4,8,0.0600000000000001,15
n_011_u_220_13,11,2.2,7,0.0259999999999998,8
n_005_u_100_13,5,1,3,0.0100000000000002,4
n_027_u_540_12,27,5.4,12,0.166,23
n_010_u_200_11,10,2,6,0.028,9
n_030_u_600_12,30,6,15,0.131,24
n_036_u_720_10,36,7.2,16,0.198,31
n_039_u_780_11,39,7.8,16,0.282,35
n_029_u_580_10,29,5.8,12,0.161,26
n_038_u_760_13,38,7.6,18,0.253,32
n_041_u_819_10,41,8.2,18,0.261,35
n_017_u_340_10,17,3.4,8,0.0680000000000001,15
n_006_u_120_13,6,1.2,3,0.0110000000000001,4
n_005_u_100_15,5,1,3,0.00699999999999967,4
n_046_u_920_11,46,9.2,19,0.313,39
n_034_u_680_12,34,6.8,15,0.171,28
n_026_u_520_15,26,5.2,11,0.0879999999999996,23
n_018_u_360_15,18,3.6,8,0.0680000000000001,17
n_044_u_880_12,44,8.8,19,0.322,38
n_037_u_740_17,37,7.4,15,0.181,34
n_017_u_340_9,17,3.4,8,0.0819999999999999,13
n_008_u_160_12,8,1.6,4,0.0169999999999999,7
n_046_u_920_10,46,9.2,17,0.311,43
n_018_u_360_14,18,3.6,8,0.0620000000000003,15
n_028_u_560_12,28,5.6,12,0.152,24
n_045_u_900_10,45,9,19,0.378,39
n_011_u_220_14,11,2.2,6,0.0230000000000001,10
n_032_u_640_14,32,6.4,15,0.196,28
n_033_u_660_14,33,6.6,13,0.168,29
n_031_u_620_13,31,6.2,14,0.215,26
n_013_u_260_13,13,2.6,6,0.0350000000000001,11
n_029_u_580_11,29,5.8,13,0.132,25
n_040_u_800_11,40,8,16,0.26,37
n_048_u_960_13,48,9.6,20,0.278,43
n_024_u_480_14,24,4.8,10,0.103,21
n_007_u_140_13,7,1.4,5,0.0139999999999998,7
n_013_u_260_12,13,2.6,7,0.0419999999999998,11
n_039_u_780_12,39,7.8,18,0.288,32
n_012_u_240_12,12,2.4,7,0.0329999999999999,10
n_018_u_360_16,18,3.6,8,0.0680000000000001,16
n_006_u_120_14,6,1.2,3,0.012,5
n_024_u_480_13,24,4.8,10,0.124,21
n_023_u_459_12,23,4.6,9,0.111,20
n_019_u_380_14,19,3.8,9,0.0830000000000002,16
n_015_u_300_15,15,3,8,0.0369999999999999,14
n_035_u_700_11,35,7,15,0.224,32
n_021_u_420_13,21,4.2,9,0.0750000000000002,19
n_039_u_780_13,39,7.8,17,0.234,35
n_031_u_620_14,31,6.2,12,0.183,27
n_006_u_120_15,6,1.2,4,0.0139999999999998,6
n_043_u_860_10,43,8.6,18,0.274,38
n_036_u_720_12,36,7.2,14,0.219,33
n_020_u_400_14,20,4,10,0.0619999999999998,18
