instance,n,u,procs,elapsed,passive
n_005_u_100_1,5,1,4,0.0379999999999999,5
n_007_u_140_1,7,1.4,4,0.0459999999999999,6
n_006_u_120_1,6,1.2,3,0.0529999999999999,5
n_008_u_160_1,8,1.6,4,0.0579999999999999,7
n_009_u_180_1,9,1.8,4,0.0649999999999999,8
n_010_u_200_1,10,2,5,0.0659999999999999,9
n_013_u_260_1,13,2.6,6,0.078,11
n_011_u_220_1,11,2.2,6,0.085,9
n_012_u_240_1,12,2.4,6,0.089,10
n_016_u_320_1,16,3.2,7,0.093,14
n_014_u_280_1,14,2.8,7,0.095,12
n_015_u_300_1,15,3,6,0.095,13
n_017_u_340_1,17,3.4,8,0.107,14
n_019_u_380_2,19,3.8,9,0.0740000000000001,15
n_018_u_360_2,18,3.6,8,0.0970000000000001,16
n_020_u_400_1,20,4,9,0.122,17
n_019_u_380_1,19,3.8,9,0.123,18
n_006_u_120_2,6,1.2,4,0.053,5
n_018_u_360_1,18,3.6,9,0.125,16
n_005_u_100_2,5,1,3,0.0570000000000001,4
n_008_u_160_2,8,1.6,4,0.055,7
n_007_u_140_2,7,1.4,4,0.0599999999999999,7
n_020_u_400_2,20,4,9,0.099,17
n_009_u_180_2,9,1.8,4,0.0609999999999999,7
n_021_u_420_1,21,4.2,9,0.132,18
n_021_u_420_2,21,4.2,9,0.1,19
n_023_u_459_2,23,4.6,11,0.087,20
n_011_u_220_2,11,2.2,5,0.073,10
n_010_u_200_2,10,2,5,0.079,8
n_012_u_240_2,12,2.4,6,0.079,10
n_023_u_459_1,23,4.6,10,0.155,20
n_013_u_260_2,13,2.6,6,0.084,11
n_024_u_480_1,24,4.8,12,0.159,21
n_015_u_300_2,15,3,7,0.083,15
n_022_u_440_1,22,4.4,11,0.166,19
n_022_u_440_2,22,4.4,11,0.118,17
n_014_u_280_2,14,2.8,7,0.096,11
n_025_u_500_1,25,5,12,0.178,22
n_026_u_520_1,26,5.2,10,0.177,24
n_016_u_320_2,16,3.2,8,0.0980000000000001,16
n_017_u_340_2,17,3.4,7,0.1,14
n_025_u_500_2,25,5,13,0.121,21
n_028_u_560_1,28,5.6,11,0.187,25
n_021_u_420_3,21,4.2,10,0.075,19
n_018_u_360_3,18,3.6,10,0.0760000000000001,14
n_019_u_380_3,19,3.8,10,0.0819999999999999,16
n_024_u_480_2,24,4.8,12,0.132,20
n_020_u_400_3,20,4,9,0.078,19
n_026_u_520_2,26,5.2,12,0.143,23
n_027_u_540_1,27,5.4,12,0.202,23
n_027_u_540_2,27,5.4,13,0.13,23
n_034_u_680_1,34,6.8,13,0.195,31
n_022_u_440_3,22,4.4,9,0.09,21
