n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
5,1,FTpEDF,"3,02","0,14142135623731",3,4,50,"0,0401915047425848"
6,"1,2",FTpEDF,"3,12","0,328260722659316",3,4,50,"0,0932906651625335"
7,"1,4",FTpEDF,"3,36","0,484873221385061",3,4,50,"0,137799444831719"
8,"1,6",FTpEDF,"3,76","0,476380914300945",3,5,50,"0,135385957862509"
9,"1,8",FTpEDF,"4,1","0,364215679542342",3,5,50,"0,103508950848174"
10,2,FTpEDF,"4,32","0,471212071499161",4,5,50,"0,133916988991691"
11,"2,2",FTpEDF,"4,6","0,571428571428571",4,6,50,"0,162398203140417"
12,"2,4",FTpEDF,"4,96","0,449943307086389",4,6,50,"0,127872473025301"
13,"2,6",FTpEDF,"5,18","0,437525509460387",4,6,50,"0,124343373987809"
14,"2,8",FTpEDF,"5,6","0,494871659305394",5,6,50,"0,140640969448547"
15,3,FTpEDF,"5,84","0,584144237150311",5,7,50,"0,16601195535407"
16,"3,2",FTpEDF,"6,18","0,560247758603645",5,7,50,"0,159220651293687"
17,"3,4",FTpEDF,"6,52","0,543608502584013",6,8,50,"0,154491827055119"
18,"3,6",FTpEDF,"7,02","0,769043933353987",6,9,50,"0,218559867597271"
19,"3,8",FTpEDF,"7,28","0,572855361593241",6,8,50,"0,162803692418668"
20,4,FTpEDF,"7,48","0,735124590301063",6,10,50,"0,208920096961149"
21,"4,2",FTpEDF,"7,82","0,719693812446286",7,9,50,"0,204534718416968"
22,"4,4",FTpEDF,"8,06","0,585888475840282",7,9,50,"0,166507662504994"
23,"4,6",FTpEDF,"8,62","0,752953368748825",7,10,50,"0,213986979733333"
24,"4,8",FTpEDF,"8,68","0,740656079818041",7,10,50,"0,210492128888082"
25,5,FTpEDF,"8,9","0,580288457473997",8,10,50,"0,164916154894578"
26,"5,2",FTpEDF,"9,36","0,721676053732291",8,11,50,"0,205098065157284"
27,"5,4",FTpEDF,"9,86","0,808374534331149",8,12,50,"0,229737500719738"
28,"5,6",FTpEDF,"10,18","0,800255061380624",9,13,50,"0,227429972038916"
29,"5,8",FTpEDF,"10,46","0,813408048313529",9,13,50,"0,231168009565624"
30,6,FTpEDF,"11,06","0,818410604994429",10,13,50,"0,232589720443775"
31,"6,2",FTpEDF,"11,14","0,808374534331149",10,13,50,"0,229737500719738"
32,"6,4",FTpEDF,"11,48","0,735124590301063",10,14,50,"0,208920096961149"
33,"6,6",FTpEDF,"11,62","0,987472551930597",10,14,50,"0,28063659414702"
34,"6,8",FTpEDF,"12,08","0,751596939312338",10,14,50,"0,213601486752781"
35,7,FTpEDF,"12,56","1,19795744532781",11,17,50,"0,340455738979861"
36,"7,2",FTpEDF,"12,96","1,10582871316364",11,17,50,"0,314273042997995"
