n,u,Algorithm,mean,sd,min_time,max_time,n_obs,CI
5,1,FTpEDF,"0,0103400000000001","0,00457861042996536","0,00699999999999967","0,035",50,"0,00130122668673611"
6,"1,2",FTpEDF,"0,0137800000000001","0,00630610329565807","0,00799999999999912","0,052",50,"0,00179217472705728"
7,"1,4",FTpEDF,"0,0202","0,0149639021430555","0,0110000000000001","0,0800000000000001",50,"0,00425269393500219"
8,"1,6",FTpEDF,"0,02312","0,0107734367207271","0,0139999999999998","0,0800000000000001",50,"0,00306177683891287"
9,"1,8",FTpEDF,"0,02684","0,0112474214732052","0,0179999999999998","0,083",50,"0,00319648181512007"
10,2,FTpEDF,"0,0356199999999999","0,0184201420367233","0,0210000000000008","0,122",50,"0,00523494644462148"
11,"2,2",FTpEDF,"0,0391399999999999","0,0152248588345053","0,0229999999999997","0,122",50,"0,00432685700613278"
12,"2,4",FTpEDF,"0,0457999999999999","0,0145433903915707","0,0259999999999998","0,116",50,"0,00413318581753122"
13,"2,6",FTpEDF,"0,052","0,0179318437537294","0,0310000000000006","0,151",50,"0,00509617360805063"
14,"2,8",FTpEDF,"0,05984","0,0217202623353947","0,0419999999999998","0,166",50,"0,00617283025626153"
15,3,FTpEDF,"0,06496","0,0133736872329243","0,0439999999999996","0,116",50,"0,00380075985798048"
16,"3,2",FTpEDF,"0,0745399999999999","0,0150471503845039","0,0510000000000002","0,124",50,"0,00427635282344737"
17,"3,4",FTpEDF,"0,0859200000000001","0,021646359923996","0,056","0,152",50,"0,00615182742332845"
18,"3,6",FTpEDF,"0,09582","0,023143465600467","0,0629999999999997","0,193",50,"0,00657730014892633"
19,"3,8",FTpEDF,"0,10586","0,022838394096301","0,0680000000000005","0,169",50,"0,00649059978674099"
20,4,FTpEDF,"0,11246","0,025566408126481","0,0750000000000002","0,204",50,"0,00726589279586639"
21,"4,2",FTpEDF,"0,12862","0,0337384235626058","0,0809999999999995","0,304",50,"0,00958835388587562"
22,"4,4",FTpEDF,"0,14316","0,0389648507226287","0,11","0,352",50,"0,0110736880502316"
23,"4,6",FTpEDF,"0,14826","0,0392723665636565","0,104999999999999","0,35",50,"0,0111610830852668"
24,"4,8",FTpEDF,"0,16136","0,0324790419080567","0,100000000000001","0,313",50,"0,00923044157978376"
25,5,FTpEDF,"0,17096","0,0389829685469783","0,121","0,296",50,"0,0110788370789402"
26,"5,2",FTpEDF,"0,18736","0,0393859811380151","0,0990000000000002","0,337",50,"0,011193371990038"
27,"5,4",FTpEDF,"0,19696","0,0410320730698336","0,135999999999999","0,394",50,"0,0116611861409177"
28,"5,6",FTpEDF,"0,21204","0,0344258801556299","0,137","0,304",50,"0,00978372688790288"
29,"5,8",FTpEDF,"0,22082","0,0302477457416082","0,17","0,318",50,"0,0085963142255994"
30,6,FTpEDF,"0,23788","0,0394527048295468","0,163","0,329",50,"0,0112123346533584"
31,"6,2",FTpEDF,"0,26458","0,0512150687328068","0,173","0,423",50,"0,0145551614878614"
32,"6,4",FTpEDF,"0,27306","0,0541009675872581","0,157999999999999","0,411",50,"0,0153753248675752"
33,"6,6",FTpEDF,"0,28928","0,0648382728999859","0,187","0,592",50,"0,01842683327395"
34,"6,8",FTpEDF,"0,30674","0,0557475395265595","0,201","0,548",50,"0,0158432754350721"
35,7,FTpEDF,"0,32244","0,0788833186369823","0,225","0,665",50,"0,0224183911076981"
36,"7,2",FTpEDF,"0,33956","0,0540231091897775","0,248999999999999","0,518",50,"0,0153531977558372"
37,"7,4",FTpEDF,"0,36786","0,0915314176016261","0,254","0,78",50,"0,0260129410614486"
38,"7,6",FTpEDF,"0,37028","0,0619670880387322","0,252000000000001","0,557",50,"0,0176108515648348"
39,"7,8",FTpEDF,"0,38878","0,0636445133662962","0,256","0,518",50,"0,0180875705682573"
40,8,FTpEDF,"0,41794","0,0724575625269505","0,292","0,68",50,"0,0205922114270446"
41,"8,2",FTpEDF,"0,42672","0,0624771109107575","0,253","0,591",50,"0,0177557984612952"
42,"8,4",FTpEDF,"0,45894","0,0630226425135265","0,315","0,63",50,"0,0179108368273757"
43,"8,6",FTpEDF,"0,4774","0,0802773254387055","0,327999999999999","0,757",50,"0,0228145634572875"
44,"8,8",FTpEDF,"0,5065","0,0800574411129348","0,331","0,761",50,"0,0227520730233306"
45,9,FTpEDF,"0,50968","0,0734167416818784","0,353000000000001","0,66",50,"0,0208648071267321"
46,"9,2",FTpEDF,"0,53626","0,069390292210519","0,399","0,675",50,"0,0197205028481593"
47,"9,4",FTpEDF,"0,5612","0,0836250133461446","0,396","0,791",50,"0,0237659658337627"
48,"9,6",FTpEDF,"0,59732","0,0831721695996826","0,461","0,913",50,"0,0236372690649873"
