instance,n,u,procs,elapsed
n_005_u_100_1,5,1,3,0.0302600000000166
n_005_u_100_2,5,1,3,0.0274399999999878
n_006_u_120_2,6,1.2,3,0.0379999999999928
n_006_u_120_1,6,1.2,3,0.050659999999989
n_007_u_140_1,7,1.4,3,0.0584400000000096
n_007_u_140_2,7,1.4,3,0.068199999999997
n_008_u_160_2,8,1.6,4,0.068859999999986
n_009_u_180_2,9,1.8,4,0.0714999999999782
n_009_u_180_1,9,1.8,4,0.0834000000000014
n_010_u_200_1,10,2,4,0.0884800000000178
n_008_u_160_1,8,1.6,4,0.0895799999999872
n_011_u_220_1,11,2.2,4,0.109880000000012
n_011_u_220_2,11,2.2,4,0.107520000000004
n_010_u_200_2,10,2,4,0.133559999999998
n_015_u_300_2,15,3,6,0.16380000000001
n_012_u_240_2,12,2.4,5,0.174439999999995
n_013_u_260_1,13,2.6,5,0.179340000000011
n_016_u_320_2,16,3.2,7,0.198299999999981
n_013_u_260_2,13,2.6,5,0.20061999999998
n_012_u_240_1,12,2.4,5,0.211340000000018
n_015_u_300_1,15,3,6,0.211939999999996
n_016_u_320_1,16,3.2,6,0.226900000000024
n_014_u_280_1,14,2.8,6,0.23681999999997
n_014_u_280_2,14,2.8,5,0.240960000000014
n_018_u_360_1,18,3.6,6,0.314559999999984
n_017_u_340_2,17,3.4,6,0.316620000000002
n_017_u_340_1,17,3.4,7,0.32232
n_019_u_380_1,19,3.8,8,0.343719999999994
n_018_u_360_2,18,3.6,6,0.31811999999998
n_019_u_380_3,19,3.8,8,0.312279999999992
n_018_u_360_3,18,3.6,9,0.345900000000002
n_021_u_420_1,21,4.2,7,0.389259999999994
n_022_u_440_1,22,4.4,7,0.406560000000026
n_020_u_400_3,20,4,7,0.369679999999972
n_019_u_380_2,19,3.8,8,0.39923999999999
n_020_u_400_2,20,4,7,0.394140000000006
n_023_u_459_1,23,4.6,8,0.464919999999984
n_020_u_400_1,20,4,8,0.470440000000016
n_021_u_420_3,21,4.2,8,0.407880000000004
n_023_u_459_2,23,4.6,8,0.398719999999994
n_022_u_440_3,22,4.4,8,0.437920000000012
n_026_u_520_1,26,5.2,9,0.558199999999998
n_023_u_459_3,23,4.6,9,0.425959999999978
n_021_u_420_2,21,4.2,8,0.498659999999982
n_024_u_480_1,24,4.8,9,0.611939999999996
n_028_u_560_1,28,5.6,10,0.61576000000001
n_022_u_440_2,22,4.4,9,0.57808000000001
n_025_u_500_1,25,5,9,0.662299999999996
n_025_u_500_3,25,5,10,0.488199999999998
n_024_u_480_2,24,4.8,9,0.570400000000008
n_025_u_500_2,25,5,10,0.528940000000002
n_026_u_520_3,26,5.2,9,0.550960000000014
n_027_u_540_1,27,5.4,9,0.78158000000003
n_026_u_520_2,26,5.2,10,0.620679999999994
n_030_u_600_1,30,6,12,0.862899999999972
n_029_u_580_1,29,5.8,10,0.883019999999996
n_024_u_480_3,24,4.8,9,0.800800000000018
n_028_u_560_3,28,5.6,11,0.785759999999972
n_027_u_540_2,27,5.4,10,0.736140000000014
n_027_u_540_3,27,5.4,9,0.743279999999978
n_029_u_580_2,29,5.8,10,0.801779999999998
n_031_u_620_1,31,6.2,11,1.03080000000002
n_028_u_560_2,28,5.6,11,0.844300000000002
n_029_u_580_3,29,5.8,10,0.958159999999988
n_032_u_640_1,32,6.4,12,1.20795999999998
n_035_u_700_1,35,7,12,1.21876
n_031_u_620_4,31,6.2,11,0.90308000000001
n_030_u_600_3,30,6,10,0.981160000000018
n_033_u_660_1,33,6.6,13,1.33024000000001
n_031_u_620_3,31,6.2,11,1.01266
n_030_u_600_2,30,6,10,1.05196
n_032_u_640_4,32,6.4,11,1.03245999999999
n_034_u_680_1,34,6.8,12,1.4327
n_039_u_780_1,39,7.8,13,1.44200000000001
n_006_u_120_3,6,1.2,3,0.0296599999999672
n_031_u_620_2,31,6.2,12,1.20772000000001
n_037_u_740_1,37,7.4,12,1.54802
n_034_u_680_4,34,6.8,12,1.08941999999999
n_036_u_720_1,36,7.2,14,1.59948
n_032_u_640_2,32,6.4,12,1.2834
n_034_u_680_2,34,6.8,13,1.26957999999999
n_032_u_640_3,32,6.4,12,1.24298000000003
