instance,n,u,procs,elapsed
n_006_u_120_1,6,1.2,3,0.041020000000026
n_005_u_100_2,5,1,3,0.0415999999999986
n_005_u_100_1,5,1,3,0.045219999999972
n_006_u_120_2,6,1.2,4,0.0636000000000058
n_007_u_140_2,7,1.4,4,0.0768799999999828
n_007_u_140_1,7,1.4,4,0.0848199999999998
n_009_u_180_1,9,1.8,5,0.0848400000000038
n_008_u_160_1,8,1.6,5,0.0853600000000006
n_008_u_160_2,8,1.6,5,0.0983200000000216
n_009_u_180_2,9,1.8,5,0.102740000000013
n_010_u_200_1,10,2,6,0.127939999999981
n_011_u_220_2,11,2.2,6,0.141219999999994
n_013_u_260_2,13,2.6,6,0.152980000000025
n_011_u_220_1,11,2.2,6,0.159979999999996
n_010_u_200_2,10,2,5,0.167959999999985
n_017_u_340_2,17,3.4,9,0.187740000000013
n_012_u_240_2,12,2.4,6,0.189619999999995
n_012_u_240_1,12,2.4,7,0.204700000000012
n_016_u_320_2,16,3.2,9,0.21145999999997
n_013_u_260_1,13,2.6,8,0.21362000000001
n_014_u_280_1,14,2.8,8,0.250780000000014
n_015_u_300_1,15,3,9,0.251319999999978
n_014_u_280_2,14,2.8,8,0.251980000000004
n_016_u_320_1,16,3.2,9,0.276859999999978
n_015_u_300_2,15,3,9,0.279519999999974
n_018_u_360_1,18,3.6,11,0.30318000000003
n_017_u_340_1,17,3.4,9,0.363060000000004
n_019_u_380_3,19,3.8,10,0.32359999999997
n_018_u_360_2,18,3.6,10,0.359479999999966
n_018_u_360_3,18,3.6,11,0.381440000000002
n_019_u_380_2,19,3.8,10,0.38622000000003
n_020_u_400_1,20,4,9,0.446520000000018
n_021_u_420_1,21,4.2,11,0.463240000000006
n_020_u_400_2,20,4,10,0.404000000000014
n_019_u_380_1,19,3.8,12,0.50232
n_022_u_440_1,22,4.4,13,0.535699999999998
n_020_u_400_3,20,4,10,0.483539999999994
n_021_u_420_3,21,4.2,12,0.481340000000018
n_024_u_480_1,24,4.8,14,0.583780000000006
n_021_u_420_2,21,4.2,12,0.55645999999997
n_022_u_440_2,22,4.4,14,0.557040000000016
n_025_u_500_1,25,5,14,0.66673999999999
n_026_u_520_1,26,5.2,13,0.701280000000006
n_023_u_459_1,23,4.6,11,0.70196
n_022_u_440_3,22,4.4,12,0.599520000000012
n_023_u_459_2,23,4.6,13,0.650299999999988
n_024_u_480_2,24,4.8,13,0.628739999999998
n_028_u_560_1,28,5.6,15,0.830379999999968
n_023_u_459_3,23,4.6,12,0.673499999999986
n_025_u_500_2,25,5,14,0.648060000000004
n_025_u_500_3,25,5,13,0.666620000000002
n_024_u_480_3,24,4.8,13,0.781320000000014
n_026_u_520_3,26,5.2,13,0.771159999999982
n_027_u_540_1,27,5.4,13,0.936759999999994
n_027_u_540_2,27,5.4,14,0.74964
n_030_u_600_1,30,6,15,1.04184000000001
n_027_u_540_3,27,5.4,14,0.80007999999998
n_029_u_580_1,29,5.8,16,1.05457999999999
n_030_u_600_3,30,6,16,0.873960000000006
n_026_u_520_2,26,5.2,13,0.858420000000006
n_028_u_560_3,28,5.6,15,0.850960000000014
n_029_u_580_3,29,5.8,16,0.957160000000004
n_028_u_560_2,28,5.6,16,0.920980000000018
n_031_u_620_1,31,6.2,16,1.17698
n_032_u_640_1,32,6.4,18,1.18258000000002
n_035_u_700_1,35,7,18,1.26353999999999
n_029_u_580_2,29,5.8,18,1.04984
n_033_u_660_1,33,6.6,18,1.34957999999999
n_030_u_600_2,30,6,16,1.01802
n_032_u_640_3,32,6.4,18,1.06045999999998
n_031_u_620_2,31,6.2,15,1.20495999999999
n_031_u_620_3,31,6.2,16,1.11473999999998
n_034_u_680_1,34,6.8,17,1.5377
n_032_u_640_2,32,6.4,16,1.0716
n_032_u_640_4,32,6.4,16,1.20560000000001
n_031_u_620_4,31,6.2,17,1.18281999999999
n_036_u_720_1,36,7.2,18,1.64498
n_037_u_740_1,37,7.4,21,1.6593
n_039_u_780_1,39,7.8,20,1.66835999999999
n_006_u_120_3,6,1.2,3,0.0352599999999802
n_033_u_660_4,33,6.6,17,1.14344000000001
n_040_u_800_1,40,8,21,1.78459999999999
n_034_u_680_2,34,6.8,16,1.34448
n_033_u_660_2,33,6.6,15,1.39248
n_007_u_140_3,7,1.4,4,0.058179999999993
n_038_u_760_1,38,7.6,20,1.88673999999999
n_033_u_660_3,33,6.6,17,1.41241999999998
n_005_u_100_3,5,1,3,0.0315799999999944
n_037_u_740_2,37,7.4,19,1.41329999999998
n_035_u_700_2,35,7,18,1.50798000000003
