instance,n,u,procs,elapsed
n_005_u_100_1,5,1,3,0.688000000000102
n_006_u_120_2,6,1.2,3,0.819999999999709
n_007_u_140_1,7,1.4,3,0.981999999999971
n_006_u_120_1,6,1.2,3,1.12099999999919
n_008_u_160_2,8,1.6,4,1.11700000000019
n_009_u_180_2,9,1.8,4,1.36499999999978
n_007_u_140_2,7,1.4,4,1.42699999999968
n_008_u_160_1,8,1.6,4,1.78399999999965
n_010_u_200_1,10,2,4,1.80500000000029
n_010_u_200_2,10,2,5,1.64700000000084
n_009_u_180_1,9,1.8,4,1.82300000000032
n_012_u_240_1,12,2.4,6,2.13700000000063
n_013_u_260_1,13,2.6,5,2.57899999999972
n_011_u_220_2,11,2.2,5,2.42699999999968
n_012_u_240_2,12,2.4,5,2.4429999999993
n_011_u_220_1,11,2.2,5,2.63600000000042
n_015_u_300_2,15,3,7,2.71300000000156
n_013_u_260_2,13,2.6,6,2.77299999999923
n_014_u_280_1,14,2.8,7,3.02099999999882
n_005_u_100_2,5,1,3,3.01399999999921
n_014_u_280_2,14,2.8,7,3.00900000000001
n_016_u_320_1,16,3.2,7,3.53399999999965
n_015_u_300_1,15,3,6,3.55600000000049
n_017_u_340_1,17,3.4,7,3.73999999999978
n_016_u_320_2,16,3.2,8,3.88299999999981
n_018_u_360_1,18,3.6,9,4.23700000000099
n_017_u_340_2,17,3.4,7,4.33899999999994
n_018_u_360_2,18,3.6,7,4.14200000000164
n_019_u_380_1,19,3.8,8,5.125
n_021_u_420_1,21,4.2,9,5.46599999999853
n_020_u_400_1,20,4,9,5.53299999999945
n_019_u_380_3,19,3.8,9,4.70199999999932
n_020_u_400_2,20,4,8,5.10900000000038
n_019_u_380_2,19,3.8,9,4.98400000000038
n_022_u_440_1,22,4.4,10,6.07200000000012
n_020_u_400_3,20,4,8,4.71599999999853
n_023_u_459_1,23,4.6,9,6.30899999999929
n_021_u_420_3,21,4.2,9,5.42300000000068
n_022_u_440_3,22,4.4,9,5.35800000000017
n_021_u_420_2,21,4.2,9,5.29600000000028
n_026_u_520_1,26,5.2,10,7.17500000000109
n_018_u_360_3,18,3.6,9,4.48099999999977
n_022_u_440_2,22,4.4,10,6.0619999999999
n_023_u_459_3,23,4.6,11,6.14999999999964
n_023_u_459_2,23,4.6,9,6.21399999999994
n_024_u_480_1,24,4.8,11,8.0630000000001
n_025_u_500_1,25,5,11,8.34699999999975
n_029_u_580_1,29,5.8,11,8.94700000000012
n_028_u_560_1,28,5.6,10,9.3070000000007
n_027_u_540_1,27,5.4,11,9.33699999999953
n_024_u_480_3,24,4.8,11,6.80400000000009
n_025_u_500_3,25,5,10,6.89099999999962
n_024_u_480_2,24,4.8,11,7
n_030_u_600_1,30,6,12,9.78600000000006
n_026_u_520_3,26,5.2,10,7.25400000000081
n_025_u_500_2,25,5,12,8.08899999999994
n_034_u_680_1,34,6.8,12,10.5849999999991
n_031_u_620_1,31,6.2,13,10.8700000000008
n_033_u_660_1,33,6.6,14,10.9799999999996
n_027_u_540_3,27,5.4,10,7.88700000000063
n_026_u_520_2,26,5.2,10,8.55000000000109
n_027_u_540_2,27,5.4,11,8.2510000000002
n_028_u_560_3,28,5.6,13,8.81899999999951
n_030_u_600_2,30,6,12,8.59699999999975
n_028_u_560_2,28,5.6,12,8.8119999999999
n_029_u_580_2,29,5.8,12,8.88700000000063
n_032_u_640_1,32,6.4,14,12.5789999999997
n_036_u_720_1,36,7.2,14,12.7170000000006
n_030_u_600_3,30,6,12,8.52499999999964
n_029_u_580_3,29,5.8,11,9.125
n_031_u_620_3,31,6.2,12,8.86700000000019
n_031_u_620_2,31,6.2,12,9.70499999999993
n_035_u_700_1,35,7,14,14.1810000000005
n_037_u_740_1,37,7.4,17,14.2659999999996
n_038_u_760_1,38,7.6,16,14.4959999999992
n_039_u_780_1,39,7.8,15,14.7469999999994
n_041_u_819_1,41,8.2,17,14.9930000000004
n_005_u_100_3,5,1,3,0.575000000000728
n_032_u_640_4,32,6.4,12,9.80600000000049
n_006_u_120_3,6,1.2,3,0.667999999999665
n_042_u_840_1,42,8.4,16,15.6200000000008
n_032_u_640_2,32,6.4,14,10.723
n_033_u_660_2,33,6.6,14,10.4079999999994
n_008_u_160_3,8,1.6,4,0.950000000000728
n_040_u_800_1,40,8,16,15.9809999999998
n_032_u_640_3,32,6.4,13,10.1179999999986
n_031_u_620_4,31,6.2,12,8.9989999999998
n_009_u_180_3,9,1.8,4,1.05799999999908
n_007_u_140_3,7,1.4,4,0.920000000000073
n_033_u_660_3,33,6.6,13,11.018
n_034_u_680_4,34,6.8,13,10.746000000001
n_033_u_660_4,33,6.6,13,11.3260000000009
n_034_u_680_2,34,6.8,13,12.4359999999997
n_036_u_720_2,36,7.2,14,11.7279999999992
n_044_u_880_1,44,8.8,16,18.3309999999983
n_018_u_360_4,18,3.6,8,3.54899999999907
n_035_u_700_3,35,7,15,11.0689999999995
n_035_u_700_2,35,7,13,13.0740000000005
n_034_u_680_3,34,6.8,14,12.4369999999999
n_035_u_700_4,35,7,13,12.6579999999994
n_046_u_920_1,46,9.2,18,19.4579999999987
n_019_u_380_4,19,3.8,8,4.1239999999998
n_045_u_900_1,45,9,18,19.6570000000011
n_011_u_220_3,11,2.2,5,1.87199999999939
n_021_u_420_4,21,4.2,8,4.91699999999946
n_037_u_740_4,37,7.4,13,11.6999999999989
n_043_u_860_1,43,8.6,18,21.0659999999989
n_022_u_440_4,22,4.4,8,4.59799999999996
n_037_u_740_2,37,7.4,15,13.3410000000003
