instance,n,u,procs,elapsed
n_005_u_100_1,5,1,5,15.282
n_006_u_120_1,6,1.2,4,15.883
n_006_u_120_2,6,1.2,5,18.537
n_007_u_140_2,7,1.4,5,24.764
n_007_u_140_1,7,1.4,6,25.379
n_008_u_160_2,8,1.6,7,27.223
n_008_u_160_1,8,1.6,6,29.018
n_009_u_180_2,9,1.8,9,36.999
n_010_u_200_2,10,2,8,38.703
n_005_u_100_2,5,1,4,38.716
n_009_u_180_1,9,1.8,7,40.6
n_010_u_200_1,10,2,9,44.655
n_012_u_240_2,12,2.4,8,47.027
n_011_u_220_2,11,2.2,11,48.202
n_012_u_240_1,12,2.4,9,56.749
n_013_u_260_1,13,2.6,10,58.592
n_011_u_220_1,11,2.2,10,58.868
n_013_u_260_2,13,2.6,9,68.774
n_014_u_280_2,14,2.8,11,69.662
n_014_u_280_1,14,2.8,11,80.401
n_016_u_320_1,16,3.2,14,88.987
n_015_u_300_1,15,3,14,96.523
n_015_u_300_2,15,3,14,103.609
n_017_u_340_2,17,3.4,11,121.773
n_018_u_360_1,18,3.6,13,127.138
n_016_u_320_2,16,3.2,13,127.91
n_020_u_400_1,20,4,15,129.09
n_019_u_380_3,19,3.8,14,114.592
n_017_u_340_1,17,3.4,15,133.471
n_018_u_360_2,18,3.6,14,122.057
n_019_u_380_1,19,3.8,15,143.768
n_018_u_360_3,18,3.6,13,108.736
n_019_u_380_2,19,3.8,15,136.592
n_020_u_400_2,20,4,14,143.587
n_021_u_420_1,21,4.2,17,180.469
n_022_u_440_1,22,4.4,19,186.08
n_021_u_420_3,21,4.2,17,158.852
n_021_u_420_2,21,4.2,16,161.898
n_020_u_400_3,20,4,13,166.617
n_022_u_440_2,22,4.4,15,160.858
n_024_u_480_1,24,4.8,21,209.424
n_023_u_459_1,23,4.6,17,211.527
n_025_u_500_1,25,5,23,226.557
n_024_u_480_3,24,4.8,19,190.369
n_026_u_520_1,26,5.2,19,244.89
n_022_u_440_3,22,4.4,19,216.507
n_024_u_480_2,24,4.8,17,198.453
n_027_u_540_1,27,5.4,19,257.498
n_023_u_459_2,23,4.6,18,222.257
n_025_u_500_3,25,5,21,221.864
n_023_u_459_3,23,4.6,20,236.527
n_025_u_500_2,25,5,19,221.588
n_030_u_600_1,30,6,22,288.698
n_026_u_520_2,26,5.2,19,247.069
n_027_u_540_2,27,5.4,20,228.903
n_026_u_520_3,26,5.2,19,247.774
n_031_u_620_1,31,6.2,25,328.089
n_028_u_560_1,28,5.6,21,329.923
n_029_u_580_1,29,5.8,20,351.667
n_028_u_560_2,28,5.6,20,259.215
n_033_u_660_1,33,6.6,23,367.447
