instance,n,u,procs,elapsed
n_006_u_120_1,6,1.2,3,12.565
n_005_u_100_1,5,1,3,12.991
n_006_u_120_2,6,1.2,4,16.617
n_007_u_140_1,7,1.4,4,18.284
n_008_u_160_1,8,1.6,5,20.525
n_007_u_140_2,7,1.4,4,21.34
n_008_u_160_2,8,1.6,4,23.01
n_009_u_180_1,9,1.8,5,28.064
n_010_u_200_2,10,2,5,29.085
n_009_u_180_2,9,1.8,4,29.533
n_010_u_200_1,10,2,5,33.332
n_005_u_100_2,5,1,3,36.111
n_011_u_220_2,11,2.2,6,37.667
n_012_u_240_2,12,2.4,6,38.414
n_011_u_220_1,11,2.2,6,41.734
n_012_u_240_1,12,2.4,7,44.058
n_013_u_260_2,13,2.6,6,50.385
n_013_u_260_1,13,2.6,7,54.395
n_014_u_280_2,14,2.8,8,56.519
n_014_u_280_1,14,2.8,8,57.764
n_015_u_300_2,15,3,7,59.599
n_016_u_320_1,16,3.2,8,61.408
n_015_u_300_1,15,3,8,68.373
n_016_u_320_2,16,3.2,8,70.864
n_017_u_340_2,17,3.4,8,71.397
n_017_u_340_1,17,3.4,8,75.889
n_018_u_360_1,18,3.6,10,76.92
n_020_u_400_1,20,4,9,88.306
n_018_u_360_2,18,3.6,8,81.974
n_019_u_380_3,19,3.8,10,84.29
n_019_u_380_2,19,3.8,10,88.696
n_019_u_380_1,19,3.8,12,111.372
n_021_u_420_1,21,4.2,9,115.446
n_020_u_400_3,20,4,10,94.161
n_023_u_459_1,23,4.6,10,116.584
n_020_u_400_2,20,4,9,106.848
n_018_u_360_3,18,3.6,10,92.697
n_022_u_440_1,22,4.4,13,131.821
n_021_u_420_3,21,4.2,10,110.388
n_021_u_420_2,21,4.2,11,123.504
n_024_u_480_1,24,4.8,13,155.598
n_025_u_500_1,25,5,13,161.03
n_022_u_440_2,22,4.4,13,136.421
n_026_u_520_1,26,5.2,11,165.807
n_022_u_440_3,22,4.4,10,137.478
n_023_u_459_3,23,4.6,11,140.748
n_023_u_459_2,23,4.6,11,145.429
n_029_u_580_1,29,5.8,15,180.951
n_027_u_540_1,27,5.4,12,185.14
n_028_u_560_1,28,5.6,13,193.696
n_024_u_480_2,24,4.8,13,155.083
n_026_u_520_3,26,5.2,12,149.258
n_025_u_500_3,25,5,11,167.074
n_025_u_500_2,25,5,13,166.972
n_024_u_480_3,24,4.8,12,183.286
n_030_u_600_1,30,6,14,221.267
n_027_u_540_3,27,5.4,12,176.878
n_027_u_540_2,27,5.4,13,177.932
n_028_u_560_2,28,5.6,14,170.498
n_026_u_520_2,26,5.2,12,185.938
n_031_u_620_1,31,6.2,16,241.272
n_034_u_680_1,34,6.8,14,242.797
n_028_u_560_3,28,5.6,14,199.592
n_029_u_580_3,29,5.8,15,193.523
n_032_u_640_1,32,6.4,17,282.888
n_030_u_600_3,30,6,14,214.452
n_033_u_660_1,33,6.6,16,291.204
n_029_u_580_2,29,5.8,16,230.157
n_030_u_600_2,30,6,14,217.38
n_035_u_700_1,35,7,17,312.882
n_031_u_620_3,31,6.2,15,222.34
n_033_u_660_2,33,6.6,14,231.783
n_038_u_760_1,38,7.6,19,322.15
n_037_u_740_1,37,7.4,19,327.609
n_031_u_620_2,31,6.2,14,251.976
n_032_u_640_4,32,6.4,14,229.083
n_005_u_100_3,5,1,3,13.168
n_036_u_720_1,36,7.2,16,336.077
n_032_u_640_2,32,6.4,15,233.382
n_042_u_840_1,42,8.4,18,360.258
n_031_u_620_4,31,6.2,15,236.126
n_039_u_780_1,39,7.8,18,370.381
n_032_u_640_3,32,6.4,16,270.409
n_040_u_800_1,40,8,18,373.166
n_033_u_660_3,33,6.6,15,249.653
n_046_u_920_1,46,9.2,21,376.485
n_009_u_180_3,9,1.8,5,23.572
n_033_u_660_4,33,6.6,15,269.213
n_006_u_120_3,6,1.2,4,15.008
n_034_u_680_4,34,6.8,16,254.468
n_036_u_720_2,36,7.2,16,273.131
n_007_u_140_3,7,1.4,4,17.864
n_034_u_680_2,34,6.8,15,282.959
n_044_u_880_1,44,8.8,19,401.581
n_041_u_819_1,41,8.2,19,408.094
n_035_u_700_2,35,7,16,288.201
n_018_u_360_4,18,3.6,12,86.709
n_034_u_680_3,34,6.8,16,279.549
n_013_u_260_3,13,2.6,6,52.931
n_008_u_160_3,8,1.6,4,24.717
n_043_u_860_1,43,8.6,20,435.07
n_045_u_900_1,45,9,20,438.801
n_011_u_220_3,11,2.2,5,42.714
n_035_u_700_4,35,7,16,279.889
n_010_u_200_3,10,2,6,33.211
n_037_u_740_2,37,7.4,18,322.215
n_038_u_760_2,38,7.6,16,321.688
n_012_u_240_3,12,2.4,6,44.626
n_036_u_720_3,36,7.2,17,305.815
n_019_u_380_4,19,3.8,9,101.503
n_020_u_400_4,20,4,10,99.699
n_022_u_440_4,22,4.4,10,106.932
n_005_u_100_4,5,1,4,10.3200000000001
n_035_u_700_3,35,7,17,329.418
n_047_u_940_1,47,9.4,21,499.311
n_036_u_720_4,36,7.2,17,333.398
n_039_u_780_2,39,7.8,20,356.167
n_037_u_740_3,37,7.4,17,335.98
n_006_u_120_4,6,1.2,4,14.621
n_041_u_819_2,41,8.2,19,345.535
n_048_u_960_1,48,9.6,22,541.931
n_039_u_780_4,39,7.8,18,344.964
n_021_u_420_4,21,4.2,10,113.258
n_014_u_280_3,14,2.8,7,54.669
n_006_u_120_6,6,1.2,4,13.712
n_008_u_160_4,8,1.6,4,25.366
n_038_u_760_3,38,7.6,17,355.628
n_040_u_800_2,40,8,19,382.622
n_037_u_740_4,37,7.4,17,351.517
n_005_u_100_5,5,1,3,12.9829999999999
n_040_u_800_4,40,8,22,347.026
n_040_u_800_3,40,8,18,345.274
n_007_u_140_4,7,1.4,5,18.6419999999999
n_026_u_520_4,26,5.2,11,157.687
n_038_u_760_4,38,7.6,18,385.16
n_018_u_360_5,18,3.6,9,98.095
n_049_u_980_1,49,9.8,23,596.355
n_007_u_140_5,7,1.4,4,20.888
n_007_u_140_6,7,1.4,4,21.6149999999999
n_050_u_1000_1,50,10,23,605.025
n_024_u_480_4,24,4.8,12,165.449
n_015_u_300_3,15,3,7,69.457
n_023_u_459_4,23,4.6,13,149.135
n_039_u_780_3,39,7.8,17,377.239
n_005_u_100_6,5,1,3,28.644
n_019_u_380_5,19,3.8,10,92.1840000000001
n_041_u_819_3,41,8.2,19,391.18
n_006_u_120_5,6,1.2,4,14.814
n_042_u_840_4,42,8.4,19,371.633
n_043_u_860_2,43,8.6,21,423.808
n_008_u_160_5,8,1.6,5,22.879
n_042_u_840_2,42,8.4,24,476.837
n_009_u_180_6,9,1.8,6,25.2139999999999
n_016_u_320_3,16,3.2,8,72.3280000000001
n_019_u_380_7,19,3.8,10,115.074
n_018_u_360_6,18,3.6,11,94.184
n_010_u_200_4,10,2,5,30.4019999999999
n_025_u_500_4,25,5,14,193.373
n_041_u_819_4,41,8.2,20,418.206
n_031_u_620_5,31,6.2,14,260.802
n_020_u_400_5,20,4,9,98.479
n_009_u_180_4,9,1.8,5,27.5700000000001
n_043_u_860_4,43,8.6,19,401.396
n_021_u_420_5,21,4.2,9,125.961
n_044_u_880_2,44,8.8,24,460.424
n_008_u_160_6,8,1.6,5,24.7139999999999
n_018_u_360_7,18,3.6,8,85.362
n_017_u_340_3,17,3.4,9,100.521
n_043_u_860_3,43,8.6,20,414.649
n_020_u_400_7,20,4,10,111.403
n_042_u_840_3,42,8.4,19,425.757
n_010_u_200_6,10,2,7,30.342
n_020_u_400_6,20,4,10,117.833
n_044_u_880_5,44,8.8,18,356.174
n_027_u_540_4,27,5.4,12,172.066
n_047_u_940_2,47,9.4,20,484.018
n_010_u_200_5,10,2,5,24.1650000000001
n_032_u_640_5,32,6.4,14,245.827
n_045_u_900_2,45,9,22,450.679
n_011_u_220_4,11,2.2,5,35.924
n_009_u_180_5,9,1.8,5,23.6220000000001
n_019_u_380_6,19,3.8,10,108.578
n_046_u_920_3,46,9.2,21,429.941
n_011_u_220_7,11,2.2,6,38.8570000000001
n_021_u_420_6,21,4.2,10,112.146
n_033_u_660_5,33,6.6,16,276.818
n_046_u_920_2,46,9.2,20,477.229
n_044_u_880_3,44,8.8,21,446.355
n_012_u_240_4,12,2.4,7,44.018
n_014_u_280_4,14,2.8,7,53.336
n_022_u_440_7,22,4.4,11,129.293
n_013_u_260_5,13,2.6,7,48.627
n_022_u_440_5,22,4.4,11,116.76
n_045_u_900_3,45,9,20,462.268
n_013_u_260_4,13,2.6,8,42.1270000000001
n_023_u_459_5,23,4.6,11,137.001
n_044_u_880_4,44,8.8,23,495.251
n_045_u_900_5,45,9,21,482.663
n_028_u_560_4,28,5.6,13,202.788
