instance,n,u,procs,elapsed,passive
n_041_u_819_3,41,8.2,20,0.275,34
n_044_u_880_2,44,8.8,25,0.299,34
n_040_u_800_2,40,8,21,0.291,29
n_008_u_160_4,8,1.6,4,0.0189999999999999,7
n_049_u_980_1,49,9.8,24,0.492,37
n_006_u_120_5,6,1.2,4,0.0110000000000001,5
n_037_u_740_4,37,7.4,19,0.263,29
n_018_u_360_5,18,3.6,11,0.0660000000000001,12
n_008_u_160_5,8,1.6,5,0.022,8
n_038_u_760_4,38,7.6,20,0.3,30
n_007_u_140_4,7,1.4,5,0.02,5
n_011_u_220_4,11,2.2,6,0.0230000000000001,8
n_023_u_459_5,23,4.6,12,0.0910000000000002,18
n_050_u_1000_1,50,10,25,0.522,40
n_005_u_100_6,5,1,3,0.00900000000000012,4
n_040_u_800_3,40,8,21,0.335,33
n_042_u_840_4,42,8.4,20,0.266,35
n_048_u_960_1,48,9.6,24,0.534,38
n_019_u_380_5,19,3.8,10,0.0839999999999999,16
n_007_u_140_5,7,1.4,5,0.0129999999999999,5
n_039_u_780_4,39,7.8,20,0.289,33
n_042_u_840_3,42,8.4,21,0.318,31
n_042_u_840_2,42,8.4,26,0.372,34
n_009_u_180_6,9,1.8,6,0.0149999999999999,8
n_045_u_900_3,45,9,24,0.31,36
n_016_u_320_3,16,3.2,9,0.0559999999999998,14
n_024_u_480_4,24,4.8,13,0.119,20
n_006_u_120_6,6,1.2,4,0.0109999999999999,5
n_047_u_940_2,47,9.4,22,0.361,37
n_009_u_180_5,9,1.8,5,0.0250000000000001,7
n_018_u_360_6,18,3.6,11,0.083,14
n_009_u_180_4,9,1.8,5,0.0250000000000001,7
n_040_u_800_4,40,8,23,0.313,34
n_012_u_240_5,12,2.4,7,0.0329999999999999,9
n_015_u_300_3,15,3,8,0.05,12
n_017_u_340_3,17,3.4,10,0.0599999999999998,14
n_023_u_459_4,23,4.6,13,0.118,17
n_018_u_360_7,18,3.6,10,0.0649999999999999,15
n_007_u_140_6,7,1.4,4,0.014,6
n_046_u_920_2,46,9.2,21,0.37,37
n_043_u_860_3,43,8.6,21,0.358,31
n_019_u_380_6,19,3.8,11,0.102,14
n_024_u_480_5,24,4.8,11,0.085,19
n_044_u_880_5,44,8.8,20,0.303,38
n_025_u_500_4,25,5,14,0.149,20
n_021_u_420_5,21,4.2,11,0.114,19
n_027_u_540_4,27,5.4,13,0.16,21
n_020_u_400_5,20,4,10,0.097,16
n_045_u_900_2,45,9,25,0.378,38
n_026_u_520_4,26,5.2,13,0.158,20
n_050_u_1000_2,50,10,24,0.353,39
n_044_u_880_4,44,8.8,26,0.37,34
n_041_u_819_4,41,8.2,21,0.321,32
n_021_u_420_6,21,4.2,11,0.112,17
n_014_u_280_4,14,2.8,7,0.0590000000000002,12
n_022_u_440_7,22,4.4,12,0.075,16
n_019_u_380_7,19,3.8,11,0.0700000000000001,14
n_010_u_200_5,10,2,5,0.0250000000000001,8
n_011_u_220_7,11,2.2,7,0.026,8
n_013_u_260_4,13,2.6,8,0.0370000000000001,12
n_008_u_160_6,8,1.6,5,0.016,6
n_034_u_680_5,34,6.8,18,0.212,29
n_020_u_400_6,20,4,10,0.102,14
n_044_u_880_3,44,8.8,23,0.344,35
n_049_u_980_2,49,9.8,26,0.424,39
n_011_u_220_6,11,2.2,7,0.028,10
n_045_u_900_4,45,9,24,0.375,37
n_012_u_240_4,12,2.4,7,0.04,10
n_032_u_640_5,32,6.4,15,0.209,27
n_022_u_440_6,22,4.4,11,0.099,17
n_046_u_920_5,46,9.2,26,0.339,37
n_017_u_340_4,17,3.4,9,0.0509999999999999,14
n_033_u_660_5,33,6.6,19,0.24,24
n_048_u_960_2,48,9.6,25,0.401,38
n_022_u_440_5,22,4.4,11,0.106,18
n_025_u_500_6,25,5,11,0.0960000000000001,20
n_043_u_860_4,43,8.6,22,0.377,35
n_011_u_220_5,11,2.2,6,0.0359999999999998,8
n_012_u_240_6,12,2.4,8,0.0349999999999999,8
n_016_u_320_4,16,3.2,9,0.054,14
n_020_u_400_7,20,4,11,0.109,15
n_047_u_940_4,47,9.4,22,0.4,36
n_010_u_200_6,10,2,7,0.0249999999999999,8
n_029_u_580_4,29,5.8,15,0.158,24
n_048_u_960_3,48,9.6,24,0.387,39
n_013_u_260_7,13,2.6,7,0.0390000000000001,11
n_031_u_620_6,31,6.2,17,0.204,25
n_046_u_920_3,46,9.2,23,0.41,40
n_045_u_900_5,45,9,24,0.415,35
n_015_u_300_4,15,3,9,0.046,11
n_021_u_420_7,21,4.2,13,0.0880000000000001,17
n_046_u_920_4,46,9.2,24,0.471,37
n_036_u_720_6,36,7.2,20,0.21,28
n_035_u_700_5,35,7,21,0.272,27
n_031_u_620_7,31,6.2,17,0.17,26
n_044_u_880_6,44,8.8,23,0.3,32
n_014_u_280_6,14,2.8,8,0.0449999999999999,13
n_047_u_940_3,47,9.4,24,0.448,36
n_013_u_260_5,13,2.6,8,0.038,12
n_024_u_480_8,24,4.8,13,0.121,17
n_026_u_520_5,26,5.2,15,0.119,22
n_030_u_600_4,30,6,16,0.17,25
n_012_u_240_7,12,2.4,6,0.038,9
n_031_u_620_8,31,6.2,17,0.168,27
n_023_u_459_6,23,4.6,13,0.135,17
n_027_u_540_5,27,5.4,13,0.139,22
n_015_u_300_5,15,3,10,0.0530000000000002,12
n_032_u_640_6,32,6.4,16,0.235,24
n_013_u_260_6,13,2.6,6,0.042,11
n_048_u_960_4,48,9.6,24,0.402,39
n_024_u_480_7,24,4.8,14,0.12,17
n_011_u_220_8,11,2.2,5,0.0249999999999999,9
n_047_u_940_5,47,9.4,24,0.399,40
n_028_u_560_4,28,5.6,15,0.198,23
n_030_u_600_5,30,6,16,0.11,25
n_025_u_500_5,25,5,12,0.136,21
n_037_u_740_6,37,7.4,17,0.19,31
n_036_u_720_5,36,7.2,17,0.204,30
n_050_u_1000_4,50,10,28,0.404,41
n_014_u_280_5,14,2.8,9,0.0479999999999998,11
n_037_u_740_5,37,7.4,19,0.25,30
n_032_u_640_8,32,6.4,15,0.185,26
n_035_u_700_8,35,7,20,0.191,28
n_032_u_640_7,32,6.4,15,0.216,26
n_025_u_500_7,25,5,14,0.127,21
n_049_u_980_3,49,9.8,26,0.435,40
n_023_u_459_7,23,4.6,13,0.111,18
n_015_u_300_6,15,3,10,0.0509999999999999,11
n_024_u_480_6,24,4.8,14,0.142,18
n_014_u_280_7,14,2.8,8,0.05,11
n_026_u_520_8,26,5.2,15,0.126,21
n_048_u_960_5,48,9.6,24,0.45,38
n_050_u_1000_3,50,10,27,0.48,41
n_033_u_660_6,33,6.6,18,0.238,28
n_034_u_680_6,34,6.8,18,0.249,25
n_017_u_340_6,17,3.4,10,0.0580000000000001,14
n_025_u_500_8,25,5,13,0.11,21
n_049_u_980_5,49,9.8,27,0.433,40
n_024_u_480_9,24,4.8,11,0.0919999999999999,19
n_035_u_700_7,35,7,18,0.2,27
n_029_u_580_5,29,5.8,14,0.17,22
n_016_u_320_5,16,3.2,9,0.054,13
n_027_u_540_7,27,5.4,14,0.126,23
n_015_u_300_7,15,3,8,0.0410000000000001,13
n_026_u_520_6,26,5.2,14,0.137,20
n_034_u_680_7,34,6.8,17,0.27,28
n_038_u_760_5,38,7.6,20,0.29,28
n_033_u_660_7,33,6.6,19,0.256,24
n_028_u_560_6,28,5.6,14,0.136,24
n_028_u_560_5,28,5.6,15,0.176,21
n_005_u_100_7,5,1,4,0.00800000000000001,5
n_017_u_340_5,17,3.4,10,0.0640000000000001,13
n_035_u_700_6,35,7,19,0.226,28
n_049_u_980_4,49,9.8,24,0.464,43
n_026_u_520_7,26,5.2,13,0.139,21
n_039_u_780_5,39,7.8,19,0.31,32
n_033_u_660_8,33,6.6,18,0.222,27
n_016_u_320_7,16,3.2,8,0.0579999999999998,10
n_006_u_120_7,6,1.2,4,0.0110000000000001,5
n_034_u_680_8,34,6.8,16,0.224,28
n_050_u_1000_5,50,10,24,0.451,39
n_038_u_760_7,38,7.6,22,0.279,32
n_027_u_540_6,27,5.4,15,0.162,21
n_016_u_320_6,16,3.2,8,0.0580000000000001,14
n_005_u_100_9,5,1,3,0.01,4
n_018_u_360_8,18,3.6,10,0.0739999999999998,15
n_036_u_720_7,36,7.2,20,0.218,32
n_027_u_540_8,27,5.4,14,0.153,21
n_040_u_800_5,40,8,21,0.376,32
n_028_u_560_7,28,5.6,13,0.164,23
n_007_u_140_7,7,1.4,4,0.0149999999999999,6
n_047_u_940_6,47,9.4,26,0.366,39
n_017_u_340_7,17,3.4,9,0.052,14
n_019_u_380_8,19,3.8,10,0.0790000000000002,16
n_037_u_740_9,37,7.4,19,0.265,30
n_044_u_880_7,44,8.8,24,0.306,37
n_039_u_780_6,39,7.8,19,0.268,30
n_037_u_740_8,37,7.4,18,0.257,29
n_030_u_600_7,30,6,16,0.169,26
