instance,n,u,procs,elapsed
n_006_u_120_1,6,1.2,3,12.146
n_005_u_100_1,5,1,3,12.685
n_006_u_120_2,6,1.2,3,15.611
n_007_u_140_2,7,1.4,4,19.418
n_007_u_140_1,7,1.4,3,19.77
n_008_u_160_1,8,1.6,4,21.295
n_008_u_160_2,8,1.6,4,22.014
n_009_u_180_2,9,1.8,4,25.666
n_009_u_180_1,9,1.8,4,26.711
n_010_u_200_1,10,2,4,30.198
n_010_u_200_2,10,2,5,31.062
n_011_u_220_2,11,2.2,5,35.28
n_011_u_220_1,11,2.2,5,40.59
n_012_u_240_2,12,2.4,5,42.47
n_012_u_240_1,12,2.4,5,44.723
n_013_u_260_2,13,2.6,6,45.345
n_013_u_260_1,13,2.6,5,46.578
n_015_u_300_2,15,3,7,53.321
n_014_u_280_1,14,2.8,7,55.436
n_005_u_100_2,5,1,3,57.074
n_016_u_320_1,16,3.2,7,57.716
n_014_u_280_2,14,2.8,7,57.71
n_015_u_300_1,15,3,6,59.004
n_016_u_320_2,16,3.2,8,63.227
n_017_u_340_2,17,3.4,7,72.56
n_018_u_360_1,18,3.6,8,82.013
n_019_u_380_1,19,3.8,8,82.584
n_017_u_340_1,17,3.4,7,83.624
n_018_u_360_2,18,3.6,7,82.06
n_020_u_400_1,20,4,9,96.405
n_019_u_380_3,19,3.8,9,82.535
n_020_u_400_2,20,4,8,84.255
n_020_u_400_3,20,4,8,91.983
n_023_u_459_1,23,4.6,9,114.735
n_019_u_380_2,19,3.8,9,105.545
n_021_u_420_2,21,4.2,9,98.023
n_022_u_440_1,22,4.4,10,126.922
n_022_u_440_3,22,4.4,9,101.416
n_021_u_420_1,21,4.2,8,131.61
n_024_u_480_1,24,4.8,11,132.217
n_021_u_420_3,21,4.2,9,114.731
n_023_u_459_2,23,4.6,9,114.092
n_018_u_360_3,18,3.6,9,90.99
n_026_u_520_1,26,5.2,10,150.332
n_025_u_500_1,25,5,11,155.396
n_023_u_459_3,23,4.6,11,126.287
n_024_u_480_2,24,4.8,11,126.611
n_022_u_440_2,22,4.4,9,145.98
n_029_u_580_1,29,5.8,11,173.24
n_028_u_560_1,28,5.6,10,176.687
n_025_u_500_3,25,5,10,139.842
n_030_u_600_1,30,6,11,183.797
n_026_u_520_3,26,5.2,10,139.772
n_027_u_540_1,27,5.4,10,186.551
n_025_u_500_2,25,5,12,145.341
n_026_u_520_2,26,5.2,10,148.034
n_024_u_480_3,24,4.8,10,159.325
n_032_u_640_1,32,6.4,13,210.957
n_031_u_620_1,31,6.2,12,211.618
n_034_u_680_1,34,6.8,12,220.364
n_027_u_540_3,27,5.4,10,167.802
n_029_u_580_3,29,5.8,11,175.096
n_027_u_540_2,27,5.4,11,185.219
n_028_u_560_2,28,5.6,12,181.932
n_033_u_660_1,33,6.6,13,242.613
n_028_u_560_3,28,5.6,13,191.064
n_030_u_600_3,30,6,12,173.828
n_035_u_700_1,35,7,13,249.412
n_029_u_580_2,29,5.8,12,195.744
n_030_u_600_2,30,6,12,181.664
n_036_u_720_1,36,7.2,14,276.946
n_031_u_620_3,31,6.2,12,189.044
n_040_u_800_1,40,8,15,293.413
n_037_u_740_1,37,7.4,17,298.486
n_033_u_660_2,33,6.6,13,203.357
n_031_u_620_2,31,6.2,12,224.481
n_032_u_640_4,32,6.4,12,208.885
n_032_u_640_2,32,6.4,13,225.537
n_041_u_819_1,41,8.2,16,308.237
n_039_u_780_1,39,7.8,14,309.33
n_007_u_140_3,7,1.4,4,17.132
n_006_u_120_3,6,1.2,3,14.286
n_042_u_840_1,42,8.4,15,325.862
n_008_u_160_3,8,1.6,4,23.103
n_033_u_660_3,33,6.6,13,228.689
n_009_u_180_3,9,1.8,4,21.106
n_034_u_680_3,34,6.8,13,232.77
n_035_u_700_4,35,7,13,228.06
n_031_u_620_4,31,6.2,12,216.247
n_032_u_640_3,32,6.4,12,247.712
n_038_u_760_1,38,7.6,16,377.011
n_034_u_680_4,34,6.8,12,241.336
n_033_u_660_4,33,6.6,12,267.74
n_036_u_720_2,36,7.2,13,276.727
n_005_u_100_3,5,1,3,14.637
n_045_u_900_1,45,9,16,393.555
n_044_u_880_1,44,8.8,16,396.882
n_020_u_400_4,20,4,7,102.337
n_019_u_380_4,19,3.8,8,89.639
n_046_u_920_1,46,9.2,18,416.156
n_035_u_700_2,35,7,13,294.889
n_034_u_680_2,34,6.8,13,290.98
n_037_u_740_2,37,7.4,14,294.035
