instance,n,u,procs,elapsed,passive
n_034_u_680_1,34,6.8,12,0.179,31
n_032_u_640_1,32,6.4,12,0.184,31
n_028_u_560_2,28,5.6,11,0.136,24
n_023_u_459_3,23,4.6,9,0.08,21
n_029_u_580_2,29,5.8,10,0.141,28
n_031_u_620_1,31,6.2,11,0.196,28
n_025_u_500_3,25,5,10,0.095,22
n_031_u_620_3,31,6.2,11,0.15,29
n_032_u_640_2,32,6.4,12,0.141,29
n_030_u_600_2,30,6,10,0.159,27
n_032_u_640_3,32,6.4,12,0.181,30
n_036_u_720_1,36,7.2,14,0.21,31
n_033_u_660_3,33,6.6,11,0.159,30
n_033_u_660_1,33,6.6,13,0.234,29
n_026_u_520_3,26,5.2,9,0.111,25
n_024_u_480_3,24,4.8,9,0.144,20
n_027_u_540_3,27,5.4,9,0.117,25
n_035_u_700_1,35,7,12,0.247,32
n_034_u_680_2,34,6.8,13,0.161,30
n_040_u_800_1,40,8,15,0.243,39
n_031_u_620_2,31,6.2,12,0.188,29
n_030_u_600_3,30,6,10,0.127,28
n_041_u_819_1,41,8.2,13,0.244,39
n_039_u_780_1,39,7.8,13,0.25,37
n_033_u_660_2,33,6.6,11,0.18,31
n_029_u_580_3,29,5.8,10,0.141,26
n_031_u_620_4,31,6.2,11,0.131,27
n_006_u_120_3,6,1.2,3,0.00800000000000001,5
n_035_u_700_3,35,7,13,0.188,32
n_007_u_140_3,7,1.4,4,0.0119999999999998,7
n_042_u_840_1,42,8.4,13,0.259,41
n_008_u_160_3,8,1.6,4,0.016,7
n_028_u_560_3,28,5.6,11,0.158,25
n_038_u_760_1,38,7.6,14,0.271,33
n_037_u_740_1,37,7.4,12,0.274,35
n_035_u_700_2,35,7,13,0.169,32
n_034_u_680_3,34,6.8,13,0.163,31
n_009_u_180_3,9,1.8,4,0.0130000000000001,8
n_005_u_100_3,5,1,3,0.0089999999999999,4
n_033_u_660_4,33,6.6,12,0.165,31
n_032_u_640_4,32,6.4,11,0.153,30
n_036_u_720_3,36,7.2,12,0.219,34
n_037_u_740_2,37,7.4,14,0.19,34
n_034_u_680_4,34,6.8,12,0.173,33
n_020_u_400_4,20,4,6,0.05,19
n_044_u_880_1,44,8.8,15,0.304,42
n_036_u_720_2,36,7.2,12,0.219,33
n_037_u_740_3,37,7.4,13,0.218,33
n_045_u_900_1,45,9,14,0.317,42
n_047_u_940_1,47,9.4,17,0.319,43
n_038_u_760_2,38,7.6,12,0.213,34
n_018_u_360_4,18,3.6,7,0.0549999999999999,17
n_039_u_780_2,39,7.8,13,0.219,35
n_039_u_780_3,39,7.8,13,0.221,37
n_040_u_800_2,40,8,15,0.192,37
n_011_u_220_3,11,2.2,5,0.03,9
n_005_u_100_4,5,1,3,0.00700000000000012,5
n_019_u_380_4,19,3.8,7,0.0870000000000002,17
n_006_u_120_4,6,1.2,3,0.012,6
n_021_u_420_4,21,4.2,8,0.0850000000000002,20
n_006_u_120_5,6,1.2,3,0.0109999999999999,6
n_036_u_720_4,36,7.2,15,0.177,32
n_022_u_440_4,22,4.4,7,0.0790000000000002,21
n_007_u_140_4,7,1.4,3,0.016,6
n_012_u_240_3,12,2.4,5,0.0350000000000001,11
n_046_u_920_1,46,9.2,15,0.35,42
n_043_u_860_1,43,8.6,16,0.358,38
n_014_u_280_3,14,2.8,6,0.0350000000000001,14
n_035_u_700_4,35,7,12,0.206,32
n_041_u_819_2,41,8.2,14,0.255,37
n_038_u_760_3,38,7.6,15,0.263,34
n_041_u_819_3,41,8.2,15,0.206,37
n_010_u_200_3,10,2,4,0.0219999999999998,9
n_005_u_100_5,5,1,3,0.00999999999999979,4
n_040_u_800_3,40,8,13,0.252,37
n_013_u_260_3,13,2.6,6,0.0309999999999999,11
n_008_u_160_4,8,1.6,3,0.0159999999999998,7
n_049_u_980_1,49,9.8,18,0.382,46
n_008_u_160_5,8,1.6,4,0.016,8
n_043_u_860_2,43,8.6,16,0.252,40
n_045_u_900_2,45,9,15,0.229,42
n_018_u_360_5,18,3.6,7,0.0620000000000001,16
n_007_u_140_5,7,1.4,3,0.0129999999999999,6
n_048_u_960_1,48,9.6,15,0.397,45
n_019_u_380_5,19,3.8,7,0.0679999999999998,18
n_020_u_400_5,20,4,6,0.0649999999999999,19
n_010_u_200_4,10,2,5,0.0229999999999999,10
n_019_u_380_6,19,3.8,7,0.077,19
n_039_u_780_4,39,7.8,13,0.205,37
n_042_u_840_2,42,8.4,17,0.292,37
n_012_u_240_4,12,2.4,4,0.0309999999999999,11
n_050_u_1000_1,50,10,16,0.419,45
n_024_u_480_4,24,4.8,8,0.097,22
n_006_u_120_6,6,1.2,3,0.00900000000000012,5
n_042_u_840_3,42,8.4,16,0.262,37
n_037_u_740_4,37,7.4,12,0.209,35
n_047_u_940_2,47,9.4,15,0.276,44
n_016_u_320_3,16,3.2,7,0.048,14
n_015_u_300_3,15,3,6,0.0390000000000001,13
n_009_u_180_4,9,1.8,4,0.016,9
n_038_u_760_4,38,7.6,14,0.262,34
n_018_u_360_6,18,3.6,8,0.0660000000000001,15
n_033_u_660_5,33,6.6,12,0.147,30
n_009_u_180_5,9,1.8,4,0.016,8
n_045_u_900_3,45,9,16,0.259,41
n_005_u_100_6,5,1,3,0.00700000000000012,5
n_044_u_880_5,44,8.8,15,0.209,41
n_025_u_500_4,25,5,9,0.106,23
n_023_u_459_4,23,4.6,10,0.0810000000000002,21
n_020_u_400_6,20,4,8,0.0670000000000002,18
n_021_u_420_6,21,4.2,8,0.0780000000000001,21
n_044_u_880_3,44,8.8,16,0.233,41
n_021_u_420_5,21,4.2,8,0.0890000000000002,19
n_031_u_620_5,31,6.2,10,0.152,30
n_014_u_280_4,14,2.8,6,0.0390000000000001,14
n_012_u_240_5,12,2.4,5,0.024,10
n_044_u_880_2,44,8.8,17,0.309,38
n_017_u_340_3,17,3.4,6,0.054,15
n_027_u_540_4,27,5.4,10,0.125,26
n_011_u_220_7,11,2.2,4,0.0230000000000001,10
n_019_u_380_7,19,3.8,8,0.0590000000000002,17
n_043_u_860_4,43,8.6,14,0.252,40
n_032_u_640_5,32,6.4,11,0.157,29
n_042_u_840_4,42,8.4,14,0.247,40
n_043_u_860_3,43,8.6,15,0.302,40
n_040_u_800_4,40,8,14,0.274,35
n_026_u_520_4,26,5.2,9,0.117,25
n_044_u_880_4,44,8.8,16,0.316,38
n_011_u_220_5,11,2.2,5,0.0309999999999999,10
n_023_u_459_5,23,4.6,9,0.089,23
n_011_u_220_4,11,2.2,5,0.0239999999999998,10
n_010_u_200_6,10,2,5,0.0169999999999999,9
n_018_u_360_7,18,3.6,7,0.056,16
n_045_u_900_4,45,9,17,0.317,40
n_034_u_680_5,34,6.8,12,0.169,30
n_007_u_140_6,7,1.4,3,0.0109999999999999,6
n_041_u_819_4,41,8.2,16,0.258,36
n_049_u_980_2,49,9.8,17,0.32,46
n_009_u_180_6,9,1.8,4,0.0209999999999999,9
n_046_u_920_2,46,9.2,16,0.307,42
n_022_u_440_5,22,4.4,9,0.0859999999999999,20
n_008_u_160_6,8,1.6,4,0.0150000000000001,8
n_022_u_440_6,22,4.4,8,0.083,20
n_010_u_200_5,10,2,4,0.0349999999999999,8
n_025_u_500_5,25,5,10,0.113,21
n_035_u_700_5,35,7,12,0.191,32
n_011_u_220_6,11,2.2,5,0.0349999999999999,11
n_012_u_240_6,12,2.4,5,0.026,11
n_031_u_620_6,31,6.2,12,0.151,30
n_046_u_920_5,46,9.2,16,0.266,42
n_029_u_580_4,29,5.8,10,0.12,27
n_025_u_500_6,25,5,9,0.081,22
n_048_u_960_4,48,9.6,17,0.313,43
n_013_u_260_4,13,2.6,5,0.04,12
n_047_u_940_3,47,9.4,18,0.327,42
n_016_u_320_4,16,3.2,6,0.0489999999999999,15
n_046_u_920_4,46,9.2,16,0.376,42
n_032_u_640_6,32,6.4,11,0.172,30
n_031_u_620_7,31,6.2,10,0.135,30
n_027_u_540_5,27,5.4,9,0.105,26
n_024_u_480_8,24,4.8,8,0.101,22
n_013_u_260_7,13,2.6,5,0.0370000000000001,12
n_048_u_960_2,48,9.6,17,0.357,42
n_028_u_560_4,28,5.6,10,0.148,26
n_023_u_459_7,23,4.6,9,0.0790000000000002,21
n_020_u_400_7,20,4,7,0.0740000000000001,19
n_033_u_660_6,33,6.6,11,0.175,31
n_022_u_440_7,22,4.4,9,0.075,20
n_037_u_740_5,37,7.4,14,0.162,34
n_047_u_940_4,47,9.4,16,0.331,44
n_046_u_920_3,46,9.2,16,0.351,43
n_047_u_940_5,47,9.4,16,0.304,43
n_032_u_640_7,32,6.4,11,0.179,29
n_048_u_960_3,48,9.6,18,0.34,43
n_014_u_280_5,14,2.8,6,0.0390000000000001,13
n_015_u_300_6,15,3,6,0.0429999999999999,14
n_030_u_600_4,30,6,11,0.124,29
n_024_u_480_6,24,4.8,9,0.103,22
n_049_u_980_5,49,9.8,17,0.261,46
n_013_u_260_6,13,2.6,5,0.032,12
n_021_u_420_7,21,4.2,7,0.0790000000000002,20
n_024_u_480_5,24,4.8,8,0.104,23
n_050_u_1000_4,50,10,19,0.304,44
n_050_u_1000_2,50,10,16,0.361,46
n_025_u_500_7,25,5,9,0.091,24
n_015_u_300_4,15,3,6,0.0469999999999999,14
n_013_u_260_5,13,2.6,5,0.0409999999999999,13
n_045_u_900_5,45,9,16,0.356,40
n_014_u_280_6,14,2.8,6,0.0419999999999998,13
n_024_u_480_7,24,4.8,9,0.097,22
n_032_u_640_8,32,6.4,11,0.147,31
n_023_u_459_6,23,4.6,9,0.104,22
n_016_u_320_7,16,3.2,7,0.032,15
n_014_u_280_7,14,2.8,6,0.0429999999999999,12
n_031_u_620_8,31,6.2,11,0.132,29
n_015_u_300_5,15,3,6,0.0439999999999998,15
n_026_u_520_5,26,5.2,10,0.0879999999999999,23
n_049_u_980_3,49,9.8,16,0.348,46
n_034_u_680_6,34,6.8,13,0.178,31
n_036_u_720_5,36,7.2,14,0.206,32
n_012_u_240_7,12,2.4,5,0.0309999999999999,11
n_017_u_340_6,17,3.4,7,0.0509999999999999,15
n_017_u_340_4,17,3.4,6,0.054,16
n_050_u_1000_3,50,10,16,0.392,47
n_049_u_980_4,49,9.8,16,0.394,45
n_033_u_660_7,33,6.6,14,0.221,28
n_034_u_680_7,34,6.8,12,0.224,30
n_016_u_320_5,16,3.2,7,0.0409999999999999,16
n_029_u_580_5,29,5.8,10,0.132,28
n_038_u_760_5,38,7.6,15,0.248,33
n_035_u_700_6,35,7,13,0.183,32
n_026_u_520_8,26,5.2,11,0.126,22
n_046_u_920_6,46,9.2,16,0.266,42
n_048_u_960_5,48,9.6,16,0.355,45
n_038_u_760_6,38,7.6,13,0.182,36
n_035_u_700_7,35,7,15,0.186,30
n_036_u_720_6,36,7.2,12,0.218,33
n_027_u_540_6,27,5.4,10,0.122,23
n_026_u_520_6,26,5.2,9,0.0920000000000001,25
n_005_u_100_8,5,1,3,0.0089999999999999,5
n_016_u_320_6,16,3.2,6,0.0490000000000002,15
n_017_u_340_5,17,3.4,6,0.0530000000000002,16
n_029_u_580_8,29,5.8,11,0.102,26
n_013_u_260_8,13,2.6,5,0.032,12
n_026_u_520_7,26,5.2,8,0.139,25
n_025_u_500_8,25,5,9,0.081,23
n_028_u_560_7,28,5.6,10,0.146,25
n_027_u_540_7,27,5.4,9,0.115,25
n_027_u_540_8,27,5.4,10,0.115,24
n_015_u_300_7,15,3,6,0.0419999999999998,14
n_033_u_660_8,33,6.6,10,0.171,31
n_028_u_560_6,28,5.6,10,0.115,26
n_039_u_780_5,39,7.8,15,0.261,34
n_038_u_760_7,38,7.6,14,0.208,34
n_047_u_940_6,47,9.4,17,0.259,44
n_028_u_560_5,28,5.6,10,0.14,25
n_006_u_120_7,6,1.2,3,0.0109999999999999,5
n_037_u_740_9,37,7.4,12,0.194,35
n_005_u_100_9,5,1,3,0.00800000000000001,5
n_005_u_100_7,5,1,3,0.073,5
n_044_u_880_6,44,8.8,15,0.308,41
n_018_u_360_9,18,3.6,9,0.0569999999999999,16
n_050_u_1000_5,50,10,18,0.357,45
n_034_u_680_8,34,6.8,11,0.181,31
n_036_u_720_8,36,7.2,13,0.202,33
n_040_u_800_6,40,8,13,0.209,38
n_045_u_900_6,45,9,14,0.31,42
n_007_u_140_8,7,1.4,3,0.0110000000000001,6
n_035_u_700_8,35,7,12,0.215,32
n_030_u_600_5,30,6,11,0.132,27
n_014_u_280_8,14,2.8,5,0.0350000000000001,13
n_029_u_580_6,29,5.8,10,0.115,27
n_040_u_800_5,40,8,14,0.331,36
n_011_u_220_8,11,2.2,4,0.028,11
n_030_u_600_7,30,6,11,0.145,27
n_044_u_880_7,44,8.8,15,0.276,40
n_037_u_740_6,37,7.4,13,0.211,32
n_038_u_760_8,38,7.6,13,0.192,36
n_007_u_140_7,7,1.4,3,0.012,7
n_026_u_520_9,26,5.2,10,0.085,24
n_017_u_340_7,17,3.4,6,0.042,16
n_012_u_240_8,12,2.4,5,0.0269999999999999,10
n_005_u_100_10,5,1,3,0.0089999999999999,5
n_037_u_740_7,37,7.4,12,0.231,35
n_018_u_360_10,18,3.6,7,0.0589999999999999,17
n_019_u_380_8,19,3.8,7,0.0640000000000001,17
n_018_u_360_8,18,3.6,7,0.0640000000000001,16
n_011_u_220_9,11,2.2,5,0.0270000000000001,10
n_039_u_780_6,39,7.8,13,0.2,38
n_036_u_720_7,36,7.2,13,0.213,33
n_037_u_740_8,37,7.4,12,0.222,35
n_006_u_120_8,6,1.2,3,0.0110000000000001,6
n_041_u_819_5,41,8.2,14,0.283,38
n_046_u_920_7,46,9.2,16,0.283,43
n_044_u_880_8,44,8.8,14,0.294,41
n_020_u_400_9,20,4,8,0.0740000000000001,18
n_030_u_600_6,30,6,10,0.148,28
n_029_u_580_7,29,5.8,10,0.149,26
n_008_u_160_7,8,1.6,3,0.0189999999999999,7
n_043_u_860_5,43,8.6,15,0.285,40
n_018_u_360_11,18,3.6,8,0.0579999999999998,15
n_042_u_840_5,42,8.4,17,0.337,38
n_044_u_880_9,44,8.8,17,0.257,40
n_011_u_220_10,11,2.2,4,0.0259999999999998,10
n_045_u_900_9,45,9,15,0.265,42
n_020_u_400_8,20,4,7,0.0799999999999998,18
n_013_u_260_9,13,2.6,5,0.0329999999999999,11
n_045_u_900_7,45,9,15,0.331,41
n_045_u_900_8,45,9,15,0.31,41
n_010_u_200_7,10,2,4,0.0209999999999999,9
n_048_u_960_6,48,9.6,18,0.375,43
n_024_u_480_9,24,4.8,8,0.099,22
n_009_u_180_7,9,1.8,5,0.0190000000000001,9
n_027_u_540_9,27,5.4,9,0.108,26
n_028_u_560_8,28,5.6,13,0.162,24
n_019_u_380_9,19,3.8,8,0.0600000000000001,16
n_011_u_220_11,11,2.2,4,0.026,10
n_031_u_620_10,31,6.2,11,0.142,30
n_012_u_240_11,12,2.4,5,0.032,12
n_042_u_840_6,42,8.4,14,0.238,40
n_050_u_1000_6,50,10,17,0.346,47
n_025_u_500_9,25,5,9,0.108,23
n_012_u_240_10,12,2.4,5,0.03,11
n_012_u_240_9,12,2.4,5,0.032,12
n_039_u_780_7,39,7.8,13,0.227,36
n_038_u_760_9,38,7.6,14,0.206,36
n_015_u_300_8,15,3,5,0.042,14
n_024_u_480_10,24,4.8,8,0.108,23
n_009_u_180_8,9,1.8,4,0.0230000000000001,8
n_042_u_840_9,42,8.4,16,0.219,38
n_039_u_780_9,39,7.8,14,0.254,34
n_040_u_800_9,40,8,13,0.21,38
n_006_u_120_9,6,1.2,3,0.0130000000000001,5
n_047_u_940_7,47,9.4,18,0.316,44
n_021_u_420_8,21,4.2,8,0.0780000000000001,19
n_040_u_800_7,40,8,14,0.246,37
n_041_u_819_7,41,8.2,14,0.213,37
n_031_u_620_11,31,6.2,12,0.139,29
n_006_u_120_11,6,1.2,3,0.0110000000000001,5
n_009_u_180_11,9,1.8,4,0.018,9
n_039_u_780_8,39,7.8,14,0.235,37
n_047_u_940_8,47,9.4,16,0.293,44
n_007_u_140_11,7,1.4,3,0.016,6
n_017_u_340_8,17,3.4,6,0.0470000000000002,16
n_007_u_140_9,7,1.4,4,0.014,7
n_008_u_160_9,8,1.6,4,0.0130000000000001,6
n_040_u_800_8,40,8,12,0.24,38
n_024_u_480_11,24,4.8,9,0.0920000000000001,22
n_006_u_120_10,6,1.2,4,0.012,6
n_023_u_459_8,23,4.6,8,0.0840000000000001,22
n_032_u_640_9,32,6.4,11,0.158,29
n_026_u_520_10,26,5.2,9,0.0990000000000002,24
n_041_u_819_8,41,8.2,13,0.256,38
n_031_u_620_9,31,6.2,10,0.162,30
n_007_u_140_10,7,1.4,3,0.0149999999999999,6
n_030_u_600_8,30,6,10,0.178,28
n_022_u_440_8,22,4.4,8,0.0960000000000001,20
n_014_u_280_9,14,2.8,5,0.0439999999999998,14
n_049_u_980_6,49,9.8,17,0.35,46
n_039_u_780_10,39,7.8,14,0.186,34
n_046_u_920_8,46,9.2,18,0.332,39
n_024_u_480_12,24,4.8,10,0.0920000000000001,23
n_008_u_160_10,8,1.6,4,0.0170000000000001,7
n_025_u_500_10,25,5,9,0.085,23
n_006_u_120_12,6,1.2,3,0.01,6
n_014_u_280_10,14,2.8,5,0.0419999999999998,12
n_048_u_960_7,48,9.6,18,0.323,42
n_019_u_380_10,19,3.8,7,0.0660000000000001,18
n_025_u_500_12,25,5,8,0.0999999999999999,24
n_022_u_440_9,22,4.4,8,0.0760000000000001,22
n_005_u_100_11,5,1,3,0.083,4
n_019_u_380_12,19,3.8,7,0.0629999999999999,18
n_041_u_819_6,41,8.2,14,0.269,37
n_033_u_660_10,33,6.6,11,0.165,30
n_025_u_500_11,25,5,9,0.104,23
n_048_u_960_8,48,9.6,17,0.33,45
n_013_u_260_10,13,2.6,5,0.0310000000000001,12
n_020_u_400_12,20,4,9,0.0659999999999998,18
n_022_u_440_12,22,4.4,8,0.073,20
n_021_u_420_10,21,4.2,7,0.0649999999999999,20
n_008_u_160_8,8,1.6,4,0.0150000000000001,7
n_016_u_320_8,16,3.2,6,0.0410000000000001,15
n_019_u_380_11,19,3.8,7,0.0640000000000001,17
n_032_u_640_10,32,6.4,11,0.137,29
n_020_u_400_10,20,4,6,0.073,19
n_033_u_660_9,33,6.6,10,0.162,32
n_031_u_620_12,31,6.2,12,0.177,27
n_028_u_560_9,28,5.6,10,0.114,25
n_020_u_400_11,20,4,8,0.0630000000000002,19
n_019_u_380_13,19,3.8,8,0.05,19
n_046_u_920_9,46,9.2,16,0.319,43
n_043_u_860_8,43,8.6,16,0.268,39
n_042_u_840_7,42,8.4,15,0.281,39
n_021_u_420_11,21,4.2,9,0.0640000000000003,21
n_049_u_980_7,49,9.8,17,0.368,45
n_015_u_300_9,15,3,6,0.0629999999999999,13
n_015_u_300_10,15,3,5,0.0479999999999998,14
n_043_u_860_6,43,8.6,14,0.295,39
n_010_u_200_10,10,2,5,0.0230000000000001,10
n_009_u_180_9,9,1.8,4,0.0190000000000001,8
n_047_u_940_9,47,9.4,15,0.321,44
n_018_u_360_12,18,3.6,8,0.073,16
n_013_u_260_11,13,2.6,5,0.0389999999999999,12
n_010_u_200_8,10,2,5,0.0230000000000001,10
n_037_u_740_10,37,7.4,12,0.219,35
n_050_u_1000_10,50,10,17,0.356,47
n_049_u_980_9,49,9.8,17,0.342,46
n_027_u_540_11,27,5.4,11,0.107,24
n_016_u_320_9,16,3.2,6,0.0449999999999999,15
n_030_u_600_9,30,6,10,0.151,28
n_027_u_540_10,27,5.4,9,0.128,26
n_042_u_840_8,42,8.4,14,0.265,37
n_048_u_960_9,48,9.6,15,0.341,45
n_014_u_280_11,14,2.8,5,0.036,12
n_040_u_800_10,40,8,15,0.233,36
n_021_u_420_9,21,4.2,7,0.0939999999999999,19
n_026_u_520_11,26,5.2,10,0.106,24
n_037_u_740_11,37,7.4,13,0.206,35
n_007_u_140_12,7,1.4,3,0.0149999999999997,7
n_009_u_180_10,9,1.8,4,0.0179999999999998,9
n_044_u_880_11,44,8.8,14,0.247,42
n_038_u_760_10,38,7.6,13,0.236,36
n_050_u_1000_7,50,10,17,0.358,46
n_034_u_680_9,34,6.8,12,0.209,30
n_016_u_320_11,16,3.2,6,0.0459999999999998,15
n_037_u_740_12,37,7.4,12,0.185,35
n_036_u_720_9,36,7.2,14,0.185,35
n_035_u_700_13,35,7,12,0.128,33
n_050_u_1000_9,50,10,18,0.325,45
n_017_u_340_12,17,3.4,6,0.052,15
n_041_u_819_9,41,8.2,14,0.27,38
n_043_u_860_7,43,8.6,15,0.309,39
n_022_u_440_10,22,4.4,8,0.0790000000000002,20
n_032_u_640_11,32,6.4,11,0.156,29
n_029_u_580_9,29,5.8,11,0.132,27
n_005_u_100_12,5,1,3,0.0129999999999999,4
n_015_u_300_11,15,3,6,0.0449999999999999,15
n_011_u_220_13,11,2.2,5,0.0170000000000003,10
n_023_u_459_11,23,4.6,8,0.0910000000000002,22
n_032_u_640_13,32,6.4,12,0.167,30
n_049_u_980_8,49,9.8,17,0.358,45
n_008_u_160_11,8,1.6,4,0.0179999999999998,8
n_033_u_660_13,33,6.6,12,0.16,30
n_037_u_740_13,37,7.4,13,0.199,34
n_035_u_700_9,35,7,12,0.211,30
n_050_u_1000_8,50,10,18,0.388,44
n_010_u_200_9,10,2,5,0.0329999999999999,10
n_033_u_660_12,33,6.6,13,0.151,31
n_033_u_660_11,33,6.6,12,0.17,31
n_023_u_459_9,23,4.6,10,0.107,19
n_039_u_780_11,39,7.8,12,0.229,37
n_017_u_340_11,17,3.4,7,0.0529999999999999,15
n_028_u_560_10,28,5.6,10,0.14,26
n_028_u_560_11,28,5.6,10,0.141,25
n_038_u_760_11,38,7.6,14,0.214,34
n_026_u_520_12,26,5.2,9,0.123,24
n_032_u_640_12,32,6.4,12,0.184,29
n_038_u_760_13,38,7.6,15,0.208,34
n_032_u_640_14,32,6.4,11,0.166,30
n_020_u_400_13,20,4,8,0.0789999999999997,18
n_034_u_680_11,34,6.8,13,0.193,30
n_006_u_120_13,6,1.2,3,0.012,6
n_005_u_100_13,5,1,3,0.0110000000000001,5
n_005_u_100_15,5,1,3,0.00800000000000001,5
n_017_u_340_9,17,3.4,7,0.0740000000000003,15
n_034_u_680_12,34,6.8,12,0.171,30
n_044_u_880_12,44,8.8,16,0.285,41
n_022_u_440_11,22,4.4,8,0.103,20
n_035_u_700_10,35,7,13,0.234,31
n_016_u_320_10,16,3.2,5,0.0649999999999999,15
n_038_u_760_12,38,7.6,13,0.23,36
n_011_u_220_14,11,2.2,6,0.0189999999999997,11
n_017_u_340_10,17,3.4,7,0.056,17
n_044_u_880_10,44,8.8,15,0.273,41
n_018_u_360_13,18,3.6,7,0.0900000000000003,15
n_005_u_100_14,5,1,3,0.00700000000000012,5
n_029_u_580_10,29,5.8,11,0.158,26
n_024_u_480_14,24,4.8,9,0.101,23
n_021_u_420_12,21,4.2,8,0.089,19
n_027_u_540_12,27,5.4,9,0.15,25
n_041_u_819_10,41,8.2,15,0.229,37
n_029_u_580_12,29,5.8,11,0.124,28
n_011_u_220_12,11,2.2,5,0.0269999999999997,10
n_043_u_860_9,43,8.6,15,0.302,38
n_018_u_360_16,18,3.6,7,0.056,16
n_018_u_360_14,18,3.6,7,0.0589999999999997,17
n_008_u_160_12,8,1.6,4,0.0150000000000001,8
n_023_u_459_10,23,4.6,8,0.0940000000000003,21
n_034_u_680_10,34,6.8,13,0.167,30
n_028_u_560_12,28,5.6,10,0.129,25
n_046_u_920_11,46,9.2,16,0.28,42
n_031_u_620_13,31,6.2,12,0.213,28
n_030_u_600_13,30,6,11,0.14,28
n_019_u_380_14,19,3.8,8,0.085,16
n_010_u_200_11,10,2,4,0.0249999999999999,10
n_045_u_900_10,45,9,15,0.343,41
n_045_u_900_11,45,9,15,0.282,41
n_030_u_600_12,30,6,12,0.113,28
n_018_u_360_15,18,3.6,7,0.0659999999999998,18
n_013_u_260_13,13,2.6,5,0.0300000000000002,11
n_012_u_240_12,12,2.4,5,0.028,11
n_024_u_480_15,24,4.8,8,0.0870000000000002,23
n_043_u_860_10,43,8.6,15,0.23,41
n_012_u_240_13,12,2.4,5,0.0310000000000001,11
n_046_u_920_10,46,9.2,15,0.312,43
n_040_u_800_12,40,8,13,0.246,37
n_030_u_600_10,30,6,11,0.129,28
n_035_u_700_11,35,7,11,0.196,33
n_021_u_420_13,21,4.2,7,0.0709999999999997,20
n_007_u_140_14,7,1.4,4,0.012,7
n_044_u_880_13,44,8.8,16,0.33,40
n_029_u_580_11,29,5.8,10,0.128,27
n_040_u_800_11,40,8,13,0.263,37
n_010_u_200_12,10,2,4,0.0349999999999997,9
n_024_u_480_13,24,4.8,8,0.1,23
n_030_u_600_11,30,6,10,0.131,30
n_007_u_140_13,7,1.4,4,0.012,7
n_013_u_260_12,13,2.6,6,0.0369999999999999,11
n_036_u_720_12,36,7.2,13,0.224,33
n_035_u_700_12,35,7,13,0.152,33
n_011_u_220_15,11,2.2,5,0.0249999999999999,10
n_023_u_459_12,23,4.6,7,0.0910000000000002,22
