instance,n,u,procs,elapsed,passive
n_006_u_120_1,6,1.2,3,0.011,5
n_007_u_140_1,7,1.4,3,0.014,7
n_009_u_180_1,9,1.8,4,0.019,9
n_010_u_200_1,10,2,4,0.02,9
n_005_u_100_1,5,1,3,0.029,5
n_011_u_220_1,11,2.2,4,0.03,11
n_013_u_260_1,13,2.6,5,0.041,12
n_012_u_240_1,12,2.4,5,0.045,11
n_008_u_160_1,8,1.6,4,0.028,7
n_019_u_380_2,19,3.8,8,0.0630000000000001,16
n_014_u_280_1,14,2.8,6,0.0710000000000001,14
n_016_u_320_1,16,3.2,6,0.0760000000000001,14
n_015_u_300_1,15,3,6,0.0780000000000001,15
n_005_u_100_2,5,1,3,0.024,4
n_017_u_340_1,17,3.4,7,0.0830000000000001,16
n_018_u_360_2,18,3.6,6,0.0660000000000001,17
n_020_u_400_2,20,4,7,0.0860000000000001,18
n_007_u_140_2,7,1.4,3,0.029,7
n_008_u_160_2,8,1.6,4,0.032,8
n_018_u_360_1,18,3.6,6,0.0940000000000001,17
n_006_u_120_2,6,1.2,3,0.039,6
n_019_u_380_1,19,3.8,8,0.0920000000000001,19
n_022_u_440_2,22,4.4,9,0.098,19
n_020_u_400_1,20,4,8,0.106,18
n_009_u_180_2,9,1.8,4,0.0489999999999999,9
n_023_u_459_2,23,4.6,8,0.106,21
n_021_u_420_1,21,4.2,7,0.114,19
n_011_u_220_2,11,2.2,4,0.0579999999999999,10
n_023_u_459_1,23,4.6,8,0.124,22
n_012_u_240_2,12,2.4,5,0.0659999999999999,10
n_010_u_200_2,10,2,4,0.0679999999999999,9
n_022_u_440_1,22,4.4,7,0.13,21
n_024_u_480_2,24,4.8,9,0.124,21
n_021_u_420_2,21,4.2,8,0.0870000000000001,19
n_015_u_300_2,15,3,7,0.072,15
n_024_u_480_1,24,4.8,9,0.136,22
n_013_u_260_2,13,2.6,5,0.0770000000000001,12
n_016_u_320_2,16,3.2,7,0.078,16
n_025_u_500_2,25,5,10,0.116,23
n_026_u_520_1,26,5.2,9,0.137,25
n_026_u_520_2,26,5.2,10,0.123,24
n_025_u_500_1,25,5,9,0.143,22
n_014_u_280_2,14,2.8,5,0.085,13
n_017_u_340_2,17,3.4,6,0.079,16
n_028_u_560_1,28,5.6,10,0.141,26
n_020_u_400_3,20,4,7,0.071,19
n_018_u_360_3,18,3.6,9,0.081,14
n_021_u_420_3,21,4.2,8,0.074,20
n_019_u_380_3,19,3.8,8,0.0739999999999998,17
n_027_u_540_2,27,5.4,10,0.108,24
n_029_u_580_1,29,5.8,10,0.159,27
n_027_u_540_1,27,5.4,9,0.167,25
n_030_u_600_1,30,6,12,0.166,27
n_022_u_440_3,22,4.4,8,0.0880000000000001,21
