n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
34,"6,8",FTpEDF,"14,7","0,994884876941723",13,17,50,"0,282743153607094"
35,7,FTpEDF,"15,38","1,21032969028429",13,18,50,"0,343971892091917"
36,"7,2",FTpEDF,"15,42","1,10822527732683",13,19,50,"0,314954138997167"
37,"7,4",FTpEDF,"15,92","1,17525507435446",14,19,50,"0,334003796536939"
38,"7,6",FTpEDF,"16,48","0,973946317089104",15,19,50,"0,27679248073837"
39,"7,8",FTpEDF,"16,94","1,1141025490483",15,20,50,"0,316624441139304"
40,8,FTpEDF,"16,88","1,17177695168056",15,20,50,"0,333015325009988"
41,"8,2",FTpEDF,"17,4","1,34011878852098",15,21,50,"0,38085754568841"
42,"8,4",FTpEDF,"18,14","1,32495668007736",15,23,50,"0,376548522146049"
43,"8,6",FTpEDF,"18,3","0,952976004580452",16,20,50,"0,270832783864649"
44,"8,8",FTpEDF,"18,54","1,07304639761222",17,21,50,"0,304956412002415"
45,9,FTpEDF,"19,06","0,998161575403624",17,22,50,"0,283674381006374"
46,"9,2",FTpEDF,"19,16","1,11318627078732",17,22,50,"0,316364037738775"
47,"9,4",FTpEDF,"19,68","1,30054933448469",18,23,50,"0,369612031277613"
48,"9,6",FTpEDF,"20,4","1,16057691494799",18,23,50,"0,329832309789155"
49,"9,8",FTpEDF,"20,68","1,30054933448469",18,25,50,"0,369612031277613"
50,10,FTpEDF,"20,92","1,24277503833895",19,24,50,"0,353192757984514"
5,1,SA-FTpEDF,"3,26","0,443087497693452",3,4,50,"0,125924073553951"
6,"1,2",SA-FTpEDF,"3,38","0,530306034093445",3,5,50,"0,150711307339768"
7,"1,4",SA-FTpEDF,"3,76","0,624663174545013",3,6,50,"0,177527309949673"
8,"1,6",SA-FTpEDF,"4,12","0,385449644663773",3,5,50,"0,109543576965391"
9,"1,8",SA-FTpEDF,"4,36","0,52527932316715",4,6,50,"0,149282731901029"
10,2,SA-FTpEDF,"4,72","0,572855361593241",4,6,50,"0,162803692418668"
11,"2,2",SA-FTpEDF,"5,2","0,63887656499994",4,7,50,"0,181566710822896"
12,"2,4",SA-FTpEDF,"5,48","0,646497628513415",5,7,50,"0,183732593108959"
13,"2,6",SA-FTpEDF,"5,82","0,560247758603645",5,7,50,"0,159220651293687"
14,"2,8",SA-FTpEDF,"6,28","0,536047515408392",5,7,50,"0,152343018275364"
15,3,SA-FTpEDF,"6,62","0,666700679404459",5,8,50,"0,189474236643614"
16,"3,2",SA-FTpEDF,"6,88","0,659003576838331",6,8,50,"0,187286744297892"
17,"3,4",SA-FTpEDF,"7,36","0,776175868983207",6,10,50,"0,220586741276693"
18,"3,6",SA-FTpEDF,"7,86","0,670363897522861",7,9,50,"0,190515311713859"
19,"3,8",SA-FTpEDF,"8,02","0,713999942834274",7,10,50,"0,202916538577632"
20,4,SA-FTpEDF,"8,34","0,717421687399412",7,10,50,"0,203888987623354"
21,"4,2",SA-FTpEDF,"8,78","0,789988375011342",7,11,50,"0,224512212056405"
22,"4,4",SA-FTpEDF,"9,08","0,804071273112588",8,11,50,"0,228514527413046"
23,"4,6",SA-FTpEDF,"9,52","0,579936660862413",9,11,50,"0,164816175403791"
24,"4,8",SA-FTpEDF,"9,68","0,793853942254275",8,11,50,"0,225610794111554"
25,5,SA-FTpEDF,"10,16","0,841766849294642",9,13,50,"0,239227491630085"
26,"5,2",SA-FTpEDF,"10,56","0,951046684405328",9,13,50,"0,270284477137634"
27,"5,4",SA-FTpEDF,"11,16","0,955328771274314",9,14,50,"0,271501432760759"
28,"5,6",SA-FTpEDF,"11,36","0,942424142998322",10,13,50,"0,267833977983381"
29,"5,8",SA-FTpEDF,"11,76","0,938083151964686",10,14,50,"0,266600281981887"
30,6,SA-FTpEDF,"12,26","0,964893988043902",10,15,50,"0,274219837288811"
31,"6,2",SA-FTpEDF,"12,5","0,863074712399612",11,15,50,"0,245283119321851"
32,"6,4",SA-FTpEDF,"12,92","0,944154950963332",11,16,50,"0,268325868164504"
33,"6,6",SA-FTpEDF,"13,28","0,858094709581783",12,17,50,"0,243867818180664"
34,"6,8",SA-FTpEDF,"13,68","0,935468888213994",12,16,50,"0,265857316444504"
35,7,SA-FTpEDF,"14,36","1,04510520903839",13,18,50,"0,297015614070919"
36,"7,2",SA-FTpEDF,"14,58","1,07076169722534",12,18,50,"0,304307107336713"
37,"7,4",SA-FTpEDF,"14,76","1,04119240904506",13,17,50,"0,295903608616631"
38,"7,6",SA-FTpEDF,"15,34","1,00224238381659",13,18,50,"0,28483413392522"
39,"7,8",SA-FTpEDF,"15,84","0,888934239205945",14,18,50,"0,252632315524819"
40,8,SA-FTpEDF,"15,86","0,989949493661167",14,18,50,"0,281340533198094"
41,"8,2",SA-FTpEDF,"16,28","1,01096034359738",15,19,50,"0,287311750681258"
42,"8,4",SA-FTpEDF,"16,78","1,11190221270229",14,20,50,"0,315999112468735"
43,"8,6",SA-FTpEDF,"17,2","0,808122035641769",15,20,50,"0,229665741386199"
44,"8,8",SA-FTpEDF,"17,3","0,952976004580452",16,20,50,"0,270832783864649"
45,9,SA-FTpEDF,"17,92","0,944154950963332",16,21,50,"0,268325868164504"
46,"9,2",SA-FTpEDF,"18,16","0,955328771274314",16,20,50,"0,271501432760759"
47,"9,4",SA-FTpEDF,"18,66","1,13587150753624",17,22,50,"0,322811110688994"
48,"9,6",SA-FTpEDF,"18,98","0,914508901330241",17,21,50,"0,259900554080909"
49,"9,8",SA-FTpEDF,"19,62","1,0279760181432",18,22,50,"0,292147551881319"
50,10,SA-FTpEDF,"19,62","0,878077677750246",18,22,50,"0,249546914897613"
5,1,W-GA-FTpEDF,"3,04","0,197948663722157",3,4,50,"0,0562563877794188"
6,"1,2",W-GA-FTpEDF,"3,28","0,453557367611073",3,4,50,"0,128899577661988"
7,"1,4",W-GA-FTpEDF,"3,72","0,453557367611073",3,4,50,"0,128899577661988"
8,"1,6",W-GA-FTpEDF,"4,1","0,303045763365663",4,5,50,"0,0861246530198246"
9,"1,8",W-GA-FTpEDF,"4,56","0,577114567906404",4,6,50,"0,164014145459777"
10,2,W-GA-FTpEDF,5,"0,494871659305394",4,6,50,"0,140640969448547"
11,"2,2",W-GA-FTpEDF,"5,44","0,674914960629584",4,7,50,"0,191808709537952"
12,"2,4",W-GA-FTpEDF,"5,94","0,585888475840282",5,7,50,"0,166507662504994"
13,"2,6",W-GA-FTpEDF,"6,24","0,517450579322138",5,7,50,"0,147057827517795"
14,"2,8",W-GA-FTpEDF,"6,78","0,615778916064352",6,8,50,"0,175002431626058"
15,3,W-GA-FTpEDF,"7,22","0,678834535458098",6,8,50,"0,192922640379096"
16,"3,2",W-GA-FTpEDF,"7,44","0,61145527311522",6,9,50,"0,173773665895628"
17,"3,4",W-GA-FTpEDF,"7,92","0,778276484107214",6,10,50,"0,221183729489542"
18,"3,6",W-GA-FTpEDF,"8,48","0,8628382211738",7,10,50,"0,245215909259123"
19,"3,8",W-GA-FTpEDF,"8,7","0,735402152927643",7,10,50,"0,208998979386826"
20,4,W-GA-FTpEDF,"9,02","0,795138288575757",8,11,50,"0,225975801297486"
21,"4,2",W-GA-FTpEDF,"9,48","0,814160391358572",8,11,50,"0,231381823093279"
22,"4,4",W-GA-FTpEDF,"9,98","0,958101864977555",8,12,50,"0,272289537271216"
23,"4,6",W-GA-FTpEDF,"10,26","0,694291593155592",9,12,50,"0,19731548757194"
24,"4,8",W-GA-FTpEDF,"10,6","0,947607082958686",9,13,50,"0,26930695322234"
25,5,W-GA-FTpEDF,"10,94","0,912721876855045",9,13,50,"0,259392687344365"
26,"5,2",W-GA-FTpEDF,"11,48","1,01498969533323",10,14,50,"0,288456879774274"
27,"5,4",W-GA-FTpEDF,12,"0,880630571852711",10,14,50,"0,250272439373947"
28,"5,6",W-GA-FTpEDF,"12,44","0,972268544409917",11,14,50,"0,276315663018709"
29,"5,8",W-GA-FTpEDF,"12,78","0,974993458900089",11,15,50,"0,27709007514831"
30,6,W-GA-FTpEDF,"13,48","0,8628382211738",12,15,50,"0,245215909259123"
31,"6,2",W-GA-FTpEDF,"13,48","1,03490115864428",12,16,50,"0,294115655035591"
32,"6,4",W-GA-FTpEDF,"13,86","1,0692358514951",12,16,50,"0,303873466778206"
33,"6,6",W-GA-FTpEDF,"14,2","0,989743318610787",12,17,50,"0,281281938897094"
34,"6,8",W-GA-FTpEDF,"14,7","0,994884876941723",13,17,50,"0,282743153607094"
35,7,W-GA-FTpEDF,"15,38","1,21032969028429",13,18,50,"0,343971892091917"
36,"7,2",W-GA-FTpEDF,"15,42","1,10822527732683",13,19,50,"0,314954138997167"
37,"7,4",W-GA-FTpEDF,"15,92","1,17525507435446",14,19,50,"0,334003796536939"
38,"7,6",W-GA-FTpEDF,"16,48","0,973946317089104",15,19,50,"0,27679248073837"
39,"7,8",W-GA-FTpEDF,"16,94","1,1141025490483",15,20,50,"0,316624441139304"
40,8,W-GA-FTpEDF,"16,88","1,17177695168056",15,20,50,"0,333015325009988"
41,"8,2",W-GA-FTpEDF,"17,4","1,34011878852098",15,21,50,"0,38085754568841"
42,"8,4",W-GA-FTpEDF,"18,14","1,32495668007736",15,23,50,"0,376548522146049"
43,"8,6",W-GA-FTpEDF,"18,3","0,952976004580452",16,20,50,"0,270832783864649"
44,"8,8",W-GA-FTpEDF,"18,54","1,07304639761222",17,21,50,"0,304956412002415"
45,9,W-GA-FTpEDF,"19,06","0,998161575403624",17,22,50,"0,283674381006374"
46,"9,2",W-GA-FTpEDF,"19,16","1,11318627078732",17,22,50,"0,316364037738775"
47,"9,4",W-GA-FTpEDF,"19,68","1,30054933448469",18,23,50,"0,369612031277613"
48,"9,6",W-GA-FTpEDF,"20,4","1,16057691494799",18,23,50,"0,329832309789155"
49,"9,8",W-GA-FTpEDF,"20,68","1,30054933448469",18,25,50,"0,369612031277613"
50,10,W-GA-FTpEDF,"20,92","1,24277503833895",19,24,50,"0,353192757984514"
5,1,S-GA-FTpEDF,"3,26","0,443087497693452",3,4,50,"0,125924073553951"
6,"1,2",S-GA-FTpEDF,"3,38","0,530306034093445",3,5,50,"0,150711307339768"
7,"1,4",S-GA-FTpEDF,"3,76","0,624663174545013",3,6,50,"0,177527309949673"
8,"1,6",S-GA-FTpEDF,"4,12","0,385449644663773",3,5,50,"0,109543576965391"
9,"1,8",S-GA-FTpEDF,"4,36","0,52527932316715",4,6,50,"0,149282731901029"
10,2,S-GA-FTpEDF,"4,72","0,572855361593241",4,6,50,"0,162803692418668"
11,"2,2",S-GA-FTpEDF,"5,18","0,660550172668394",4,7,50,"0,187726281969519"
12,"2,4",S-GA-FTpEDF,"5,42","0,64174506986332",5,7,50,"0,182381930885043"
13,"2,6",S-GA-FTpEDF,"5,78","0,581693516328638",5,7,50,"0,165315468202853"
14,"2,8",S-GA-FTpEDF,"6,22","0,506689938599091",5,7,50,"0,143999687261186"
15,3,S-GA-FTpEDF,"6,52","0,677329690921697",5,8,50,"0,192494968293841"
16,"3,2",S-GA-FTpEDF,"6,8","0,67005939426049",6,8,50,"0,190428772844205"
17,"3,4",S-GA-FTpEDF,"7,26","0,750781905341195",6,10,50,"0,21336985666106"
18,"3,6",S-GA-FTpEDF,"7,72","0,757008074256673",6,9,50,"0,215139314288624"
19,"3,8",S-GA-FTpEDF,"7,9","0,762648446573665",7,10,50,"0,216742290364939"
20,4,S-GA-FTpEDF,"8,2","0,728431359084684",7,10,50,"0,207017901696348"
21,"4,2",S-GA-FTpEDF,"8,64","0,827092275778864",7,11,50,"0,23505702398116"
22,"4,4",S-GA-FTpEDF,"8,92","0,778276484107214",8,11,50,"0,221183729489542"
23,"4,6",S-GA-FTpEDF,"9,28","0,607436903584837",8,11,50,"0,172631657910874"
24,"4,8",S-GA-FTpEDF,"9,5","0,762648446573665",8,11,50,"0,216742290364939"
25,5,S-GA-FTpEDF,10,"0,808122035641769",9,13,50,"0,229665741386199"
26,"5,2",S-GA-FTpEDF,"10,24","0,938083151964686",9,13,50,"0,266600281981887"
27,"5,4",S-GA-FTpEDF,"10,94","0,977502022546057",9,14,50,"0,277803001048306"
28,"5,6",S-GA-FTpEDF,"11,06","0,934814179941879",10,13,50,"0,265671250412301"
29,"5,8",S-GA-FTpEDF,"11,46","1,01438631291867",10,14,50,"0,288285400389394"
30,6,S-GA-FTpEDF,12,"0,989743318610787",11,15,50,"0,281281938897094"
31,"6,2",S-GA-FTpEDF,"12,2","0,880630571852711",11,15,50,"0,250272439373947"
32,"6,4",S-GA-FTpEDF,"12,5","0,931314629314664",11,16,50,"0,264676689128399"
33,"6,6",S-GA-FTpEDF,"12,78","0,974993458900089",11,17,50,"0,27709007514831"
34,"6,8",S-GA-FTpEDF,"13,2","0,832993127835043",12,15,50,"0,236734027580272"
35,7,S-GA-FTpEDF,"13,84","1,0946996606096",13,18,50,"0,311110201257491"
36,"7,2",S-GA-FTpEDF,"14,06","1,0956313993608",12,18,50,"0,311374998480726"
37,"7,4",S-GA-FTpEDF,"14,14","1,01035455486211",12,17,50,"0,2871395874276"
38,"7,6",S-GA-FTpEDF,"14,94","0,934814179941879",13,17,50,"0,265671250412301"
39,"7,8",S-GA-FTpEDF,"15,26","0,985817799947778",14,18,50,"0,280166318836877"
40,8,S-GA-FTpEDF,"15,32","0,913392420751187",14,18,50,"0,25958325381112"
41,"8,2",S-GA-FTpEDF,"15,66","1,11776015097249",14,19,50,"0,317663920104814"
42,"8,4",S-GA-FTpEDF,"16,12","1,13641038864865",14,20,50,"0,322964259006626"
43,"8,6",S-GA-FTpEDF,"16,54","0,952119011597236",15,19,50,"0,270589229153637"
44,"8,8",S-GA-FTpEDF,"16,74","0,852607046364387",15,18,50,"0,242308241550261"
45,9,S-GA-FTpEDF,"17,18","0,940907074290006",16,21,50,"0,267402831826907"
46,"9,2",S-GA-FTpEDF,"17,4","0,903507902905251",16,20,50,"0,256774104921214"
47,"9,4",S-GA-FTpEDF,"17,9","1,14731274315779",16,21,50,"0,326062673875623"
48,"9,6",S-GA-FTpEDF,"18,32","0,84370417487048",17,21,50,"0,23977807346681"
49,"9,8",S-GA-FTpEDF,"18,92","1,02698290032065",17,22,50,"0,291865310919014"
50,10,S-GA-FTpEDF,"18,8","0,782460796435952",17,21,50,"0,222372897895782"
