n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
5,1,FTpEDF,"3,3","0,462910049886276",3,4,50,"0,131557580555051"
6,"1,2",FTpEDF,"3,56","0,540596797954986",3,5,50,"0,153635910069867"
7,"1,4",FTpEDF,"3,88","0,558423436734059",3,6,50,"0,158702184754938"
8,"1,6",FTpEDF,"4,22","0,41845195759648",4,5,50,"0,118922730524952"
9,"1,8",FTpEDF,"4,72","0,607436903584837",4,6,50,"0,172631657910874"
10,2,FTpEDF,"5,14","0,639195923462774",4,7,50,"0,18165747149381"
11,"2,2",FTpEDF,"5,52","0,706818107248742",4,7,50,"0,200875483487536"
12,"2,4",FTpEDF,"6,02","0,622372026022628",5,7,50,"0,176876172744137"
13,"2,6",FTpEDF,"6,24","0,517450579322138",5,7,50,"0,147057827517795"
14,"2,8",FTpEDF,"6,84","0,618094504365255",6,8,50,"0,175660514539797"
15,3,FTpEDF,"7,22","0,678834535458098",6,8,50,"0,192922640379096"
16,"3,2",FTpEDF,"7,46","0,613121820967855",6,9,50,"0,17424729355488"
17,"3,4",FTpEDF,"7,92","0,778276484107214",6,10,50,"0,221183729489542"
18,"3,6",FTpEDF,"8,48","0,8628382211738",7,10,50,"0,245215909259123"
19,"3,8",FTpEDF,"8,7","0,735402152927643",7,10,50,"0,208998979386826"
20,4,FTpEDF,"9,02","0,795138288575757",8,11,50,"0,225975801297486"
21,"4,2",FTpEDF,"9,48","0,814160391358572",8,11,50,"0,231381823093279"
22,"4,4",FTpEDF,"9,98","0,958101864977555",8,12,50,"0,272289537271216"
23,"4,6",FTpEDF,"10,26","0,694291593155592",9,12,50,"0,19731548757194"
24,"4,8",FTpEDF,"10,6","0,947607082958686",9,13,50,"0,26930695322234"
25,5,FTpEDF,"10,94","0,912721876855045",9,13,50,"0,259392687344365"
26,"5,2",FTpEDF,"11,48","1,01498969533323",10,14,50,"0,288456879774274"
27,"5,4",FTpEDF,12,"0,880630571852711",10,14,50,"0,250272439373947"
28,"5,6",FTpEDF,"12,44","0,972268544409917",11,14,50,"0,276315663018709"
29,"5,8",FTpEDF,"12,78","0,974993458900089",11,15,50,"0,27709007514831"
30,6,FTpEDF,"13,48","0,8628382211738",12,15,50,"0,245215909259123"
31,"6,2",FTpEDF,"13,48","1,03490115864428",12,16,50,"0,294115655035591"
32,"6,4",FTpEDF,"13,86","1,0692358514951",12,16,50,"0,303873466778206"
33,"6,6",FTpEDF,"14,2","0,989743318610787",12,17,50,"0,281281938897094"
