instance,n,u,procs,elapsed,passive
n_005_u_100_1,5,1,6,0.022,3
n_006_u_120_1,6,1.2,4,0.024,5
n_008_u_160_1,8,1.6,6,0.0569999999999999,4
n_007_u_140_1,7,1.4,7,0.079,3
n_009_u_180_1,9,1.8,9,0.083,4
n_011_u_220_1,11,2.2,10,0.085,5
n_012_u_240_1,12,2.4,11,0.087,7
n_010_u_200_1,10,2,9,0.1,6
n_005_u_100_2,5,1,4,0.035,3
n_006_u_120_2,6,1.2,5,0.052,3
n_016_u_320_1,16,3.2,14,0.109,12
n_015_u_300_1,15,3,16,0.115,9
n_014_u_280_1,14,2.8,13,0.119,6
n_009_u_180_2,9,1.8,9,0.0720000000000001,5
n_019_u_380_2,19,3.8,16,0.115,12
n_007_u_140_2,7,1.4,7,0.0800000000000001,3
n_018_u_360_2,18,3.6,16,0.13,11
n_008_u_160_2,8,1.6,8,0.0800000000000001,4
n_020_u_400_1,20,4,16,0.139,13
n_013_u_260_1,13,2.6,11,0.151,8
n_018_u_360_1,18,3.6,13,0.15,8
n_017_u_340_1,17,3.4,15,0.152,10
n_019_u_380_1,19,3.8,17,0.16,9
n_013_u_260_2,13,2.6,10,0.1,6
n_010_u_200_2,10,2,8,0.122,6
n_015_u_300_2,15,3,15,0.116,7
n_011_u_220_2,11,2.2,11,0.122,6
n_012_u_240_2,12,2.4,8,0.116,9
n_021_u_420_2,21,4.2,17,0.142,11
n_017_u_340_2,17,3.4,13,0.118,10
n_016_u_320_2,16,3.2,16,0.124,7
n_024_u_480_1,24,4.8,22,0.209,13
n_019_u_380_3,19,3.8,16,0.12,11
n_024_u_480_2,24,4.8,18,0.152,14
n_014_u_280_2,14,2.8,11,0.166,8
n_023_u_459_2,23,4.6,20,0.151,12
n_025_u_500_2,25,5,19,0.171,14
n_018_u_360_3,18,3.6,14,0.166,12
n_020_u_400_2,20,4,15,0.204,13
n_028_u_560_1,28,5.6,24,0.267,15
n_027_u_540_1,27,5.4,21,0.271,17
n_025_u_500_1,25,5,24,0.275,13
n_030_u_600_1,30,6,25,0.281,18
n_026_u_520_1,26,5.2,21,0.286,12
n_022_u_440_3,22,4.4,21,0.173,11
n_027_u_540_2,27,5.4,20,0.188,17
n_021_u_420_1,21,4.2,18,0.304,10
n_022_u_440_2,22,4.4,16,0.248,13
n_029_u_580_1,29,5.8,22,0.318,13
n_020_u_400_3,20,4,14,0.202,10
n_021_u_420_3,21,4.2,19,0.203,11
n_028_u_560_2,28,5.6,22,0.239,16
n_029_u_580_2,29,5.8,26,0.248,13
n_023_u_459_1,23,4.6,17,0.35,12
n_022_u_440_1,22,4.4,19,0.352,11
n_036_u_720_1,36,7.2,26,0.347,23
n_031_u_620_1,31,6.2,27,0.361,19
n_034_u_680_1,34,6.8,24,0.357,17
n_026_u_520_3,26,5.2,22,0.24,12
n_032_u_640_1,32,6.4,31,0.398,19
n_030_u_600_2,30,6,23,0.268,18
n_031_u_620_3,31,6.2,23,0.285,15
n_032_u_640_2,32,6.4,26,0.263,17
n_029_u_580_3,29,5.8,22,0.246,16
n_033_u_660_2,33,6.6,30,0.302,18
n_030_u_600_3,30,6,22,0.264,15
n_032_u_640_3,32,6.4,26,0.318,18
n_040_u_800_1,40,8,32,0.428,23
n_023_u_459_3,23,4.6,21,0.289,11
n_031_u_620_2,31,6.2,27,0.329,18
n_007_u_140_3,7,1.4,9,0.022,3
n_028_u_560_3,28,5.6,21,0.298,14
n_025_u_500_3,25,5,22,0.296,15
n_026_u_520_2,26,5.2,22,0.337,14
n_024_u_480_3,24,4.8,21,0.313,14
n_041_u_819_1,41,8.2,39,0.474,24
n_032_u_640_4,32,6.4,27,0.294,20
n_039_u_780_1,39,7.8,30,0.496,20
n_034_u_680_3,34,6.8,28,0.346,17
n_008_u_160_3,8,1.6,7,0.03,5
n_006_u_120_3,6,1.2,5,0.018,4
n_037_u_740_2,37,7.4,32,0.337,23
n_037_u_740_3,37,7.4,28,0.345,21
n_042_u_840_1,42,8.4,37,0.548,18
n_020_u_400_4,20,4,17,0.102,11
n_044_u_880_1,44,8.8,35,0.549,22
n_038_u_760_1,38,7.6,27,0.557,24
n_009_u_180_3,9,1.8,8,0.0219999999999998,5
n_005_u_100_3,5,1,5,0.02,3
n_033_u_660_1,33,6.6,25,0.592,21
n_011_u_220_3,11,2.2,9,0.0450000000000002,7
n_027_u_540_3,27,5.4,23,0.394,12
n_046_u_920_1,46,9.2,38,0.594,26
n_035_u_700_4,35,7,24,0.341,18
n_038_u_760_3,38,7.6,30,0.396,24
n_033_u_660_3,33,6.6,29,0.383,17
n_005_u_100_5,5,1,4,0.012,4
n_036_u_720_3,36,7.2,28,0.42,19
n_045_u_900_1,45,9,36,0.64,27
n_031_u_620_4,31,6.2,24,0.423,19
n_019_u_380_4,19,3.8,14,0.131,10
n_013_u_260_3,13,2.6,10,0.05,7
n_035_u_700_1,35,7,27,0.665,18
n_034_u_680_2,34,6.8,26,0.382,22
n_048_u_960_1,48,9.6,38,0.662,27
n_021_u_420_4,21,4.2,17,0.174,9
n_033_u_660_4,33,6.6,28,0.383,18
n_012_u_240_3,12,2.4,11,0.056,7
n_040_u_800_2,40,8,35,0.454,23
n_038_u_760_2,38,7.6,32,0.455,21
n_043_u_860_1,43,8.6,33,0.708,29
n_022_u_440_4,22,4.4,20,0.147,13
