instance,n,u,procs,elapsed,passive
n_018_u_360_6,18,3.6,15,0.093,11
n_005_u_100_4,5,1,5,0.014,2
n_015_u_300_3,15,3,11,0.0529999999999999,11
n_007_u_140_4,7,1.4,7,0.022,4
n_010_u_200_3,10,2,9,0.032,6
n_041_u_819_2,41,8.2,33,0.512,23
n_039_u_780_2,39,7.8,34,0.496,22
n_024_u_480_4,24,4.8,18,0.168,13
n_042_u_840_3,42,8.4,33,0.448,24
n_018_u_360_4,18,3.6,17,0.193,7
n_037_u_740_1,37,7.4,36,0.78,19
n_040_u_800_3,40,8,31,0.507,21
n_006_u_120_4,6,1.2,6,0.0209999999999999,2
n_008_u_160_4,8,1.6,7,0.0250000000000001,5
n_043_u_860_2,43,8.6,39,0.525,23
n_009_u_180_5,9,1.8,7,0.0230000000000001,5
n_007_u_140_5,7,1.4,6,0.02,5
n_047_u_940_1,47,9.4,36,0.791,24
n_036_u_720_4,36,7.2,28,0.382,20
n_010_u_200_4,10,2,11,0.038,6
n_018_u_360_5,18,3.6,15,0.107,10
n_033_u_660_5,33,6.6,27,0.282,21
n_036_u_720_2,36,7.2,30,0.518,19
n_039_u_780_4,39,7.8,33,0.478,18
n_035_u_700_3,35,7,28,0.562,18
n_038_u_760_4,38,7.6,31,0.403,24
n_034_u_680_4,34,6.8,26,0.548,17
n_020_u_400_5,20,4,15,0.131,8
n_025_u_500_4,25,5,20,0.161,15
n_005_u_100_6,5,1,5,0.00900000000000012,3
n_006_u_120_6,6,1.2,5,0.012,5
n_026_u_520_4,26,5.2,21,0.215,13
n_014_u_280_3,14,2.8,13,0.0720000000000001,7
n_042_u_840_2,42,8.4,39,0.574,20
n_023_u_459_4,23,4.6,19,0.146,15
n_035_u_700_2,35,7,30,0.568,18
n_044_u_880_2,44,8.8,34,0.553,27
n_019_u_380_5,19,3.8,18,0.123,8
n_009_u_180_4,9,1.8,8,0.0329999999999999,5
n_041_u_819_3,41,8.2,31,0.591,25
n_045_u_900_3,45,9,35,0.519,27
n_020_u_400_6,20,4,18,0.12,13
n_032_u_640_5,32,6.4,26,0.274,20
n_045_u_900_2,45,9,36,0.548,25
n_041_u_819_4,41,8.2,32,0.488,25
n_021_u_420_5,21,4.2,16,0.154,8
n_011_u_220_4,11,2.2,9,0.0439999999999998,6
n_043_u_860_3,43,8.6,35,0.556,24
n_022_u_440_6,22,4.4,19,0.152,9
n_044_u_880_3,44,8.8,36,0.498,27
n_044_u_880_4,44,8.8,32,0.557,28
n_028_u_560_4,28,5.6,25,0.222,16
n_019_u_380_7,19,3.8,15,0.0839999999999999,13
n_039_u_780_3,39,7.8,32,0.5,20
n_018_u_360_7,18,3.6,15,0.087,12
n_008_u_160_5,8,1.6,7,0.0409999999999999,4
n_012_u_240_5,12,2.4,11,0.0469999999999999,7
n_008_u_160_6,8,1.6,8,0.0269999999999999,3
n_006_u_120_5,6,1.2,6,0.0149999999999999,2
n_049_u_980_2,49,9.8,39,0.634,26
n_010_u_200_5,10,2,7,0.0290000000000001,7
n_034_u_680_5,34,6.8,27,0.305,20
n_047_u_940_2,47,9.4,39,0.638,26
n_023_u_459_5,23,4.6,19,0.155,12
n_011_u_220_5,11,2.2,10,0.042,6
n_042_u_840_4,42,8.4,35,0.583,19
n_012_u_240_4,12,2.4,13,0.0609999999999999,7
n_031_u_620_7,31,6.2,26,0.276,17
n_045_u_900_4,45,9,35,0.576,26
n_011_u_220_6,11,2.2,13,0.052,5
n_009_u_180_6,9,1.8,9,0.0349999999999999,3
n_016_u_320_4,16,3.2,13,0.0650000000000002,8
n_012_u_240_6,12,2.4,11,0.04,7
n_049_u_980_1,49,9.8,42,1.041,29
n_035_u_700_5,35,7,27,0.338,18
n_022_u_440_5,22,4.4,17,0.152,13
n_014_u_280_4,14,2.8,13,0.0840000000000001,6
n_050_u_1000_4,50,10,37,0.527,32
n_037_u_740_5,37,7.4,28,0.315,20
n_046_u_920_3,46,9.2,38,0.675,24
n_021_u_420_6,21,4.2,15,0.139,9
n_025_u_500_6,25,5,18,0.138,19
n_019_u_380_6,19,3.8,18,0.132,8
n_045_u_900_5,45,9,42,0.629,29
n_021_u_420_7,21,4.2,17,0.151,9
n_024_u_480_5,24,4.8,18,0.177,12
n_027_u_540_4,27,5.4,27,0.248,13
n_031_u_620_6,31,6.2,30,0.306,17
n_047_u_940_4,47,9.4,37,0.644,29
n_023_u_459_6,23,4.6,19,0.169,11
n_016_u_320_3,16,3.2,14,0.0899999999999999,8
n_022_u_440_7,22,4.4,16,0.125,14
n_017_u_340_6,17,3.4,15,0.0800000000000001,10
n_037_u_740_4,37,7.4,29,0.688,20
n_013_u_260_5,13,2.6,12,0.0690000000000002,5
n_012_u_240_7,12,2.4,11,0.0480000000000003,7
n_024_u_480_6,24,4.8,20,0.177,16
n_050_u_1000_1,50,10,40,1.152,27
n_025_u_500_5,25,5,19,0.174,15
n_031_u_620_5,31,6.2,26,0.398,15
n_043_u_860_4,43,8.6,35,0.757,24
n_024_u_480_7,24,4.8,21,0.177,15
n_049_u_980_4,49,9.8,39,0.543,26
n_032_u_640_6,32,6.4,26,0.286,20
n_033_u_660_7,33,6.6,26,0.286,23
n_010_u_200_6,10,2,10,0.0339999999999998,5
n_033_u_660_6,33,6.6,27,0.354,19
n_036_u_720_5,36,7.2,27,0.324,23
n_025_u_500_7,25,5,21,0.18,12
n_014_u_280_6,14,2.8,12,0.0780000000000003,7
n_035_u_700_7,35,7,26,0.279,22
n_031_u_620_8,31,6.2,29,0.278,17
n_046_u_920_2,46,9.2,36,0.65,24
n_032_u_640_8,32,6.4,27,0.285,17
n_016_u_320_6,16,3.2,13,0.0629999999999997,7
n_029_u_580_5,29,5.8,28,0.205,15
n_038_u_760_5,38,7.6,31,0.392,24
n_050_u_1000_3,50,10,40,0.748,25
n_005_u_100_7,5,1,7,0.0130000000000003,2
n_046_u_920_5,46,9.2,38,0.585,27
n_040_u_800_4,40,8,31,0.68,22
n_027_u_540_5,27,5.4,24,0.21,17
n_034_u_680_6,34,6.8,28,0.34,20
n_013_u_260_4,13,2.6,12,0.0569999999999999,6
n_039_u_780_5,39,7.8,32,0.421,24
n_046_u_920_4,46,9.2,36,0.671,26
n_007_u_140_6,7,1.4,6,0.0180000000000002,3
n_017_u_340_3,17,3.4,13,0.133,7
n_006_u_120_7,6,1.2,7,0.0139999999999998,4
n_047_u_940_3,47,9.4,37,0.648,28
n_025_u_500_8,25,5,20,0.152,16
n_013_u_260_6,13,2.6,12,0.0509999999999997,7
n_013_u_260_7,13,2.6,12,0.0709999999999997,6
n_026_u_520_6,26,5.2,21,0.193,14
n_023_u_459_7,23,4.6,19,0.141,12
n_017_u_340_5,17,3.4,14,0.089,9
n_018_u_360_8,18,3.6,13,0.101,10
n_014_u_280_5,14,2.8,13,0.0680000000000001,9
n_030_u_600_7,30,6,23,0.228,17
n_048_u_960_5,48,9.6,43,0.772,27
n_032_u_640_7,32,6.4,24,0.283,22
n_036_u_720_6,36,7.2,31,0.402,22
n_041_u_819_5,41,8.2,31,0.444,23
n_046_u_920_6,46,9.2,33,0.563,24
n_029_u_580_4,29,5.8,21,0.252,13
n_008_u_160_7,8,1.6,6,0.0150000000000001,6
n_044_u_880_5,44,8.8,33,0.761,25
n_029_u_580_7,29,5.8,23,0.172,17
n_020_u_400_7,20,4,17,0.117,11
n_019_u_380_8,19,3.8,16,0.112,9
n_027_u_540_7,27,5.4,20,0.202,15
n_035_u_700_6,35,7,28,0.367,19
n_034_u_680_8,34,6.8,24,0.32,22
n_013_u_260_8,13,2.6,12,0.0569999999999999,6
n_015_u_300_7,15,3,14,0.0720000000000001,8
n_011_u_220_7,11,2.2,10,0.0540000000000003,7
n_026_u_520_5,26,5.2,24,0.2,13
n_034_u_680_7,34,6.8,26,0.402,19
n_035_u_700_8,35,7,30,0.349,21
n_037_u_740_6,37,7.4,27,0.382,23
n_045_u_900_6,45,9,35,0.587,27
n_021_u_420_8,21,4.2,20,0.121,12
n_048_u_960_4,48,9.6,36,0.679,28
n_026_u_520_8,26,5.2,21,0.182,15
n_026_u_520_7,26,5.2,21,0.191,16
n_036_u_720_7,36,7.2,27,0.404,19
n_012_u_240_8,12,2.4,11,0.0459999999999998,8
n_038_u_760_7,38,7.6,30,0.463,19
n_048_u_960_2,48,9.6,36,0.913,26
n_048_u_960_3,48,9.6,36,0.673,26
n_044_u_880_8,44,8.8,35,0.573,23
n_047_u_940_6,47,9.4,40,0.592,27
n_038_u_760_6,38,7.6,30,0.405,20
n_005_u_100_9,5,1,4,0.0100000000000002,3
n_049_u_980_3,49,9.8,38,0.735,28
n_040_u_800_5,40,8,30,0.456,24
n_030_u_600_4,30,6,23,0.282,14
n_027_u_540_6,27,5.4,22,0.211,16
n_005_u_100_8,5,1,4,0.012,2
n_007_u_140_7,7,1.4,8,0.02,3
n_015_u_300_6,15,3,13,0.073,8
n_011_u_220_10,11,2.2,11,0.0389999999999997,6
n_042_u_840_6,42,8.4,32,0.365,20
n_049_u_980_5,49,9.8,41,0.792,24
n_026_u_520_9,26,5.2,18,0.169,15
n_047_u_940_5,47,9.4,36,0.771,24
n_009_u_180_8,9,1.8,8,0.0209999999999999,5
n_015_u_300_4,15,3,14,0.0669999999999997,8
n_014_u_280_8,14,2.8,10,0.0630000000000002,8
n_037_u_740_8,37,7.4,28,0.463,19
n_015_u_300_5,15,3,16,0.0779999999999998,9
n_038_u_760_8,38,7.6,28,0.427,20
n_030_u_600_6,30,6,24,0.3,13
n_016_u_320_5,16,3.2,15,0.0820000000000003,7
n_005_u_100_10,5,1,7,0.00999999999999979,2
n_032_u_640_9,32,6.4,26,0.246,20
n_037_u_740_7,37,7.4,28,0.505,17
n_044_u_880_7,44,8.8,36,0.543,26
n_014_u_280_7,14,2.8,12,0.0510000000000002,9
n_018_u_360_9,18,3.6,16,0.0950000000000002,11
n_018_u_360_10,18,3.6,15,0.108,10
n_016_u_320_7,16,3.2,13,0.0720000000000001,10
n_031_u_620_9,31,6.2,25,0.325,14
n_028_u_560_8,28,5.6,21,0.244,16
n_024_u_480_8,24,4.8,22,0.233,15
n_044_u_880_9,44,8.8,34,0.476,27
n_011_u_220_9,11,2.2,11,0.0420000000000003,7
n_042_u_840_8,42,8.4,31,0.315,25
n_020_u_400_8,20,4,15,0.132,10
n_033_u_660_8,33,6.6,28,0.32,18
n_048_u_960_6,48,9.6,39,0.681,24
n_011_u_220_11,11,2.2,9,0.0329999999999999,7
n_022_u_440_9,22,4.4,19,0.11,10
n_024_u_480_11,24,4.8,19,0.139,15
n_038_u_760_9,38,7.6,30,0.431,19
n_009_u_180_10,9,1.8,9,0.0209999999999999,4
n_018_u_360_11,18,3.6,15,0.0919999999999996,10
n_044_u_880_6,44,8.8,36,0.589,25
n_005_u_100_11,5,1,5,0.0100000000000002,4
n_025_u_500_9,25,5,22,0.208,15
n_036_u_720_8,36,7.2,31,0.413,18
n_045_u_900_7,45,9,33,0.583,25
n_040_u_800_6,40,8,34,0.508,19
n_039_u_780_7,39,7.8,31,0.435,22
n_050_u_1000_2,50,10,40,1.024,29
n_050_u_1000_6,50,10,37,0.719,25
n_011_u_220_8,11,2.2,12,0.0410000000000004,6
n_046_u_920_8,46,9.2,34,0.597,29
n_045_u_900_9,45,9,33,0.569,24
n_006_u_120_9,6,1.2,6,0.0149999999999997,4
n_007_u_140_8,7,1.4,6,0.02,4
n_015_u_300_8,15,3,12,0.0760000000000001,9
n_012_u_240_9,12,2.4,11,0.0569999999999999,5
n_034_u_680_9,34,6.8,26,0.307,21
n_048_u_960_8,48,9.6,38,0.615,26
n_028_u_560_7,28,5.6,23,0.236,17
n_043_u_860_8,43,8.6,31,0.467,24
n_046_u_920_7,46,9.2,36,0.632,23
n_018_u_360_12,18,3.6,14,0.093,11
n_027_u_540_8,27,5.4,23,0.174,15
n_013_u_260_10,13,2.6,11,0.056,8
n_012_u_240_11,12,2.4,11,0.0559999999999996,7
n_028_u_560_6,28,5.6,21,0.214,17
n_027_u_540_9,27,5.4,25,0.231,16
n_022_u_440_11,22,4.4,19,0.113,12
n_028_u_560_5,28,5.6,22,0.239,16
n_010_u_200_10,10,2,11,0.0340000000000003,4
n_047_u_940_7,47,9.4,36,0.602,27
n_042_u_840_5,42,8.4,34,0.496,25
n_049_u_980_6,49,9.8,39,0.679,25
n_017_u_340_4,17,3.4,15,0.103,9
n_017_u_340_8,17,3.4,15,0.0989999999999998,10
n_013_u_260_9,13,2.6,12,0.0510000000000002,8
n_024_u_480_10,24,4.8,18,0.176,13
n_029_u_580_6,29,5.8,25,0.245,16
n_050_u_1000_5,50,10,41,0.751,33
n_015_u_300_10,15,3,13,0.0699999999999998,8
n_024_u_480_12,24,4.8,21,0.181,13
n_009_u_180_7,9,1.8,11,0.0299999999999998,4
n_039_u_780_6,39,7.8,30,0.45,21
n_019_u_380_10,19,3.8,17,0.135,9
n_045_u_900_8,45,9,36,0.56,27
n_031_u_620_11,31,6.2,26,0.266,17
n_014_u_280_9,14,2.8,13,0.0680000000000001,7
n_020_u_400_9,20,4,16,0.144,10
n_006_u_120_8,6,1.2,7,0.0169999999999999,3
n_040_u_800_8,40,8,32,0.534,19
n_029_u_580_8,29,5.8,25,0.271,17
n_039_u_780_10,39,7.8,25,0.343,24
n_035_u_700_10,35,7,24,0.225,20
n_024_u_480_9,24,4.8,17,0.17,15
n_007_u_140_10,7,1.4,6,0.0180000000000002,5
n_016_u_320_8,16,3.2,13,0.0819999999999999,8
n_006_u_120_12,6,1.2,5,0.0140000000000002,2
n_039_u_780_9,39,7.8,31,0.457,23
n_017_u_340_7,17,3.4,15,0.089,9
n_012_u_240_10,12,2.4,11,0.052,7
n_031_u_620_10,31,6.2,27,0.315,15
n_006_u_120_11,6,1.2,5,0.012,4
n_025_u_500_10,25,5,20,0.172,14
n_039_u_780_8,39,7.8,32,0.474,20
n_028_u_560_9,28,5.6,25,0.198,16
n_026_u_520_11,26,5.2,21,0.165,16
n_006_u_120_10,6,1.2,6,0.0140000000000002,3
n_025_u_500_12,25,5,21,0.183,15
n_031_u_620_12,31,6.2,26,0.291,18
n_048_u_960_7,48,9.6,37,0.628,31
n_023_u_459_11,23,4.6,19,0.176,11
n_019_u_380_9,19,3.8,18,0.104,13
n_033_u_660_9,33,6.6,26,0.334,19
n_049_u_980_7,49,9.8,39,0.705,27
n_037_u_740_9,37,7.4,28,0.392,18
n_020_u_400_11,20,4,17,0.115,10
n_019_u_380_13,19,3.8,16,0.114,10
n_022_u_440_8,22,4.4,19,0.175,10
n_040_u_800_7,40,8,32,0.523,20
n_047_u_940_8,47,9.4,38,0.62,27
n_026_u_520_10,26,5.2,21,0.21,15
n_035_u_700_12,35,7,26,0.245,18
n_030_u_600_5,30,6,23,0.215,17
n_019_u_380_12,19,3.8,18,0.113,12
n_015_u_300_9,15,3,10,0.0720000000000001,11
n_007_u_140_9,7,1.4,6,0.0190000000000001,3
n_019_u_380_11,19,3.8,15,0.113,11
n_028_u_560_11,28,5.6,22,0.235,16
n_043_u_860_5,43,8.6,35,0.564,22
n_037_u_740_12,37,7.4,29,0.398,20
n_025_u_500_11,25,5,17,0.155,14
n_047_u_940_9,47,9.4,39,0.717,25
n_031_u_620_13,31,6.2,24,0.302,20
n_030_u_600_9,30,6,24,0.265,18
n_010_u_200_7,10,2,8,0.0310000000000001,6
n_014_u_280_10,14,2.8,13,0.069,8
n_043_u_860_7,43,8.6,30,0.53,25
n_016_u_320_9,16,3.2,15,0.1,7
n_050_u_1000_7,50,10,37,0.701,29
n_045_u_900_10,45,9,35,0.541,29
n_027_u_540_10,27,5.4,23,0.252,14
n_040_u_800_9,40,8,33,0.349,20
n_007_u_140_11,7,1.4,5,0.0110000000000001,5
n_014_u_280_11,14,2.8,11,0.0659999999999998,9
n_010_u_200_9,10,2,8,0.0379999999999998,5
n_048_u_960_9,48,9.6,40,0.739,24
n_049_u_980_8,49,9.8,40,0.695,28
n_032_u_640_11,32,6.4,25,0.303,18
n_020_u_400_10,20,4,17,0.111,13
n_012_u_240_12,12,2.4,10,0.0479999999999996,7
n_038_u_760_10,38,7.6,32,0.495,21
n_044_u_880_10,44,8.8,36,0.568,22
n_037_u_740_13,37,7.4,28,0.344,23
n_029_u_580_9,29,5.8,28,0.289,16
n_041_u_819_9,41,8.2,32,0.571,21
n_005_u_100_12,5,1,4,0.012,3
n_041_u_819_7,41,8.2,31,0.42,25
n_050_u_1000_9,50,10,39,0.641,30
n_008_u_160_11,8,1.6,10,0.0260000000000002,4
n_008_u_160_9,8,1.6,7,0.0220000000000002,4
n_020_u_400_12,20,4,17,0.085,10
n_017_u_340_9,17,3.4,14,0.101,9
n_011_u_220_12,11,2.2,9,0.04,6
n_030_u_600_8,30,6,25,0.311,17
n_032_u_640_10,32,6.4,24,0.251,19
n_033_u_660_10,33,6.6,27,0.36,18
n_040_u_800_10,40,8,32,0.45,20
n_015_u_300_11,15,3,14,0.0800000000000001,8
n_037_u_740_11,37,7.4,31,0.424,20
n_041_u_819_6,41,8.2,34,0.46,24
n_016_u_320_10,16,3.2,14,0.0949999999999998,9
n_007_u_140_12,7,1.4,7,0.02,5
n_023_u_459_8,23,4.6,21,0.163,11
n_041_u_819_8,41,8.2,32,0.514,22
n_008_u_160_8,8,1.6,8,0.0249999999999999,4
n_017_u_340_11,17,3.4,13,0.0789999999999997,10
n_027_u_540_11,27,5.4,21,0.186,18
n_028_u_560_10,28,5.6,21,0.239,16
n_018_u_360_13,18,3.6,14,0.0990000000000002,11
n_046_u_920_9,46,9.2,39,0.647,22
n_023_u_459_10,23,4.6,17,0.156,13
n_038_u_760_11,38,7.6,27,0.379,22
n_008_u_160_10,8,1.6,7,0.028,5
n_037_u_740_10,37,7.4,29,0.421,20
n_005_u_100_13,5,1,4,0.012,3
n_042_u_840_7,42,8.4,32,0.5,24
n_050_u_1000_8,50,10,37,0.739,29
n_036_u_720_12,36,7.2,26,0.359,22
n_047_u_940_10,47,9.4,40,0.584,28
n_033_u_660_12,33,6.6,27,0.328,16
n_025_u_500_13,25,5,23,0.178,13
n_009_u_180_9,9,1.8,8,0.0259999999999998,6
n_021_u_420_10,21,4.2,17,0.132,11
n_035_u_700_9,35,7,25,0.334,21
n_032_u_640_12,32,6.4,23,0.297,18
n_021_u_420_12,21,4.2,21,0.138,13
n_042_u_840_9,42,8.4,32,0.484,24
n_029_u_580_10,29,5.8,23,0.256,15
n_013_u_260_11,13,2.6,13,0.0610000000000004,7
n_038_u_760_13,38,7.6,30,0.407,20
n_020_u_400_13,20,4,17,0.112,13
n_041_u_819_10,41,8.2,32,0.446,20
n_048_u_960_11,48,9.6,37,0.492,26
n_005_u_100_15,5,1,6,0.0100000000000002,3
n_027_u_540_12,27,5.4,22,0.243,15
n_032_u_640_13,32,6.4,31,0.352,18
n_032_u_640_14,32,6.4,30,0.373,17
n_014_u_280_12,14,2.8,12,0.0569999999999999,8
n_009_u_180_11,9,1.8,7,0.0369999999999999,4
n_008_u_160_12,8,1.6,8,0.0259999999999998,4
n_033_u_660_13,33,6.6,24,0.187,21
n_024_u_480_13,24,4.8,19,0.187,12
n_021_u_420_9,21,4.2,17,0.137,14
n_039_u_780_12,39,7.8,33,0.477,22
n_018_u_360_14,18,3.6,14,0.102,8
n_021_u_420_11,21,4.2,21,0.129,12
n_006_u_120_14,6,1.2,7,0.016,4
n_017_u_340_10,17,3.4,14,0.111,9
n_049_u_980_9,49,9.8,38,0.757,29
n_015_u_300_13,15,3,15,0.0649999999999999,7
n_028_u_560_12,28,5.6,22,0.222,18
n_033_u_660_11,33,6.6,25,0.31,18
n_044_u_880_12,44,8.8,35,0.61,25
n_029_u_580_11,29,5.8,23,0.225,16
n_018_u_360_16,18,3.6,16,0.1,10
n_030_u_600_10,30,6,23,0.263,16
n_038_u_760_12,38,7.6,29,0.423,22
n_022_u_440_10,22,4.4,17,0.145,12
n_005_u_100_14,5,1,6,0.0100000000000002,2
n_030_u_600_12,30,6,26,0.235,18
n_011_u_220_14,11,2.2,12,0.0420000000000003,6
n_016_u_320_11,16,3.2,14,0.081,8
n_044_u_880_11,44,8.8,37,0.608,22
n_039_u_780_11,39,7.8,32,0.518,20
n_019_u_380_15,19,3.8,16,0.116,11
n_021_u_420_13,21,4.2,19,0.153,10
n_044_u_880_13,44,8.8,34,0.593,26
n_006_u_120_13,6,1.2,7,0.0139999999999998,3
n_011_u_220_13,11,2.2,9,0.0369999999999999,6
n_031_u_620_14,31,6.2,22,0.274,20
n_046_u_920_10,46,9.2,36,0.584,24
n_022_u_440_12,22,4.4,21,0.175,12
n_026_u_520_12,26,5.2,20,0.211,13
n_043_u_860_10,43,8.6,36,0.497,25
n_043_u_860_6,43,8.6,33,0.549,25
n_048_u_960_13,48,9.6,37,0.551,26
n_028_u_560_14,28,5.6,23,0.143,17
n_041_u_819_12,41,8.2,35,0.53,22
n_011_u_220_15,11,2.2,11,0.04,7
n_040_u_800_11,40,8,32,0.491,24
n_008_u_160_14,8,1.6,8,0.0220000000000002,5
n_018_u_360_15,18,3.6,14,0.112,7
n_010_u_200_12,10,2,7,0.0389999999999997,6
n_010_u_200_8,10,2,10,0.0379999999999998,4
n_036_u_720_9,36,7.2,34,0.362,21
n_013_u_260_12,13,2.6,13,0.0600000000000001,6
n_007_u_140_13,7,1.4,9,0.0220000000000002,2
n_015_u_300_15,15,3,17,0.0609999999999999,6
n_027_u_540_13,27,5.4,23,0.254,15
n_034_u_680_11,34,6.8,25,0.321,19
n_019_u_380_14,19,3.8,14,0.122,11
n_024_u_480_15,24,4.8,24,0.17,13
n_033_u_660_14,33,6.6,25,0.326,19
n_034_u_680_12,34,6.8,25,0.265,20
n_044_u_880_14,44,8.8,36,0.627,19
n_031_u_620_15,31,6.2,25,0.311,20
n_034_u_680_10,34,6.8,26,0.321,18
n_030_u_600_11,30,6,28,0.304,12
n_021_u_420_15,21,4.2,17,0.124,15
n_043_u_860_9,43,8.6,34,0.52,24
n_024_u_480_14,24,4.8,21,0.182,12
n_011_u_220_16,11,2.2,10,0.044,7
n_042_u_840_10,42,8.4,35,0.562,22
n_034_u_680_13,34,6.8,28,0.398,16
n_036_u_720_11,36,7.2,31,0.455,15
n_040_u_800_12,40,8,35,0.477,22
n_020_u_400_14,20,4,19,0.127,10
n_023_u_459_9,23,4.6,16,0.144,15
n_029_u_580_12,29,5.8,25,0.245,16
n_009_u_180_12,9,1.8,7,0.0289999999999999,5
