n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
5,1,FTpEDF,"5,3","0,97415583549899",4,7,50,"0,276852025211628"
6,"1,2",FTpEDF,"5,98","0,979170827896788",4,8,50,"0,278277270281418"
7,"1,4",FTpEDF,"6,82","1,08213696368032",5,10,50,"0,307539922293644"
8,"1,6",FTpEDF,"7,56","1,05288718701076",6,10,50,"0,299227227740202"
9,"1,8",FTpEDF,"8,2","1,01015254455221",6,11,50,"0,287082176732748"
10,2,FTpEDF,"9,26","1,25860304808667",7,12,50,"0,357691028583573"
11,"2,2",FTpEDF,"9,84","1,33033676877975",7,13,50,"0,378077526437555"
12,"2,4",FTpEDF,"10,76","1,40784971368628",8,14,50,"0,400106461640203"
13,"2,6",FTpEDF,"11,58","1,08965450431571",10,15,50,"0,309676383703282"
14,"2,8",FTpEDF,"12,24","1,23816849600117",10,15,50,"0,351883593137409"
15,3,FTpEDF,"13,28","1,53914898298921",10,17,50,"0,437421301104986"
16,"3,2",FTpEDF,"14,02","1,30133369577334",12,17,50,"0,36983494428942"
17,"3,4",FTpEDF,"14,12","1,1183077594732",12,18,50,"0,317819548718757"
18,"3,6",FTpEDF,"15,2","1,35526185435788",13,18,50,"0,385161157381821"
19,"3,8",FTpEDF,"16,14","1,45700279438893",14,20,50,"0,414075612613825"
20,4,FTpEDF,"16,92","1,39737362978714",13,19,50,"0,39712919153816"
21,"4,2",FTpEDF,"17,72","1,49884309126903",15,21,50,"0,425966493420157"
22,"4,4",FTpEDF,"18,7","1,50169971725919",16,21,50,"0,426778337543888"
23,"4,6",FTpEDF,"18,98","1,37751625050602",16,22,50,"0,391485786788079"
24,"4,8",FTpEDF,"20,08","1,99836668000522",16,24,50,"0,567929526584926"
25,5,FTpEDF,"20,66","2,0365036063743",17,28,50,"0,578767921137288"
26,"5,2",FTpEDF,"21,58","1,48585164200226",18,25,50,"0,42227436439021"
27,"5,4",FTpEDF,"22,04","2,02997939066647",19,28,50,"0,576913759548549"
28,"5,6",FTpEDF,"23,02","1,46371068848726",19,27,50,"0,415981975023568"
