n,u,Algorithm,mean,sd,min_p,max_p,n_obs,CI
29,"5,8",FTpEDF,"23,7","1,82107839771171",21,28,50,"0,51754475424087"
30,6,FTpEDF,"24,8","1,79568644142522",22,30,50,"0,510328440109365"
31,"6,2",FTpEDF,"25,28","1,87398952363504",22,30,50,"0,532581929849019"
32,"6,4",FTpEDF,"26,64","2,03800622858594",23,31,50,"0,579194961644837"
33,"6,6",FTpEDF,"26,48","1,86525699930851",23,32,50,"0,53010017389488"
34,"6,8",FTpEDF,"27,06","1,97339446494757",23,32,50,"0,560832501590778"
35,7,FTpEDF,"28,52","2,32326301145784",24,35,50,"0,660264042345859"
36,"7,2",FTpEDF,"28,78","1,81028805916154",25,34,50,"0,514478173955178"
37,"7,4",FTpEDF,"29,52","1,98195945097424",25,36,50,"0,563266643686923"
38,"7,6",FTpEDF,"30,22","1,66953494685661",27,34,50,"0,47447658203688"
39,"7,8",FTpEDF,"31,32","2,05476052529888",25,35,50,"0,583956480086696"
40,8,FTpEDF,"32,04","1,53808786670797",29,35,50,"0,437119735194542"
41,"8,2",FTpEDF,"32,74","2,34572994600654",28,39,50,"0,666649074497226"
42,"8,4",FTpEDF,"33,82","2,25596714406528",30,40,50,"0,641138768445034"
43,"8,6",FTpEDF,"33,94","2,35960909941473",30,43,50,"0,670593486252779"
44,"8,8",FTpEDF,"35,54","1,92947068981551",32,40,50,"0,548349502816745"
45,9,FTpEDF,"35,7","2,26102739876349",32,42,50,"0,642576876918273"
46,"9,2",FTpEDF,"36,42","1,83046776669188",33,41,50,"0,520213183380124"
47,"9,4",FTpEDF,37,"1,89521416591737",33,41,50,"0,538613906444679"
48,"9,6",FTpEDF,"37,7","1,82107839771171",35,43,50,"0,51754475424087"
49,"9,8",FTpEDF,"38,2","1,86262925862933",34,43,50,"0,529353378256798"
50,10,FTpEDF,"39,58","2,48333219193692",34,45,50,"0,70575520009979"
5,1,SA-FTpEDF,"5,04","0,968061391205567",4,7,50,"0,275120003307444"
6,"1,2",SA-FTpEDF,"5,78","1,01599453638255",4,8,50,"0,288742452440761"
7,"1,4",SA-FTpEDF,"6,56","1,19795744532781",5,10,50,"0,340455738979861"
8,"1,6",SA-FTpEDF,"7,34","1,02240213343331",6,10,50,"0,290563471373872"
9,"1,8",SA-FTpEDF,"7,86","1,0881551510024",5,11,50,"0,309250272206364"
10,2,SA-FTpEDF,"8,78","1,23371018327909",7,12,50,"0,350616554680979"
11,"2,2",SA-FTpEDF,"9,36","1,38151056042704",7,13,50,"0,392620957107508"
12,"2,4",SA-FTpEDF,"10,26","1,42585455937476",8,14,50,"0,405223382168557"
13,"2,6",SA-FTpEDF,"10,84","1,23486758771282",8,14,50,"0,35094548538158"
14,"2,8",SA-FTpEDF,"11,66","1,27150882571752",9,15,50,"0,361358810003988"
15,3,SA-FTpEDF,"12,58","1,52650059994507",10,16,50,"0,433826670416734"
16,"3,2",SA-FTpEDF,"13,02","1,36262052453262",11,17,50,"0,387252468306113"
17,"3,4",SA-FTpEDF,"13,36","1,08345629862049",11,17,50,"0,307914873134985"
18,"3,6",SA-FTpEDF,"14,24","1,18769198233294",12,18,50,"0,337538326676513"
19,"3,8",SA-FTpEDF,"15,18","1,22374467124812",13,18,50,"0,347784387498371"
20,4,SA-FTpEDF,"15,88","1,45181097324714",13,19,50,"0,412600113371033"
21,"4,2",SA-FTpEDF,"16,68","1,42054890224641",14,21,50,"0,40371553109634"
22,"4,4",SA-FTpEDF,"17,44","1,43085531720559",14,21,50,"0,406644581819174"
23,"4,6",SA-FTpEDF,"17,76","1,2215747615104",16,20,50,"0,347167705974201"
24,"4,8",SA-FTpEDF,"18,9","1,75254916376933",16,24,50,"0,498068961444914"
25,5,SA-FTpEDF,"19,64","2,01787926662967",16,28,50,"0,57347494234618"
26,"5,2",SA-FTpEDF,"20,08","1,48241391669404",17,25,50,"0,421297373667555"
27,"5,4",SA-FTpEDF,"21,18","1,90262975904404",18,26,50,"0,540721394692916"
28,"5,6",SA-FTpEDF,"21,82","1,36561266806649",19,26,50,"0,38810282608963"
29,"5,8",SA-FTpEDF,"22,54","1,91886446012389",19,28,50,"0,54533524568972"
30,6,SA-FTpEDF,"23,2","1,79568644142522",20,28,50,"0,510328440109365"
31,"6,2",SA-FTpEDF,"23,76","1,68498773688991",21,27,50,"0,478868216372979"
32,"6,4",SA-FTpEDF,"24,94","2,01433637221",21,31,50,"0,57246806289276"
33,"6,6",SA-FTpEDF,"24,92","1,67624458787116",22,30,50,"0,476383440914719"
34,"6,8",SA-FTpEDF,"25,34","1,96510372577664",21,30,50,"0,558476299588664"
35,7,SA-FTpEDF,"26,82","1,99683422916764",23,31,50,"0,567494008875682"
36,"7,2",SA-FTpEDF,"27,46","1,77522634371749",25,32,50,"0,504513744677693"
37,"7,4",SA-FTpEDF,"27,96","1,71380945765358",25,34,50,"0,48705925878399"
38,"7,6",SA-FTpEDF,"28,78","1,65726600527643",25,32,50,"0,470989787419531"
39,"7,8",SA-FTpEDF,"29,48","1,77557119294735",24,33,50,"0,50461174974444"
40,8,SA-FTpEDF,"30,36","1,49502576593727",28,34,50,"0,424881621564468"
41,"8,2",SA-FTpEDF,"30,9","2,07265973264956",27,37,50,"0,589043378531625"
42,"8,4",SA-FTpEDF,"31,74","1,77062193616151",29,35,50,"0,503205186528862"
43,"8,6",SA-FTpEDF,"32,44","2,45082243588655",29,43,50,"0,696516029657343"
44,"8,8",SA-FTpEDF,"33,12","1,56021976474012",31,39,50,"0,44340955102143"
45,9,SA-FTpEDF,34,"2,12852348939305",30,41,50,"0,604919682534303"
46,"9,2",SA-FTpEDF,"34,68","1,49065113837092",32,39,50,"0,423638366166147"
47,"9,4",SA-FTpEDF,"35,16","2,01382973562355",31,40,50,"0,572324078368011"
48,"9,6",SA-FTpEDF,"35,86","1,67831305002301",33,41,50,"0,476971291353988"
49,"9,8",SA-FTpEDF,"36,46","2,05247486250733",32,41,50,"0,583306901908614"
50,10,SA-FTpEDF,"37,24","1,75615535550049",34,42,50,"0,499093829795226"
5,1,W-GA-FTpEDF,"4,7","0,788954358370519",4,6,50,"0,224218347778553"
6,"1,2",W-GA-FTpEDF,"5,56","0,836903915192961",4,8,50,"0,237845461049904"
7,"1,4",W-GA-FTpEDF,"6,42","0,991597350804473",5,10,50,"0,281808849016527"
8,"1,6",W-GA-FTpEDF,"7,16","0,888934239205945",5,9,50,"0,252632315524819"
9,"1,8",W-GA-FTpEDF,"8,04","0,988918188564387",6,11,50,"0,281047439532532"
10,2,W-GA-FTpEDF,"9,12","1,17177695168056",7,12,50,"0,333015325009988"
11,"2,2",W-GA-FTpEDF,"9,78","1,2823766201543",7,13,50,"0,364447403009094"
12,"2,4",W-GA-FTpEDF,"10,66","1,31878113175363",8,14,50,"0,374793450731482"
13,"2,6",W-GA-FTpEDF,"11,58","1,08965450431571",10,15,50,"0,309676383703282"
14,"2,8",W-GA-FTpEDF,"12,2","1,22890360957752",10,15,50,"0,349250541549283"
15,3,W-GA-FTpEDF,"13,26","1,54932506700992",10,17,50,"0,440313312184932"
16,"3,2",W-GA-FTpEDF,"13,98","1,30133369577334",12,17,50,"0,36983494428942"
17,"3,4",W-GA-FTpEDF,"14,12","1,1183077594732",12,18,50,"0,317819548718757"
18,"3,6",W-GA-FTpEDF,"15,2","1,35526185435788",13,18,50,"0,385161157381821"
19,"3,8",W-GA-FTpEDF,"16,14","1,45700279438893",14,20,50,"0,414075612613825"
20,4,W-GA-FTpEDF,"16,92","1,39737362978714",13,19,50,"0,39712919153816"
21,"4,2",W-GA-FTpEDF,"17,72","1,49884309126903",15,21,50,"0,425966493420157"
22,"4,4",W-GA-FTpEDF,"18,7","1,50169971725919",16,21,50,"0,426778337543888"
23,"4,6",W-GA-FTpEDF,"18,98","1,37751625050602",16,22,50,"0,391485786788079"
24,"4,8",W-GA-FTpEDF,"20,08","1,99836668000522",16,24,50,"0,567929526584926"
25,5,W-GA-FTpEDF,"20,66","2,0365036063743",17,28,50,"0,578767921137288"
26,"5,2",W-GA-FTpEDF,"21,58","1,48585164200226",18,25,50,"0,42227436439021"
27,"5,4",W-GA-FTpEDF,"22,04","2,02997939066647",19,28,50,"0,576913759548549"
28,"5,6",W-GA-FTpEDF,"23,02","1,46371068848726",19,27,50,"0,415981975023568"
29,"5,8",W-GA-FTpEDF,"23,7","1,82107839771171",21,28,50,"0,51754475424087"
30,6,W-GA-FTpEDF,"24,8","1,79568644142522",22,30,50,"0,510328440109365"
31,"6,2",W-GA-FTpEDF,"25,28","1,87398952363504",22,30,50,"0,532581929849019"
32,"6,4",W-GA-FTpEDF,"26,64","2,03800622858594",23,31,50,"0,579194961644837"
33,"6,6",W-GA-FTpEDF,"26,48","1,86525699930851",23,32,50,"0,53010017389488"
34,"6,8",W-GA-FTpEDF,"27,06","1,97339446494757",23,32,50,"0,560832501590778"
35,7,W-GA-FTpEDF,"28,52","2,32326301145784",24,35,50,"0,660264042345859"
36,"7,2",W-GA-FTpEDF,"28,78","1,81028805916154",25,34,50,"0,514478173955178"
37,"7,4",W-GA-FTpEDF,"29,52","1,98195945097424",25,36,50,"0,563266643686923"
38,"7,6",W-GA-FTpEDF,"30,22","1,66953494685661",27,34,50,"0,47447658203688"
39,"7,8",W-GA-FTpEDF,"31,32","2,05476052529888",25,35,50,"0,583956480086696"
40,8,W-GA-FTpEDF,"32,04","1,53808786670797",29,35,50,"0,437119735194542"
41,"8,2",W-GA-FTpEDF,"32,74","2,34572994600654",28,39,50,"0,666649074497226"
42,"8,4",W-GA-FTpEDF,"33,82","2,25596714406528",30,40,50,"0,641138768445034"
43,"8,6",W-GA-FTpEDF,"33,94","2,35960909941473",30,43,50,"0,670593486252779"
44,"8,8",W-GA-FTpEDF,"35,54","1,92947068981551",32,40,50,"0,548349502816745"
45,9,W-GA-FTpEDF,"35,7","2,26102739876349",32,42,50,"0,642576876918273"
46,"9,2",W-GA-FTpEDF,"36,42","1,83046776669188",33,41,50,"0,520213183380124"
47,"9,4",W-GA-FTpEDF,37,"1,89521416591737",33,41,50,"0,538613906444679"
48,"9,6",W-GA-FTpEDF,"37,7","1,82107839771171",35,43,50,"0,51754475424087"
49,"9,8",W-GA-FTpEDF,"38,2","1,86262925862933",34,43,50,"0,529353378256798"
50,10,W-GA-FTpEDF,"39,58","2,48333219193692",34,45,50,"0,70575520009979"
5,1,S-GA-FTpEDF,"5,04","0,968061391205567",4,7,50,"0,275120003307444"
6,"1,2",S-GA-FTpEDF,"5,78","1,01599453638255",4,8,50,"0,288742452440761"
7,"1,4",S-GA-FTpEDF,"6,56","1,19795744532781",5,10,50,"0,340455738979861"
8,"1,6",S-GA-FTpEDF,"7,34","1,02240213343331",6,10,50,"0,290563471373872"
9,"1,8",S-GA-FTpEDF,"7,86","1,0881551510024",5,11,50,"0,309250272206364"
10,2,S-GA-FTpEDF,"8,78","1,23371018327909",7,12,50,"0,350616554680979"
11,"2,2",S-GA-FTpEDF,"9,34","1,40857432627926",7,13,50,"0,400312394260581"
12,"2,4",S-GA-FTpEDF,"10,26","1,42585455937476",8,14,50,"0,405223382168557"
13,"2,6",S-GA-FTpEDF,"10,82","1,25665574978567",8,14,50,"0,357137612529717"
14,"2,8",S-GA-FTpEDF,"11,56","1,34255315708237",9,15,50,"0,381549385578674"
15,3,S-GA-FTpEDF,"12,54","1,52810406740389",10,16,50,"0,434282370826422"
16,"3,2",S-GA-FTpEDF,"12,98","1,37751625050602",11,17,50,"0,391485786788079"
17,"3,4",S-GA-FTpEDF,"13,26","1,17473401244707",11,17,50,"0,33385571238134"
18,"3,6",S-GA-FTpEDF,"14,2","1,19522860933439",12,18,50,"0,339680212371369"
19,"3,8",S-GA-FTpEDF,"15,02","1,26958132259965",13,18,50,"0,36081101967893"
20,4,S-GA-FTpEDF,"15,8","1,47080430585529",13,19,50,"0,417997958773652"
21,"4,2",S-GA-FTpEDF,"16,56","1,48681278071516",14,21,50,"0,422547516990112"
22,"4,4",S-GA-FTpEDF,"17,2","1,47080430585529",14,21,50,"0,417997958773652"
23,"4,6",S-GA-FTpEDF,"17,52","1,31304289063726",15,20,50,"0,373162660650134"
24,"4,8",S-GA-FTpEDF,"18,66","1,92311397138567",15,24,50,"0,546542943427713"
25,5,S-GA-FTpEDF,"19,3","2,12132034355964",16,28,50,"0,602872571138772"
26,"5,2",S-GA-FTpEDF,"19,74","1,5624418356521",17,25,50,"0,444041056587304"
27,"5,4",S-GA-FTpEDF,"20,82","2,01717118555584",18,26,50,"0,573273707931562"
28,"5,6",S-GA-FTpEDF,"21,44","1,56700676580595",19,26,50,"0,445338395382586"
29,"5,8",S-GA-FTpEDF,"22,16","2,05396580064131",19,28,50,"0,583730621838028"
30,6,S-GA-FTpEDF,"22,84","1,79977322834556",20,28,50,"0,511489892101206"
31,"6,2",S-GA-FTpEDF,"23,34","1,88018670371225",20,27,50,"0,534343148939902"
32,"6,4",S-GA-FTpEDF,"24,62","2,17490323500441",21,31,50,"0,618100660395744"
33,"6,6",S-GA-FTpEDF,"24,3","1,70533376947333",22,30,50,"0,484650494855001"
34,"6,8",S-GA-FTpEDF,"24,82","2,11592600464734",21,30,50,"0,601339516982417"
35,7,S-GA-FTpEDF,"26,26","2,13627560707596",22,31,50,"0,607122810003219"
36,"7,2",S-GA-FTpEDF,"26,76","1,86875490580204",24,32,50,"0,531094267921158"
37,"7,4",S-GA-FTpEDF,"27,36","1,89262801847762",24,33,50,"0,537878931474454"
38,"7,6",S-GA-FTpEDF,"27,96","1,67770494353179",24,31,50,"0,476798469401377"
39,"7,8",S-GA-FTpEDF,"28,84","1,87747116067962",23,32,50,"0,533571400149066"
40,8,S-GA-FTpEDF,"29,56","1,69223918799553",27,34,50,"0,480929055974976"
41,"8,2",S-GA-FTpEDF,"30,06","2,16097105912304",26,37,50,"0,614141179820045"
42,"8,4",S-GA-FTpEDF,"31,06","1,88885020635328",28,35,50,"0,536805289148062"
43,"8,6",S-GA-FTpEDF,"31,74","2,66351003645297",27,43,50,"0,756961176941252"
44,"8,8",S-GA-FTpEDF,"32,3","1,59399382888724",29,38,50,"0,453008033849353"
45,9,S-GA-FTpEDF,"33,08","2,40611465959169",29,41,50,"0,683810220218137"
46,"9,2",S-GA-FTpEDF,"33,6","1,60356745147455",31,39,50,"0,455728827284368"
47,"9,4",S-GA-FTpEDF,"34,16","2,12237833477407",30,40,50,"0,603173248915055"
48,"9,6",S-GA-FTpEDF,"34,66","1,83625617349374",32,41,50,"0,521858230391543"
49,"9,8",S-GA-FTpEDF,"35,38","2,02927553172887",32,40,50,"0,576713725051769"
50,10,S-GA-FTpEDF,"36,16","1,95207895457585",33,42,50,"0,55477470056985"
