n,u,Algorithm,mean,sd,min_time,max_time,n_obs,CI
5,1,FTpEDF,"0,0495599999999999","0,156725700847444","0,00599999999999934","1,081",50,"0,044540951356208"
6,"1,2",FTpEDF,"0,0103600000000001","0,00450287889769944","0,00699999999999967","0,039",50,"0,00127970402340426"
7,"1,4",FTpEDF,"0,01256","0,00328360180538476","0,00800000000000001","0,029",50,"0,000933189307790452"
8,"1,6",FTpEDF,"0,01564","0,00414905939672492","0,00999999999999979","0,032",50,"0,00117914963381423"
9,"1,8",FTpEDF,"0,01918","0,00914216515238423","0,0129999999999999","0,0699999999999998",50,"0,00259817458873024"
10,2,FTpEDF,"0,02408","0,0108568421010975","0,0149999999999997","0,0770000000000004",50,"0,00308548038574557"
11,"2,2",FTpEDF,"0,0258799999999999","0,00687984337742941","0,0169999999999995","0,0579999999999999",50,"0,00195522985416856"
12,"2,4",FTpEDF,"0,02934","0,00736680364326126","0,0190000000000001","0,0659999999999999",50,"0,00209362243046934"
13,"2,6",FTpEDF,"0,0333999999999999","0,00805339325111741","0,0230000000000001","0,0770000000000001",50,"0,0022887490380381"
14,"2,8",FTpEDF,"0,0376","0,0101940358713779","0,0229999999999997","0,085",50,"0,00289711293945627"
15,3,FTpEDF,"0,04212","0,00897761388234132","0,0300000000000002","0,0780000000000001",50,"0,00255140963521622"
16,"3,2",FTpEDF,"0,04764","0,0118489817008441","0,032","0,1",50,"0,00336744334020635"
17,"3,4",FTpEDF,"0,05578","0,0117217571991888","0,04","0,105",50,"0,0033312865368939"
18,"3,6",FTpEDF,"0,0587999999999999","0,0138490403410254","0,0359999999999996","0,115",50,"0,00393585371655292"
19,"3,8",FTpEDF,"0,0625000000000001","0,0106469311473843","0,0460000000000003","0,0920000000000001",50,"0,00302582435276616"
20,4,FTpEDF,"0,0657599999999999","0,0112241721661924","0,0449999999999999","0,106",50,"0,00318987443517456"
21,"4,2",FTpEDF,"0,0757600000000001","0,0128786486805384","0,056","0,114",50,"0,00366007145804324"
22,"4,4",FTpEDF,"0,0799400000000001","0,014894746368695","0,0579999999999998","0,13",50,"0,00423304008138957"
23,"4,6",FTpEDF,"0,08656","0,0134879538092026","0,0609999999999999","0,124",50,"0,00383323405964704"
24,"4,8",FTpEDF,"0,0944800000000001","0,0181346888248878","0,0670000000000002","0,148",50,"0,00515382153942665"
25,5,FTpEDF,"0,09678","0,0135440174307059","0,0749999999999997","0,143",50,"0,00384916716458598"
26,"5,2",FTpEDF,"0,1042","0,0188668806026187","0,0789999999999997","0,178",50,"0,00536190814027761"
